Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.759783251028,4.60330428365,0.0,4.22575906254,0.0,0.117215610514,0.117215610514,0.117215610514,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.654342500929,4.74481346671,0.0,4.44066390472,0.0,0.123176717597,0.123176717597,0.123176717597,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.61716836361,4.96158141152,0.0,4.6771465114,0.0,0.1297363564,0.1297363564,0.1297363564,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.603234864692,4.94073290652,0.0,4.65117393294,0.0,0.129015919765,0.129015919765,0.129015919765,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.604550261344,5.08149220456,0.0,4.73537678232,0.0,0.131351568402,0.131351568402,0.131351568402,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.654941314119,5.26545502597,0.0,4.66844975041,0.0,0.129495122545,0.129495122545,0.129495122545,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.846448867015,5.39045118879,0.0,4.32396121114,0.0,0.119939576702,0.119939576702,0.119939576702,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.13943270032,5.28703899415,0.0,4.08694993413,0.0,0.113365273453,0.113365273453,0.113365273453,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.09617903637,5.12847008732,0.0,3.96061613161,0.0,0.109860981426,0.109860981426,0.109860981426,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.972143218896,5.04432708891,0.0,3.98155455614,0.0,0.110441778906,0.110441778906,0.110441778906,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.999363574078,5.81318679572,0.0,4.87258233987,0.0,0.135157425044,0.135157425044,0.135157425044,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,0.984110362213,4.50640702346,0.0,3.67675947994,0.0,0.101987264484,0.101987264484,0.101987264484,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861454642
 01/01  13:00:00,0.951526228732,3.95022748152,0.0,3.20593340821,0.0,0.0889273231509,0.0889273231509,0.0889273231509,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891823589
 01/01  14:00:00,0.914175627838,3.52462624031,0.0,2.83188015263,0.0,0.0785517006723,0.0785517006723,0.0785517006723,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569180732
 01/01  15:00:00,0.902435990901,3.20689541301,0.0,2.56248680948,0.0,0.0710791721352,0.0710791721352,0.0710791721352,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643403
 01/01  16:00:00,0.952117567127,2.83523201791,0.0,2.18370844855,0.0,0.060572483001,0.060572483001,0.060572483001,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680724912
 01/01  17:00:00,1.18114225463,2.93921547424,0.0,2.21891939344,0.0,0.0615491767361,0.0615491767361,0.0615491767361,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.689728525113
 01/01  18:00:00,1.62164721299,3.86640486486,0.0,3.01164574969,0.0,0.083538102854,0.083538102854,0.083538102854,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624420245
 01/01  19:00:00,1.87492249015,3.26056368856,0.0,2.27605333185,0.0,0.0631339782764,0.0631339782764,0.0631339782764,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193286123
 01/01  20:00:00,1.82683514471,3.32072253257,0.0,2.30790231278,0.0,0.0640174166572,0.0640174166572,0.0640174166572,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205074915
 01/01  21:00:00,1.70767814076,3.56618625989,0.0,2.62074187964,0.0,0.0726950720275,0.0726950720275,0.0726950720275,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398562113
