Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.645374990685,0.478161572029,0.0,0.101208238178,0.0,0.00280735017106,0.00280735017106,0.00280735017106,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.350803418062
 01/01  02:00:00,0.546801318806,0.867715125768,0.0,0.563679235524,0.0,0.0156355354738,0.0156355354738,0.0156355354738,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.279958705971
 01/01  03:00:00,0.526876231297,1.70644495372,0.0,1.4220101458,0.0,0.0394442240864,0.0394442240864,0.0394442240864,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636779402
 01/01  04:00:00,0.525033182698,2.12147133393,0.0,1.83191236068,0.0,0.0508142377709,0.0508142377709,0.0508142377709,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931641
 01/01  05:00:00,0.534675486026,2.56242530088,0.0,2.21630987863,0.0,0.0614767930846,0.0614767930846,0.0614767930846,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.32353870018
 01/01  06:00:00,0.599868682009,3.28002257278,0.0,2.68301732194,0.0,0.0744224904349,0.0744224904349,0.0744224904349,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811443531
 01/01  07:00:00,0.800869097755,3.74724750476,0.0,2.68075752712,0.0,0.0743598074411,0.0743598074411,0.0743598074411,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.08824595377,3.44169725874,0.0,2.24160819872,0.0,0.0621785269009,0.0621785269009,0.0621785269009,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.01841900792,2.32513063163,0.0,1.15727668326,0.0,0.0321009529779,0.0321009529779,0.0321009529779,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403258
 01/01  10:00:00,0.86231016309,1.08471770838,0.0,0.0219451755796,0.0,0.000608723099291,0.000608723099291,0.000608723099291,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683986
