Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.756880099987,4.49864231258,0.0,4.1210970916,0.0,0.114312459474,0.114312459474,0.114312459474,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.35139530519
 01/01  02:00:00,0.662129655562,5.02554944649,0.0,4.7213998845,0.0,0.130963872231,0.130963872231,0.130963872231,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377716
 01/01  03:00:00,0.626863180941,5.31109084987,0.0,5.02665594975,0.0,0.139431173731,0.139431173731,0.139431173731,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.624002036477,5.68941359836,0.0,5.39985462478,0.0,0.14978309155,0.14978309155,0.14978309155,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.629894942813,5.99519744346,0.0,5.64908202121,0.0,0.156696249872,0.156696249872,0.156696249872,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.68399117776,6.31273639068,0.0,5.71573111512,0.0,0.158544986186,0.158544986186,0.158544986186,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.878750850979,6.55497527287,0.0,5.48848529522,0.0,0.152241560666,0.152241560666,0.152241560666,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.17408582299,6.53632436255,0.0,5.33623530253,0.0,0.148018396122,0.148018396122,0.148018396122,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.13170822088,6.40933850407,0.0,5.24148454836,0.0,0.145390165943,0.145390165943,0.145390165943,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,1.00331941669,6.16826527257,0.0,5.10549273981,0.0,0.141617976704,0.141617976704,0.141617976704,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,1.02152488916,6.6121279873,0.0,5.67152351878,0.0,0.157318740127,0.157318740127,0.157318740127,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825358522
 01/01  12:00:00,1.00123231095,5.12367323231,0.0,4.29402564206,0.0,0.11910921322,0.11910921322,0.11910921322,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861501374
