Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.717304577314,3.07189870018,0.0,2.69435347907,0.0,0.0747369368004,0.0747369368004,0.0747369368004,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305323
 01/01  02:00:00,0.612264500879,3.22785263476,0.0,2.92370307277,0.0,0.0810987175476,0.0810987175476,0.0810987175476,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.575400270555,3.45579308707,0.0,3.17135818695,0.0,0.0879682633443,0.0879682633443,0.0879682633443,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.565814781707,3.59169540119,0.0,3.3021364276,0.0,0.0915958367798,0.0915958367798,0.0915958367798,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.567220368474,3.73570615775,0.0,3.38959073551,0.0,0.0940216755324,0.0940216755324,0.0940216755324,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.620089745286,4.00901544259,0.0,3.41201016703,0.0,0.094643553712,0.094643553712,0.094643553712,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.816599358936,4.31434171219,0.0,3.24785173455,0.0,0.0900900686222,0.0900900686222,0.0900900686222,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.14476753312,5.47936592006,0.0,4.27927686003,0.0,0.11870010625,0.11870010625,0.11870010625,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.08074675881,4.57211853602,0.0,3.40426458031,0.0,0.0944287038678,0.0944287038678,0.0944287038678,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.9556316932,4.44906738722,0.0,3.38629485446,0.0,0.0939302532095,0.0939302532095,0.0939302532095,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
