Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.718294940801,2.82820207052,0.0,2.43668596683,0.0652434179306,0.0652434179306,0.0652434179306,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365049956365
 01/01  02:00:00,0.616455568622,3.20611023716,0.0,2.89479765048,0.0775095746869,0.0775095746869,0.0775095746869,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286944236463
 01/01  03:00:00,0.580138457558,3.49811277818,0.0,3.20857231643,0.0859110396052,0.0859110396052,0.0859110396052,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265454643118
 01/01  04:00:00,0.575423775574,3.82339218032,0.0,3.52816563665,0.09446830174,0.09446830174,0.09446830174,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271479762963
 01/01  05:00:00,0.581167348272,4.14413893526,0.0,3.78659678959,0.101387917951,0.101387917951,0.101387917951,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334692402777
 01/01  06:00:00,0.638021692677,4.5739024155,0.0,3.94147104748,0.105534749374,0.105534749374,0.105534749374,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606932891403
 01/01  07:00:00,0.860420534358,5.7462299235,0.0,4.59902891525,0.123141171935,0.123141171935,0.123141171935,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.117740026
 01/01  08:00:00,1.15228338613,5.94507826619,0.0,4.65019986111,0.124511298185,0.124511298185,0.124511298185,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26357390415
 01/01  09:00:00,1.11019570439,5.31245630257,0.0,4.05151205034,0.108481149212,0.108481149212,0.108481149212,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23447810491
 01/01  10:00:00,0.963803010551,4.60279972801,0.0,3.45600336014,0.0925361226947,0.0925361226947,0.0925361226947,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427153632
 01/01  11:00:00,0.965835468243,4.4827443869,0.0,3.46987483119,0.0929075378854,0.0929075378854,0.0929075378854,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989814977415
 01/01  12:00:00,0.958408524251,3.41412510049,0.0,2.52329510394,0.0675624184937,0.0675624184937,0.0675624184937,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867768354961
 01/01  13:00:00,0.9196530223,2.60455354619,0.0,1.80757137279,0.0483985774612,0.0483985774612,0.0483985774612,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774309012765
 01/01  14:00:00,0.879982435753,2.06817065484,0.0,1.3283352954,0.0355668050825,0.0355668050825,0.0355668050825,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716378173616
 01/01  15:00:00,0.869258591046,1.75633526833,0.0,1.06988992947,0.0286468083119,0.0286468083119,0.0286468083119,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661667317822
 01/01  16:00:00,0.924868972928,1.54021899646,0.0,0.846299177082,0.0226600602853,0.0226600602853,0.0226600602853,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667764456805
 01/01  17:00:00,1.15660204434,1.57338579459,0.0,0.80438464973,0.0215377790137,0.0215377790137,0.0215377790137,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738063935014
 01/01  18:00:00,1.5934218549,2.04579294175,0.0,1.13034530618,0.0302655295845,0.0302655295845,0.0302655295845,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877863869907
 01/01  19:00:00,1.86183101862,1.63727327274,0.0,0.580621558848,0.0155464165424,0.0155464165424,0.0155464165424,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01584708802
 01/01  20:00:00,1.80965293365,1.47827165051,0.0,0.391156832583,0.0104734089875,0.0104734089875,0.0104734089875,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04499642014
 01/01  21:00:00,1.68130507118,1.52468472095,0.0,0.511127481838,0.0136856797993,0.0136856797993,0.0136856797993,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969990866887
 01/01  22:00:00,1.54229257557,1.65695954714,0.0,0.744720073182,0.0199402317891,0.0199402317891,0.0199402317891,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869690215486
 01/01  23:00:00,1.26998642568,2.16239267515,0.0,1.40934308021,0.0377358267914,0.0377358267914,0.0377358267914,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716228664595
 01/01  24:00:00,0.989739135438,2.47165452339,0.0,1.89424303144,0.0507192520682,0.0507192520682,0.0507192520682,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.54541478861
 01/02  01:00:00,0.710184058727,2.75701856882,0.0,2.37927525255,0.0637062189331,0.0637062189331,0.0637062189331,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351277168938
 01/02  02:00:00,0.608417486046,3.04601987098,0.0,2.74200637813,0.0734185161862,0.0734185161862,0.0734185161862,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279645142636
 01/02  03:00:00,0.572241277967,3.29527925569,0.0,3.011155028,0.0806250984409,0.0806250984409,0.0806250984409,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260038409068
 01/02  04:00:00,0.569539168115,3.64885378615,0.0,3.35938417826,0.0899490984539,0.0899490984539,0.0899490984539,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265722827185
 01/02  05:00:00,0.570155619176,3.82089197164,0.0,3.47509627351,0.0930473444704,0.0930473444704,0.0930473444704,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322945955236
 01/02  06:00:00,0.620705785897,4.04633966739,0.0,3.44776494339,0.0923155351942,0.0923155351942,0.0923155351942,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573076247391
 01/02  07:00:00,0.812876410098,4.28992184905,0.0,3.22020685577,0.0862225598923,0.0862225598923,0.0862225598923,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04025401103
 01/02  08:00:00,1.09652246014,4.55855789859,0.0,3.35798870935,0.0899117341147,0.0899117341147,0.0899117341147,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16926468832
 01/02  09:00:00,1.04148300823,3.85899952717,0.0,2.69671260246,0.0722057539446,0.0722057539446,0.0722057539446,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13582077738
 01/02  10:00:00,0.876703618855,2.94064090676,0.0,1.88485150327,0.0504677894643,0.0504677894643,0.0504677894643,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326457194
 01/02  11:00:00,0.87571077804,2.94017280642,0.0,2.00553238069,0.053699076971,0.053699076971,0.053699076971,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911585847426
 01/02  12:00:00,0.872656809072,2.10686165855,0.0,1.28100308668,0.0342994628329,0.0342994628329,0.0342994628329,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802796930284
 01/02  13:00:00,0.82996769748,0.984325966343,0.0,0.243646820745,0.00652375873204,0.00652375873204,0.00652375873204,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718005984956
 01/02  14:00:00,0.801471815859,0.715076634133,0.0,0.0240599938866,0.000644217703029,0.000644217703029,0.000644217703029,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667559454424
 01/02  15:00:00,0.801486210559,0.641992321331,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617214300294
 01/02  16:00:00,0.865149939788,0.649483209474,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623327846902
 01/02  17:00:00,1.09914634608,0.714205199116,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.683267989268
 01/02  18:00:00,1.53819772258,1.23876658644,0.0,0.388165979314,0.0103933274782,0.0103933274782,0.0103933274782,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813016841465
 01/02  19:00:00,1.8126039486,0.996351680051,0.0,0.0235163755499,0.000629662065239,0.000629662065239,0.000629662065239,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.932030678636
 01/02  20:00:00,1.76697945481,1.06971915423,0.0,0.0763640807862,0.00204468433989,0.00204468433989,0.00204468433989,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951236675652
