Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.689863603558,2.08261968671,0.0,1.7050744656,0.0,0.0472959630446,0.0472959630446,0.0472959630446,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305323
 01/01  02:00:00,0.591935725501,2.49497664318,0.0,2.19082708119,0.0,0.0607699421696,0.0607699421696,0.0607699421696,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.555798061513,2.74911065682,0.0,2.4646757567,0.0,0.0683660543032,0.0683660543032,0.0683660543032,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.549014748003,2.98603465032,0.0,2.69647567674,0.0,0.0747958030754,0.0747958030754,0.0747958030754,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.552196580617,3.1940811352,0.0,2.84796571295,0.0,0.0789978876758,0.0789978876758,0.0789978876758,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.605058037533,3.46710489856,0.0,2.870099623,0.0,0.0796118459591,0.0796118459591,0.0796118459591,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.800820494745,3.74549530974,0.0,2.67900533209,0.0,0.074311204431,0.074311204431,0.074311204431,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.0815009296,3.19853129413,0.0,1.99844223411,0.0,0.0554335027346,0.0554335027346,0.0554335027346,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.01189890503,2.09007334943,0.0,0.922219392212,0.0,0.0255808500879,0.0255808500879,0.0255808500879,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404143
 01/01  10:00:00,0.877835917048,1.64443919534,0.0,0.581666659806,0.0,0.0161344770575,0.0161344770575,0.0161344770575,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.0405168426
 01/01  11:00:00,0.884392311428,1.66833908825,0.0,0.727734627669,0.0,0.0201861623941,0.0201861623941,0.0201861623941,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825350588
 01/01  12:00:00,0.882123097729,0.829523898331,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806737809446
 01/01  13:00:00,0.862598905581,0.742035001997,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.719632752282
 01/01  14:00:00,0.835623927166,0.68714350311,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.663966596162
 01/01  15:00:00,0.831356818766,0.638266318443,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.613784358319
 01/01  16:00:00,0.891545084126,0.644557528326,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.618714683873
 01/01  17:00:00,1.11959307789,0.714252457803,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.683684902118
 01/01  18:00:00,1.53814166455,0.853936475724,0.0,0.0011736245536,0.0,3.25544160302e-05,3.25544160302e-05,3.25544160302e-05,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.815628156238
 01/01  19:00:00,1.81178851188,0.981688606865,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.941371536272
 01/01  20:00:00,1.76281772805,1.00950572139,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.967890576519
 01/01  21:00:00,1.63498306873,0.944212751046,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.901166932902
 01/01  22:00:00,1.49985157989,1.06797324755,0.0,0.21566166332,0.0,0.00598210005741,0.00598210005741,0.00598210005741,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810270726822
 01/01  23:00:00,1.22995390971,1.42999948721,0.0,0.722637638862,0.0,0.0200447803025,0.0200447803025,0.0200447803025,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670980873967
 01/01  24:00:00,0.957995256882,1.8296013137,0.0,1.28220956057,0.0,0.0355663856423,0.0355663856423,0.0355663856423,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777363348
 01/02  01:00:00,0.686646219403,2.19124244753,0.0,1.82607294457,0.0,0.050652261966,0.050652261966,0.050652261966,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019587172
 01/02  02:00:00,0.59117672738,2.60340822914,0.0,2.30575912401,0.0,0.0639579681235,0.0639579681235,0.0639579681235,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920856
 01/02  03:00:00,0.557876301051,2.91339188827,0.0,2.63373689046,0.0,0.0730555322678,0.0730555322678,0.0730555322678,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.551816637629,3.13113838162,0.0,2.84671146408,0.0,0.0789630968738,0.0789630968738,0.0789630968738,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.551775851897,3.26471808347,0.0,2.92909621942,0.0,0.0812483145711,0.0812483145711,0.0812483145711,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.603258049593,3.5196461615,0.0,2.95289849671,0.0,0.0819085506193,0.0819085506193,0.0819085506193,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553857474
 01/02  07:00:00,0.819461001992,4.73116093937,0.0,3.73407936561,0.0,0.103577223895,0.103577223895,0.103577223895,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972606919
 01/02  08:00:00,1.07037756284,3.476043379,0.0,2.36032363197,0.0,0.0654714978867,0.0654714978867,0.0654714978867,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928886
 01/02  09:00:00,0.987549777062,2.29349791545,0.0,1.21380743146,0.0,0.0336690230134,0.0336690230134,0.0336690230134,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.0535405682
 01/02  10:00:00,0.830067344841,1.46457757785,0.0,0.482976106158,0.0,0.013396963317,0.013396963317,0.013396963317,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345778746
 01/02  11:00:00,0.817948299195,1.0386599561,0.0,0.167939996147,0.0,0.00465837945012,0.00465837945012,0.00465837945012,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.847940849958
 01/02  12:00:00,0.82963433821,0.768611446684,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.745825357799
 01/02  13:00:00,0.81478839949,0.689645921538,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.667243671823
 01/02  14:00:00,0.792035894651,0.644363888483,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.621186981535
 01/02  15:00:00,0.792231246591,0.600009442065,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.575527481941
 01/02  16:00:00,0.854486111271,0.607371004136,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.581528159682
 01/02  17:00:00,1.08367515864,0.668237744258,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.637670188572
 01/02  18:00:00,1.50275717992,0.795330472681,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.758195777748
 01/02  19:00:00,1.77747819634,0.905764952961,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.865447882368
 01/02  20:00:00,1.72857297386,0.924378778673,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.882763633797
 01/02  21:00:00,1.6001276984,0.861800293453,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.818754475309
 01/02  22:00:00,1.45826262236,0.78233656666,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.740295709251
 01/02  23:00:00,1.18161591749,0.653725399888,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.617344425507
 01/02  24:00:00,0.915058797165,0.808767620153,0.0,0.294349498287,0.0,0.00816477126018,0.00816477126018,0.00816477126018,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482803732081
 01/03  01:00:00,0.654877307071,1.04617150365,0.0,0.680766712705,0.0,0.0188833496342,0.0188833496342,0.0188833496342,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339254875158
 01/03  02:00:00,0.553906868692,1.25990413159,0.0,0.962137379256,0.0,0.0266881094353,0.0266881094353,0.0266881094353,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689568058
 01/03  03:00:00,0.516873082382,1.43526110793,0.0,1.15552317708,0.0,0.0320523135985,0.0320523135985,0.0320523135985,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939902343
 01/03  04:00:00,0.511321181805,1.67132268158,0.0,1.3868031917,0.0,0.0384676410492,0.0384676410492,0.0384676410492,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056448282
 01/03  05:00:00,0.512229899709,1.83922931821,0.0,1.50341865725,0.0,0.0417023623828,0.0417023623828,0.0417023623828,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.3132339389
 01/03  06:00:00,0.563539401166,2.08833936319,0.0,1.52099503431,0.0,0.0421899021921,0.0421899021921,0.0421899021921,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521573
 01/03  07:00:00,0.778019778078,3.23851932131,0.0,2.24007505382,0.0,0.0621359999815,0.0621359999815,0.0621359999815,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335300645
 01/03  08:00:00,1.03885080849,2.34105876078,0.0,1.22374747718,0.0,0.0339447435433,0.0339447435433,0.0339447435433,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638082542
 01/03  09:00:00,0.969901185195,1.65879465454,0.0,0.57755517211,0.0,0.0160204311468,0.0160204311468,0.0160204311468,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508956665
 01/03  10:00:00,0.818179841765,1.03741041784,0.0,0.0544177969397,0.0,0.00150946024057,0.00150946024057,0.00150946024057,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.960736927957
 01/03  11:00:00,0.817073664531,1.00820542581,0.0,0.136408399445,0.0,0.00378374478611,0.00378374478611,0.00378374478611,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.84901791637
 01/03  12:00:00,0.82963433821,0.769924184912,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.747138096027
 01/03  13:00:00,0.81478839949,0.690941357047,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.668539107332
 01/03  14:00:00,0.792035894651,0.642589088725,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.619412181777
 01/03  15:00:00,0.792231246591,0.597889081926,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.573407121802
 01/03  16:00:00,0.854486111271,0.605359965598,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.579517121145
 01/03  17:00:00,1.08367515864,0.666996657878,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.636429102192
 01/03  18:00:00,1.50827536245,0.995427013105,0.0,0.198936897057,0.0,0.00551818253176,0.00551818253176,0.00551818253176,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759355421116
 01/03  19:00:00,1.77747819634,0.90940456776,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.869087497167
