Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.691884156579,2.15546297268,0.0,1.77791775157,0.0,0.0493165160649,0.0493165160649,0.0493165160649,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.594550937,2.58925805879,0.0,2.2851084968,0.0,0.0633851536682,0.0633851536682,0.0633851536682,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.558054017126,2.83044047999,0.0,2.54600557987,0.0,0.070622009916,0.070622009916,0.070622009916,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.546245398641,2.88619638552,0.0,2.59663741193,0.0,0.0720264537139,0.0720264537139,0.0720264537139,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.548340771411,3.0550747296,0.0,2.70895930736,0.0,0.0751420784695,0.0751420784695,0.0751420784695,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.598291016647,3.22314592664,0.0,2.62614065108,0.0,0.0728448250733,0.0728448250733,0.0728448250733,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.792879697553,3.45922033708,0.0,2.39273035944,0.0,0.0663704072397,0.0663704072397,0.0663704072397,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.11261745666,4.32031827824,0.0,3.12022921822,0.0,0.0865500297924,0.0865500297924,0.0865500297924,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.04626760201,3.32910483938,0.0,2.16125088367,0.0,0.0599495470649,0.0599495470649,0.0599495470649,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.91293456115,2.90978612875,0.0,1.84701359396,0.0,0.0512331211599,0.0512331211599,0.0512331211599,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684185
 01/01  11:00:00,0.92341388365,3.0751121447,0.0,2.13450768228,0.0,0.059207734616,0.059207734616,0.059207734616,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825352429
 01/01  12:00:00,0.925028607499,2.37644105763,0.0,1.54679351964,0.0,0.0429055097703,0.0429055097703,0.0429055097703,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861449101
 01/01  13:00:00,0.892217706545,1.81208629833,0.0,1.06779221679,0.0,0.0296188009636,0.0296188009636,0.0296188009636,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891831822
 01/01  14:00:00,0.863283550079,1.68990765965,0.0,0.997161569846,0.0,0.027659622913,0.027659622913,0.027659622913,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182857
 01/01  15:00:00,0.85359634657,1.44616944201,0.0,0.801760838453,0.0,0.0222395278043,0.0222395278043,0.0222395278043,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,0.907752263752,1.2358112829,0.0,0.584287671931,0.0,0.0162071796257,0.0162071796257,0.0162071796257,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.13833774336,1.39606314056,0.0,0.675766987356,0.0,0.018744665471,0.018744665471,0.018744665471,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.56949520943,1.98626450434,0.0,1.13150537667,0.0,0.0313860992933,0.0313860992933,0.0313860992933,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.8250311108,1.46192145353,0.0,0.477411090162,0.0,0.0132425989204,0.0132425989204,0.0132425989204,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193292774
 01/01  20:00:00,1.77179771502,1.33655921041,0.0,0.323738972272,0.0,0.00897998696105,0.00897998696105,0.00897998696105,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205093263
 01/01  21:00:00,1.64724619334,1.38754428601,0.0,0.442099902173,0.0,0.0122631246066,0.0122631246066,0.0122631246066,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398565694
 01/01  22:00:00,1.51449914644,1.59632884266,0.0,0.743723470356,0.0,0.0206296666094,0.0206296666094,0.0206296666094,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514898
 01/01  23:00:00,1.23921264929,1.76380377657,0.0,1.05642596719,0.0,0.0293035198825,0.0293035198825,0.0293035198825,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834995
 01/01  24:00:00,0.95886814551,1.86106997184,0.0,1.31367821064,0.0,0.0364392742702,0.0364392742702,0.0364392742702,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.681408640055,2.00242162571,0.0,1.63725211857,0.0,0.0454146826178,0.0454146826178,0.0454146826178,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.58242105544,2.28775607426,0.0,1.99010696909,0.0,0.0552022961837,0.0552022961837,0.0552022961837,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.541621105464,2.3273731851,0.0,2.04771818729,0.0,0.0568003366808,0.0568003366808,0.0568003366808,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.532434048588,2.43237350773,0.0,2.1479465902,0.0,0.0595805078321,0.0595805078321,0.0595805078321,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.53204681139,2.55346323139,0.0,2.21784136735,0.0,0.0615192740642,0.0615192740642,0.0615192740642,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.579554144055,2.66509280845,0.0,2.0983451381,0.0,0.0582046450807,0.0582046450807,0.0582046450807,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.770047730206,2.94975503451,0.0,1.95267345778,0.0,0.0541639521094,0.0541639521094,0.0541639521094,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.04787424448,2.66477258438,0.0,1.54905283732,0.0,0.0429681795291,0.0429681795291,0.0429681795291,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.980987049396,2.05690396081,0.0,0.977213467693,0.0,0.027106295348,0.027106295348,0.027106295348,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.828274551837,1.39994530869,0.0,0.418343833605,0.0,0.0116041703124,0.0116041703124,0.0116041703124,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345782143
 01/02  11:00:00,0.828778849898,1.42931862045,0.0,0.558393943239,0.0,0.0154889301533,0.0154889301533,0.0154889301533,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848145567223
 01/02  12:00:00,0.82963433821,0.770037738027,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.747251649142
 01/02  13:00:00,0.81478839949,0.690554011841,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.668151762126
 01/02  14:00:00,0.792035894651,0.644148464634,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.620971557686
 01/02  15:00:00,0.792231246591,0.598696169317,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.574214209192
 01/02  16:00:00,0.854486111271,0.605664390416,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.579821545963
 01/02  17:00:00,1.08367515864,0.6671091376,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.636541581914
 01/02  18:00:00,1.5065732697,0.933219198076,0.0,0.13757447434,0.0,0.00381608978703,0.00381608978703,0.00381608978703,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.758510028803
 01/02  19:00:00,1.77747819634,0.907908444349,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.867591373756
 01/02  20:00:00,1.72857297386,0.927225066035,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.88560992116
 01/02  21:00:00,1.60825419192,1.15813630711,0.0,0.292969541199,0.0,0.00812649351882,0.00812649351882,0.00812649351882,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822120947771
 01/02  22:00:00,1.47740391684,1.47540016313,0.0,0.690065924302,0.0,0.0191412944787,0.0191412944787,0.0191412944787,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293381416
 01/02  23:00:00,1.21730691704,1.94116413151,0.0,1.28670203684,0.0,0.0356909995497,0.0356909995497,0.0356909995497,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081120285
 01/02  24:00:00,0.957369550375,2.33412268248,0.0,1.81970135235,0.0,0.0504755244709,0.0504755244709,0.0504755244709,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806940343
