Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.648391576895,0.586878169369,0.0,0.209959678875,0.0,0.00582393638125,0.00582393638125,0.00582393638125,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.350768574706
 01/01  02:00:00,0.54616200126,0.844780650941,0.0,0.540631094568,0.0,0.0149962179279,0.0149962179279,0.0149962179279,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.2800723721
 01/01  03:00:00,0.509906025898,1.09464939951,0.0,0.810214507477,0.0,0.0224740186878,0.0224740186878,0.0224740186878,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636863522
 01/01  04:00:00,0.502002594452,1.2911918467,0.0,1.0016328734,0.0,0.0277836495241,0.0277836495241,0.0277836495241,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931697
 01/01  05:00:00,0.505037696128,1.49394851092,0.0,1.14783308868,0.0,0.0318390031866,0.0318390031866,0.0318390031866,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700174
 01/01  06:00:00,0.55854758808,1.79034911137,0.0,1.19334383581,0.0,0.0331013965061,0.0331013965061,0.0331013965061,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.755801274037,2.12250005288,0.0,1.05601007523,0.0,0.029291983723,0.029291983723,0.029291983723,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07140534615,2.83457377112,0.0,1.6344847111,0.0,0.0453379192833,0.0453379192833,0.0453379192833,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.01320798297,2.13726712994,0.0,0.969413174234,0.0,0.0268899280287,0.0268899280287,0.0268899280287,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.880429945554,1.73795693667,0.0,0.675184403908,0.0,0.0187285055638,0.0187285055638,0.0187285055638,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.879431456702,1.48949450425,0.0,0.54889004609,0.0,0.0152253076679,0.0152253076679,0.0152253076679,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825348171
 01/01  12:00:00,0.888849100335,1.07212775631,0.0,0.242480215222,0.0,0.00672600260552,0.00672600260552,0.00672600260552,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861452202
 01/01  13:00:00,0.862598905581,0.741845891999,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.719443642284
 01/01  14:00:00,0.835623927166,0.687328569727,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.664151662779
 01/01  15:00:00,0.831356818766,0.638236117324,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.6137541572
 01/01  16:00:00,0.891545084126,0.645982826079,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.620139981626
 01/01  17:00:00,1.11959307789,0.714895693702,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.684328138016
 01/01  18:00:00,1.53810911013,0.851568335704,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.814433640771
 01/01  19:00:00,1.81178851188,0.979034304895,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.938717234302
 01/01  20:00:00,1.76281772805,1.00646612093,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.964850976059
 01/01  21:00:00,1.63498306873,0.939673012567,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.896627194424
 01/01  22:00:00,1.49386947983,0.847495658644,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.805454801235
 01/01  23:00:00,1.20990912941,0.703223517284,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.666842542903
 01/01  24:00:00,0.92242887124,0.544438943391,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.512824553607
 01/02  01:00:00,0.639966331347,0.507126259577,0.0,0.143208698704,0.0,0.0039723739099,0.0039723739099,0.0039723739099,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.337767645085
 01/02  02:00:00,0.539548832106,0.742157377596,0.0,0.444513464194,0.0,0.0123300728499,0.0123300728499,0.0123300728499,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273566729128
 01/02  03:00:00,0.502992142632,0.934754089176,0.0,0.655099157735,0.0,0.018171373849,0.018171373849,0.018171373849,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856902927
 01/02  04:00:00,0.497433517107,1.17056364709,0.0,0.886136730154,0.0,0.0245799763515,0.0245799763515,0.0245799763515,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875332
 01/02  05:00:00,0.497196261344,1.29706037647,0.0,0.961438512424,0.0,0.0266687240181,0.0266687240181,0.0266687240181,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.550348245556,1.61218620568,0.0,1.04543853532,0.0,0.0289987465825,0.0289987465825,0.0289987465825,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.7619161376,2.65660165634,0.0,1.65952008859,0.0,0.0460323595041,0.0460323595041,0.0460323595041,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972600913
 01/02  08:00:00,1.0499706908,2.74035191149,0.0,1.62463216502,0.0,0.0450646258495,0.0450646258495,0.0450646258495,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.0847892883
 01/02  09:00:00,0.98291404916,2.12637454308,0.0,1.04668404997,0.0,0.0290332951115,0.0290332951115,0.0290332951115,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057732
 01/02  10:00:00,0.833860817626,1.6013366897,0.0,0.61973521126,0.0,0.0171904361015,0.0171904361015,0.0171904361015,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785502
 01/02  11:00:00,0.838020497074,1.76250036557,0.0,0.891566070519,0.0,0.024730577329,0.024730577329,0.024730577329,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155185059
 01/02  12:00:00,0.82963433821,0.770885500663,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.748099411778
 01/02  13:00:00,0.81478839949,0.691641351283,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.669239101568
 01/02  14:00:00,0.792035894651,0.646253531197,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.623076624249
 01/02  15:00:00,0.792231246591,0.60135481144,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.576872851315
 01/02  16:00:00,0.854486111271,0.607942906025,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.582100061572
 01/02  17:00:00,1.08367515864,0.668073597569,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.637506041883
 01/02  18:00:00,1.50275717992,0.79463413256,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.757499437627
 01/02  19:00:00,1.77747819634,0.905007943028,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.864690872435
 01/02  20:00:00,1.72857297386,0.923101111787,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.881485966911
 01/02  21:00:00,1.6001276984,0.860499885978,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.817454067834
 01/02  22:00:00,1.45826262236,0.780935473385,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.738894615976
 01/02  23:00:00,1.18161591749,0.651870868931,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.615489894549
 01/02  24:00:00,0.906894025904,0.512290793978,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.480676404193
 01/03  01:00:00,0.642318430124,0.592599717421,0.0,0.228004594724,0.0,0.00632447268648,0.00632447268648,0.00632447268648,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.338445206908
 01/03  02:00:00,0.541311808636,0.805832230247,0.0,0.508070818157,0.0,0.0140930493796,0.0140930493796,0.0140930493796,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273684227818
 01/03  03:00:00,0.503899826668,0.967560076833,0.0,0.687822222729,0.0,0.0190790578851,0.0190790578851,0.0190790578851,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.25593982559
 01/03  04:00:00,0.49728063464,1.16514462789,0.0,0.88062513944,0.0,0.0244270938845,0.0244270938845,0.0244270938845,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056446846
 01/03  05:00:00,0.498703728829,1.35159512913,0.0,1.0157844682,0.0,0.0281761915029,0.0281761915029,0.0281761915029,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313233938866
 01/03  06:00:00,0.550958149974,1.63477062768,0.0,1.0674262988,0.0,0.029608651,0.029608651,0.029608651,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521572
 01/03  07:00:00,0.760597857541,2.61043882699,0.0,1.6119945595,0.0,0.0447140794451,0.0447140794451,0.0447140794451,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335300645
 01/03  08:00:00,1.02617136436,1.88395012256,0.0,0.76663877194,0.0,0.0212652994094,0.0212652994094,0.0212652994094,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638089245
 01/03  09:00:00,0.95538387407,1.13542871832,0.0,0.0541892246539,0.0,0.00150312002107,0.00150312002107,0.00150312002107,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508957788
 01/03  10:00:00,0.816670381524,0.980378177556,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.958122484615
