Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.739416940755,3.61712437963,0.0,3.22554226089,0.086365417885,0.086365417885,0.086365417885,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365115971412
 01/01  02:00:00,0.635008187974,3.89896180819,0.0,3.58769371045,0.096062194039,0.096062194039,0.096062194039,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286899747518
 01/01  03:00:00,0.602699048378,4.34072685736,0.0,4.05115654634,0.108471630425,0.108471630425,0.108471630425,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265484492394
 01/01  04:00:00,0.604117849997,4.89512281643,0.0,4.59982084258,0.123162376163,0.123162376163,0.123162376163,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271555193143
 01/01  05:00:00,0.610231101664,5.22966996248,0.0,4.87205862283,0.130451671343,0.130451671343,0.130451671343,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334761596761
 01/01  06:00:00,0.669143070822,5.73628543429,0.0,5.10378025505,0.136656127519,0.136656127519,0.136656127519,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.60700670264
 01/01  07:00:00,0.88572346471,6.691305406,0.0,5.54403298256,0.148444102287,0.148444102287,0.148444102287,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781144119
 01/01  08:00:00,1.17770912176,6.89475641717,0.0,5.5997904126,0.149937033818,0.149937033818,0.149937033818,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366150365
 01/01  09:00:00,1.12070957333,5.70515684063,0.0,4.44417996561,0.118995018152,0.118995018152,0.118995018152,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.2345107277
 01/01  10:00:00,0.956397833414,4.32623442438,0.0,3.17943766533,0.0851309455577,0.0851309455577,0.0851309455577,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427192749
 01/01  11:00:00,0.949436377931,3.87031502412,0.0,2.85740794178,0.0765084475725,0.0765084475725,0.0765084475725,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852504043
 01/01  12:00:00,0.926138777697,2.20898300237,0.0,1.31809707666,0.0352926719389,0.0352926719389,0.0352926719389,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.86782428413
 01/01  13:00:00,0.880925223424,1.15822200652,0.0,0.361180502394,0.00967077858488,0.00967077858488,0.00967077858488,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774368343489
 01/01  14:00:00,0.844415630671,0.738752149189,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.715294963366
 01/01  15:00:00,0.840611782734,0.684135533489,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.659357512451
 01/01  16:00:00,0.902208912643,0.69129059643,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.665135233858
 01/01  17:00:00,1.13506426533,0.767982722133,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737045512285
 01/01  18:00:00,1.57764818972,1.45672529851,0.0,0.541236553084,0.0144918644064,0.0144918644064,0.0144918644064,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877904979763
 01/01  19:00:00,1.84771109056,1.10998570681,0.0,0.0532759406685,0.00142648848066,0.00142648848066,0.00142648848066,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01590514028
 01/01  20:00:00,1.80616090781,1.34787942933,0.0,0.260738000532,0.00698138314526,0.00698138314526,0.00698138314526,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.045023031
 01/01  21:00:00,1.68583420036,1.69384763918,0.0,0.680279648729,0.0182148089807,0.0182148089807,0.0182148089807,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970001618226
 01/01  22:00:00,1.55770076834,2.23240096212,0.0,1.3201793038,0.0353484245544,0.0353484245544,0.0353484245544,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869672399841
 01/01  23:00:00,1.28691529408,2.79462554803,0.0,2.0415959166,0.0546646951824,0.0546646951824,0.0546646951824,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716208701081
 01/01  24:00:00,1.01384559492,3.37195453303,0.0,2.79456176683,0.0748257115477,0.0748257115477,0.0748257115477,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545396062863
 01/02  01:00:00,0.739959793507,3.86911298268,0.0,3.49132789162,0.0934819537134,0.0934819537134,0.0934819537134,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.35131894374
 01/02  02:00:00,0.645851916856,4.44416523278,0.0,4.14009303767,0.110852946996,0.110852946996,0.110852946996,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279703844888
 01/02  03:00:00,0.613894487538,4.85107526745,0.0,4.56680300683,0.122278308012,0.122278308012,0.122278308012,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260186441997
 01/02  04:00:00,0.610875546063,5.19282436855,0.0,4.90319925201,0.131285476401,0.131285476401,0.131285476401,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265878335832
 01/02  05:00:00,0.617997975659,5.60781869569,0.0,5.2618941201,0.140889700953,0.140889700953,0.140889700953,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074832702
 01/02  06:00:00,0.677346132472,6.16190350345,0.0,5.56314672492,0.148955881769,0.148955881769,0.148955881769,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258301914
 01/02  07:00:00,0.871933240175,6.49568319096,0.0,5.42583852956,0.145279389969,0.145279389969,0.145279389969,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038367914
 01/02  08:00:00,1.16587447233,7.14878875405,0.0,5.94812086713,0.159263746301,0.159263746301,0.159263746301,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338599
