Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.700922120525,2.17946669479,0.0,1.78785258694,0.0478705976542,0.0478705976542,0.0478705976542,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365147960527
 01/01  02:00:00,0.601331117931,2.6413619203,0.0,2.32993550923,0.062385123996,0.062385123996,0.062385123996,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287058060851
 01/01  03:00:00,0.570422577325,3.13525607152,0.0,2.84570737511,0.0761951593721,0.0761951593721,0.0761951593721,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265462877789
 01/01  04:00:00,0.559304467064,3.22138937361,0.0,2.92614792993,0.0783489932301,0.0783489932301,0.0783489932301,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271494662968
 01/01  05:00:00,0.562685261915,3.45390541634,0.0,3.09633496866,0.0829058315938,0.0829058315938,0.0829058315938,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334720704798
 01/01  06:00:00,0.613272924906,3.64954237496,0.0,3.01716363019,0.0807859816032,0.0807859816032,0.0807859816032,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606880268164
 01/01  07:00:00,0.828184095058,4.54220065796,0.0,3.39507483446,0.090904732635,0.090904732635,0.090904732635,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11766484125
 01/01  08:00:00,1.11216293979,4.44656678516,0.0,3.15179693146,0.0843908518499,0.0843908518499,0.0843908518499,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26346535278
 01/01  09:00:00,1.05022195114,3.07256706804,0.0,1.81163548388,0.0485073959556,0.0485073959556,0.0485073959556,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23446543684
 01/01  10:00:00,0.893848344589,1.99016028033,0.0,0.843363521966,0.0225814567327,0.0225814567327,0.0225814567327,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427192681
 01/01  11:00:00,0.882864230705,1.3840044615,0.0,0.371097106578,0.00993630034682,0.00993630034682,0.00993630034682,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852776622
 01/01  12:00:00,0.890846105758,0.887938352312,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.864876710725
 01/01  13:00:00,0.871254444839,0.790606282928,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.767933122286
 01/01  14:00:00,0.844415630671,0.730661918949,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.707204733126
 01/01  15:00:00,0.840611782734,0.675591655753,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.650813634716
 01/01  16:00:00,0.902208912643,0.682502738955,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.656347376383
 01/01  17:00:00,1.13506426533,0.758802972423,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.727865762575
 01/01  18:00:00,1.56315632531,0.909447227181,0.0,0.0,0.0,0.0,0.0,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.871863461519
 01/01  19:00:00,1.84628460207,1.05146443313,0.0,0.0,0.0,0.0,0.0,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01065980727
 01/01  20:00:00,1.79917952466,1.0824914322,0.0,0.0,0.0,0.0,0.0,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04037303441
 01/01  21:00:00,1.66761939138,1.01193735124,0.0,0.0,0.0,0.0,0.0,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.968370979015
 01/01  22:00:00,1.53176448644,1.26381965056,0.0,0.35152106788,0.00941214266234,0.00941214266234,0.00941214266234,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869749324209
 01/01  23:00:00,1.2590825529,1.75519879373,0.0,1.00210945202,0.0268319540065,0.0268319540065,0.0268319540065,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716268411359
 01/01  24:00:00,0.985976933267,2.33115664122,0.0,1.75373375822,0.0469570498965,0.0469570498965,0.0469570498965,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545426179666
 01/02  01:00:00,0.71953303279,3.10618772493,0.0,2.728437124,0.0730551929963,0.0730551929963,0.0730551929963,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351284453605
 01/02  02:00:00,0.626795416905,3.73238707335,0.0,3.42837823974,0.0917964470449,0.0917964470449,0.0917964470449,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279640483392
 01/02  03:00:00,0.600832083202,4.36313058243,0.0,4.07895337619,0.109215903676,0.109215903676,0.109215903676,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260091387618
 01/02  04:00:00,0.599922667893,4.78364677766,0.0,4.49413538965,0.120332598232,0.120332598232,0.120332598232,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265764607303
 01/02  05:00:00,0.605355455002,5.13551115512,0.0,4.78972614288,0.128247180296,0.128247180296,0.128247180296,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322935269345
 01/02  06:00:00,0.660884691527,5.547044,0.0,4.94835118819,0.132494440824,0.132494440824,0.132494440824,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573194335206
 01/02  07:00:00,0.854957707758,5.86167028227,0.0,4.79184290315,0.128303857552,0.128303857552,0.128303857552,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04036639686
 01/02  08:00:00,1.12487942962,5.61772123992,0.0,4.41705385018,0.118268703597,0.118268703597,0.118268703597,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936288882
 01/02  09:00:00,1.05697912714,4.43777346121,0.0,3.27545566463,0.0877018728511,0.0877018728511,0.0877018728511,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585164925
 01/02  10:00:00,0.878121695905,2.99360686165,0.0,1.93781329706,0.0518858665141,0.0518858665141,0.0518858665141,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326873303
 01/02  11:00:00,0.856175887819,2.21063277764,0.0,1.2759508478,0.0341641867499,0.0341641867499,0.0341641867499,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911627351544
 01/02  12:00:00,0.838357346239,0.825407719075,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802346077487
 01/02  13:00:00,0.823443938748,0.734703049494,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.712029888852
 01/02  14:00:00,0.800827598156,0.68216211156,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.658704925737
 01/02  15:00:00,0.801486210559,0.632040209743,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.607262188706
 01/02  16:00:00,0.865149939788,0.638734951238,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.612579588666
