Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.712729692492,2.7315718367,0.0,2.35402661118,0.0,0.0701620519779,0.0701620519779,0.0701620519779,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395309732
 01/01  02:00:00,0.617676143804,3.22261794084,0.0,2.91846845516,0.0,0.0865103604721,0.0865103604721,0.0865103604721,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072301402
 01/01  03:00:00,0.588029265972,3.69680265585,0.0,3.41236777571,0.0,0.100597258762,0.100597258762,0.100597258762,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636851626
 01/01  04:00:00,0.578125576097,3.81941376756,0.0,3.52985479397,0.0,0.10390663117,0.10390663117,0.10390663117,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.58539939044,4.18657852993,0.0,3.84046310769,0.0,0.112200697499,0.112200697499,0.112200697499,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.635320328536,4.35406434602,0.0,3.75705907046,0.0,0.109874136962,0.109874136962,0.109874136962,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.859466515155,5.61137499517,0.0,4.54488501753,0.0,0.132957224841,0.132957224841,0.132957224841,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.12846097019,4.72993273434,0.0,3.52984367432,0.0,0.10239354332,0.10239354332,0.10239354332,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.05961988142,3.70707761837,0.0,2.53922366295,0.0,0.0733018264797,0.0733018264797,0.0733018264797,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403963
 01/01  10:00:00,0.914355662107,2.88285350416,0.0,1.82008097144,0.0,0.0526542221171,0.0526542221171,0.0526542221171,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683977
 01/01  11:00:00,0.908535780805,2.45877012093,0.0,1.51816566429,0.0,0.0443296317711,0.0443296317711,0.0443296317711,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825346653
 01/01  12:00:00,0.896460993001,1.32450353443,0.0,0.494855991117,0.0,0.0143378952722,0.0143378952722,0.0143378952722,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686145443
 01/01  13:00:00,0.862598905581,0.74403852133,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721636271615
 01/01  14:00:00,0.835623927166,0.690739904537,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.667562997589
 01/01  15:00:00,0.831356818766,0.641252213512,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.616770253387
 01/01  16:00:00,0.891545084126,0.648823719454,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.622980875001
