Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.736987671914,3.52639085271,0.0,3.13481486671,0.0839361490433,0.0839361490433,0.0839361490433,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365109838674
 01/01  02:00:00,0.638035595903,4.01213692552,0.0,3.70076017218,0.0990896019681,0.0990896019681,0.0990896019681,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287008403119
 01/01  03:00:00,0.599072304157,4.20529236039,0.0,3.91570630432,0.104844886204,0.104844886204,0.104844886204,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265500237442
 01/01  04:00:00,0.588426976117,4.30914097546,0.0,4.0138041469,0.107471502283,0.107471502283,0.107471502283,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271590047851
 01/01  05:00:00,0.590053629313,4.47612602069,0.0,4.11847818077,0.110274198992,0.110274198992,0.110274198992,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334798097024
 01/01  06:00:00,0.641032366881,4.68643868079,0.0,4.05391254452,0.108545423578,0.108545423578,0.108545423578,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.60702765966
 01/01  07:00:00,0.850222846096,5.36544279134,0.0,4.2181695938,0.112943483673,0.112943483673,0.112943483673,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781221528
 01/01  08:00:00,1.12423667291,4.89766880195,0.0,3.60272205134,0.0964645849664,0.0964645849664,0.0964645849664,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26364224968
 01/01  09:00:00,1.08962775458,4.54432285672,0.0,3.28334820691,0.0879131993991,0.0879131993991,0.0879131993991,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23450850249
 01/01  10:00:00,0.953795010146,4.22901288736,0.0,3.0822284275,0.0825281222899,0.0825281222899,0.0825281222899,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12425962831
