Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.748953649913,3.97316312272,0.0,3.58171559009,0.0959021270421,0.0959021270421,0.0959021270421,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.364981385301
 01/01  02:00:00,0.651844376912,4.5276838867,0.0,4.21648519042,0.112898382977,0.112898382977,0.112898382977,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286830346055
 01/01  03:00:00,0.619470873993,4.96699605938,0.0,4.67754420982,0.12524345604,0.12524345604,0.12524345604,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265366030938
 01/01  04:00:00,0.618075982975,5.41630035704,0.0,5.1211238005,0.137120509142,0.137120509142,0.137120509142,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271429775829
 01/01  05:00:00,0.624584264305,5.76561378105,0.0,5.40811499594,0.144804833984,0.144804833984,0.144804833984,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334649042215
 01/01  06:00:00,0.680644450971,6.16573749522,0.0,5.53332935743,0.148157507668,0.148157507668,0.148157507668,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606909661174
 01/01  07:00:00,0.879307643086,6.45162809309,0.0,5.30441735521,0.142028280663,0.142028280663,0.142028280663,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11774975563
 01/01  08:00:00,1.16419503597,6.39000456726,0.0,5.09507155748,0.136422948027,0.136422948027,0.136422948027,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26362850886
 01/01  09:00:00,1.11302571237,5.41818256159,0.0,4.15720609487,0.111311157188,0.111311157188,0.111311157188,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451031939
 01/01  10:00:00,0.955399380499,4.28894461826,0.0,3.14214783161,0.0841324926428,0.0841324926428,0.0841324926428,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.1242719551
 01/01  11:00:00,0.944921931076,3.70165718955,0.0,2.68880412477,0.0719940007183,0.0719940007183,0.0719940007183,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989798486474
 01/01  12:00:00,0.92930568044,2.32719837206,0.0,1.43637333682,0.0384595746821,0.0384595746821,0.0384595746821,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867763393658
 01/01  13:00:00,0.886211592182,1.35562366231,0.0,0.558613760434,0.0149571473427,0.0149571473427,0.0149571473427,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774336741234
