Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.667890991903,1.29048148869,0.0,0.912936264702,0.0,0.0253233513894,0.0253233513894,0.0253233513894,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395308198
 01/01  02:00:00,0.568249458602,1.64105917818,0.0,1.33690961605,0.0,0.0370836752707,0.0370836752707,0.0370836752707,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377856
 01/01  03:00:00,0.534251344841,1.97232646531,0.0,1.68789156518,0.0,0.0468193376307,0.0468193376307,0.0468193376307,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871611
 01/01  04:00:00,0.528256338918,2.23766986401,0.0,1.94811089043,0.0,0.0540373939904,0.0540373939904,0.0540373939904,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931983
 01/01  05:00:00,0.532604185415,2.48775250525,0.0,2.141637083,0.0,0.0594054924735,0.0594054924735,0.0594054924735,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.586472484452,2.7970740979,0.0,2.20006882234,0.0,0.0610262928783,0.0610262928783,0.0610262928783,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.783381680252,3.11680576865,0.0,2.05031579101,0.0,0.0568723899383,0.0568723899383,0.0568723899383,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07498050635,2.96346245367,0.0,1.76337339365,0.0,0.0489130794829,0.0489130794829,0.0489130794829,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.01506088671,2.20406646455,0.0,1.03621250884,0.0,0.0287428317728,0.0287428317728,0.0287428317728,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.869044174615,1.3274866547,0.0,0.264714121668,0.0,0.00734273462445,0.00734273462445,0.00734273462445,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684009
 01/01  11:00:00,0.868691422079,1.10203212902,0.0,0.161699308934,0.0,0.00448527304466,0.00448527304466,0.00448527304466,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917553710092
 01/01  12:00:00,0.882123097729,0.82559077291,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.802804684025
 01/01  13:00:00,0.862598905581,0.736018589425,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.71361633971
 01/01  14:00:00,0.835623927166,0.682137462548,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.6589605556
 01/01  15:00:00,0.831356818766,0.631912185947,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.607430225822
