Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.753197308043,4.13186078934,0.0,3.74020609444,0.100145785172,0.100145785172,0.100145785172,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365188547569
 01/01  02:00:00,0.643475919687,4.21538897411,0.0,3.90394328305,0.104529925752,0.104529925752,0.104529925752,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287077340832
 01/01  03:00:00,0.603813893049,4.38243073639,0.0,4.09279333442,0.109586475096,0.109586475096,0.109586475096,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265551583351
 01/01  04:00:00,0.591955821467,4.44086392359,0.0,4.14559809973,0.111000347634,0.111000347634,0.111000347634,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271519043152
 01/01  05:00:00,0.587936774039,4.39696525159,0.0,4.03941868782,0.108157343718,0.108157343718,0.108157343718,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334696820877
 01/01  06:00:00,0.63669650385,4.52439561726,0.0,3.89197840714,0.104209560547,0.104209560547,0.104209560547,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606918733506
 01/01  07:00:00,0.843110039632,5.09966326819,0.0,3.95252324596,0.10583067721,0.10583067721,0.10583067721,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11767903997
 01/01  08:00:00,1.11592562017,4.58718372282,0.0,3.29232406457,0.0881535322284,0.0881535322284,0.0881535322284,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26355515733
 01/01  09:00:00,1.0796448652,4.17139112129,0.0,2.91051111105,0.0779303100173,0.0779303100173,0.0779303100173,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23441386292
 01/01  10:00:00,0.945394417272,3.91514805266,0.0,2.76848633029,0.0741275294153,0.0741275294153,0.0741275294153,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12413689082
 01/01  11:00:00,0.964524011105,4.43363877598,0.0,3.42089503663,0.0915960807466,0.0915960807466,0.0915960807466,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989689161045
 01/01  12:00:00,0.96595530861,3.69573741365,0.0,2.80514949056,0.0751092028525,0.0751092028525,0.0751092028525,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867526281499
 01/01  13:00:00,0.939593922797,3.34916056666,0.0,2.5523164206,0.0683394779577,0.0683394779577,0.0683394779577,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774170985427
 01/01  14:00:00,0.903022205627,2.92853194153,0.0,2.18881571951,0.0586065749567,0.0586065749567,0.0586065749567,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716259036194
 01/01  15:00:00,0.895491637581,2.73598258096,0.0,2.04963161662,0.0548798548467,0.0548798548467,0.0548798548467,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.66157294331
 01/01  16:00:00,0.946578485482,2.35097185145,0.0,1.65709766471,0.0443695728389,0.0443695728389,0.0443695728389,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.66771882416
