Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.814849253373,5.96463950001,0.0,5.58709427946,0.0,0.17228161286,0.17228161286,0.17228161286,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395304766
 01/01  02:00:00,0.713911416027,6.23368021141,0.0,5.9295306246,0.0,0.182745632695,0.182745632695,0.182745632695,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072402536
 01/01  03:00:00,0.677012008844,6.44412961884,0.0,6.15969471429,0.0,0.189580001633,0.189580001633,0.189580001633,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636876029
 01/01  04:00:00,0.676517816288,6.86373802914,0.0,6.57417905509,0.0,0.20229887136,0.20229887136,0.20229887136,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095932442
 01/01  05:00:00,0.67039085385,6.74923265998,0.0,6.40311723768,0.0,0.197192160909,0.197192160909,0.197192160909,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700232
 01/01  06:00:00,0.725642889124,7.12571593594,0.0,6.52871066037,0.0,0.20019669755,0.20019669755,0.20019669755,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468254
 01/01  07:00:00,0.921697713845,7.42470326695,0.0,6.35821328931,0.0,0.195188423531,0.195188423531,0.195188423531,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.25377203547,8.63655491985,0.0,7.43646585983,0.0,0.2277046086,0.2277046086,0.2277046086,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.16186782685,6.95510188138,0.0,5.78724792567,0.0,0.175549771906,0.175549771906,0.175549771906,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,1.02383938192,6.37366253198,0.0,5.31088999922,0.0,0.162137941934,0.162137941934,0.162137941934,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,1.06028163239,7.2574920639,0.0,6.31688760805,0.0,0.196075483355,0.196075483355,0.196075483355,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,1.04817381309,6.193162295,0.0,5.36351475835,0.0,0.166050715362,0.166050715362,0.166050715362,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686144776
 01/01  13:00:00,1.00767220042,5.45092452558,0.0,4.70663044383,0.0,0.145073294842,0.145073294842,0.145073294842,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891832033
 01/01  14:00:00,0.980011029812,5.37539919058,0.0,4.6826531007,0.0,0.144387102646,0.144387102646,0.144387102646,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182928
 01/01  15:00:00,0.977173889247,5.32729736194,0.0,4.68288875838,0.0,0.145817070481,0.145817070481,0.145817070481,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,1.04006996278,5.41872783938,0.0,4.76720422841,0.0,0.148524878653,0.148524878653,0.148524878653,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.26435688425,5.38211535937,0.0,4.66181920617,0.0,0.144763806358,0.144763806358,0.144763806358,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.71728299808,6.59613445713,0.0,5.74137532945,0.0,0.179173887943,0.179173887943,0.179173887943,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.95546809722,5.62906898638,0.0,4.64455862525,0.0,0.143679585344,0.143679585344,0.143679585344,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193290542
 01/01  20:00:00,1.89846424046,5.43297347444,0.0,4.42015323705,0.0,0.135646512408,0.135646512408,0.135646512408,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205092514
 01/01  21:00:00,1.77293823143,5.42658743137,0.0,4.48114309997,0.0,0.137955162701,0.137955162701,0.137955162701,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398513253
 01/01  22:00:00,1.63664389528,5.48609789092,0.0,4.63349254686,0.0,0.142774415448,0.142774415448,0.142774415448,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564486654
 01/01  23:00:00,1.36338624415,5.68494679336,0.0,4.97756905019,0.0,0.153477114742,0.153477114742,0.153477114742,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996768791
 01/01  24:00:00,1.08536627678,5.82859604539,0.0,5.28120429445,0.0,0.162937405536,0.162937405536,0.162937405536,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777361155
 01/02  01:00:00,0.809416667718,5.99296637594,0.0,5.62779686975,0.0,0.173422710281,0.173422710281,0.173422710281,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.3390195904
 01/02  02:00:00,0.707771089536,6.15918233936,0.0,5.86153323425,0.0,0.18055233028,0.18055233028,0.18055233028,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920844
 01/02  03:00:00,0.669519277342,6.27874627044,0.0,5.99909127262,0.0,0.184698508559,0.184698508559,0.184698508559,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.655672798086,6.22231664163,0.0,5.93788972409,0.0,0.18281925733,0.18281925733,0.18281925733,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.65634873246,6.37649329691,0.0,6.04087143287,0.0,0.185821195134,0.185821195134,0.185821195134,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.708040472759,6.63641045072,0.0,6.06966280729,0.0,0.186690973785,0.186690973785,0.186690973785,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553836121
