Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.685435446395,1.9229793293,0.0,1.5454342506,0.0,0.0428678058812,0.0428678058812,0.0428678058812,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395162917
 01/01  02:00:00,0.587413028208,2.33192814464,0.0,2.02777858456,0.0,0.056247244876,0.056247244876,0.056247244876,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072375807
 01/01  03:00:00,0.553240853571,2.65692033686,0.0,2.37248543675,0.0,0.0658088463608,0.0658088463608,0.0658088463608,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871601
 01/01  04:00:00,0.544839470026,2.83551102405,0.0,2.54595205047,0.0,0.0706205250983,0.0706205250983,0.0706205250983,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.552838471442,3.21722204586,0.0,2.87110662361,0.0,0.0796397785008,0.0796397785008,0.0796397785008,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.605079051756,3.46786248575,0.0,2.87085721019,0.0,0.0796328601824,0.0796328601824,0.0796328601824,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.802615678901,3.81021378608,0.0,2.74372380843,0.0,0.0761063885869,0.0761063885869,0.0761063885869,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.09414211592,3.65426076057,0.0,2.45417170055,0.0,0.0680746890509,0.0680746890509,0.0680746890509,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.03219057131,2.82161151328,0.0,1.65375755758,0.0,0.0458725163658,0.0458725163658,0.0458725163658,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.889531836054,2.06609067583,0.0,1.00331814052,0.0,0.0278303960638,0.0278303960638,0.0278303960638,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684237
 01/01  11:00:00,0.894794056797,2.04333410274,0.0,1.10272964381,0.0,0.0305879077624,0.0305879077624,0.0305879077624,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825348947
 01/01  12:00:00,0.882123097729,0.828376074583,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.805589985698
 01/01  13:00:00,0.862598905581,0.738076495271,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.715674245556
 01/01  14:00:00,0.835623927166,0.683043848944,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.659866941996
 01/01  15:00:00,0.831356818766,0.633640591782,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.609158631657
 01/01  16:00:00,0.891545084126,0.639865892376,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.614023047923
 01/01  17:00:00,1.11959307789,0.708478188732,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.677910633047
 01/01  18:00:00,1.53810911013,0.846966233608,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.809831538676
 01/01  19:00:00,1.81178851188,0.976641860513,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.93632478992
 01/01  20:00:00,1.76281772805,1.00497552263,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.963360377759
 01/01  21:00:00,1.63498306873,0.940178872222,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.897133054079
 01/01  22:00:00,1.49386947983,0.850424403018,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.808383545609
 01/01  23:00:00,1.21866182588,1.02287295958,0.0,0.315544885608,0.0,0.00875269646563,0.00875269646563,0.00875269646563,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670947099592
 01/01  24:00:00,0.946188730851,1.40393836253,0.0,0.856570567995,0.0,0.0237598596111,0.0237598596111,0.0237598596111,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515753404746
 01/02  01:00:00,0.6712910193,1.63766948862,0.0,1.27250012514,0.0,0.0352970618629,0.0352970618629,0.0352970618629,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019447692
 01/02  02:00:00,0.580363114416,2.21356491487,0.0,1.91591580213,0.0,0.0531443551601,0.0531443551601,0.0531443551601,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.27357192847
 01/02  03:00:00,0.543220584643,2.38503627139,0.0,2.10538127163,0.0,0.0583998158596,0.0583998158596,0.0583998158596,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856971254
