Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.764622978142,4.55824546156,0.0,4.16692760713,0.111571455271,0.111571455271,0.111571455271,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.364851707108
 01/01  02:00:00,0.66173328324,4.89690682056,0.0,4.5858122435,0.122787289305,0.122787289305,0.122787289305,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286726226839
 01/01  03:00:00,0.630090845413,5.36353862849,0.0,5.07417479949,0.135863427459,0.135863427459,0.135863427459,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265278010374
 01/01  04:00:00,0.621765541836,5.55398438928,0.0,5.25892001943,0.140810068003,0.140810068003,0.140810068003,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271317589144
 01/01  05:00:00,0.623662762203,5.73094655608,0.0,5.37369909146,0.143883331882,0.143883331882,0.143883331882,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334397721738
 01/01  06:00:00,0.676551010415,6.01264038722,0.0,5.38044912101,0.144064067112,0.144064067112,0.144064067112,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606692789592
 01/01  07:00:00,0.875585662006,6.31236101381,0.0,5.16541024379,0.138306299583,0.138306299583,0.138306299583,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11748978777
 01/01  08:00:00,1.17776427246,6.89652650772,0.0,5.60185015955,0.149992184516,0.149992184516,0.149992184516,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26337184725
 01/01  09:00:00,1.1288385393,6.0086338018,0.0,4.74777744609,0.127123984122,0.127123984122,0.127123984122,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23439020838
 01/01  10:00:00,0.989584939484,5.56557334509,0.0,4.41889688137,0.118318051628,0.118318051628,0.118318051628,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12415163216
 01/01  11:00:00,1.00335219084,5.88370638672,0.0,4.87103489252,0.13042426048,0.13042426048,0.13042426048,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.98961691591
 01/01  12:00:00,0.994119445413,4.74767232574,0.0,3.85701279099,0.103273339656,0.103273339656,0.103273339656,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867597893156
