Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.375646669285,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.349496753496
 01/01  02:00:00,0.541078754492,0.661521384764,0.0,0.357374137562,0.0,0.00991297116007,0.00991297116007,0.00991297116007,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280070062929
 01/01  03:00:00,0.51255532229,1.19015953905,0.0,0.905724723114,0.0,0.0251233150794,0.0251233150794,0.0251233150794,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636787421
 01/01  04:00:00,0.514747650162,1.75066593022,0.0,1.46110695226,0.0,0.0405287052341,0.0405287052341,0.0405287052341,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095936355
 01/01  05:00:00,0.522600846422,2.12712050451,0.0,1.78100508,0.0,0.049402153481,0.049402153481,0.049402153481,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538702447
 01/01  06:00:00,0.581280446226,2.60989508229,0.0,2.01288980673,0.0,0.0558342546514,0.0558342546514,0.0558342546514,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468254
 01/01  07:00:00,0.807450126378,3.98450123934,0.0,2.91801126169,0.0,0.080940836064,0.080940836064,0.080940836064,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.08151451148,3.19902098703,0.0,1.99893187666,0.0,0.0554470846141,0.0554470846141,0.0554470846141,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.1691586522
 01/01  09:00:00,1.01803504023,2.31128816619,0.0,1.14343420163,0.0,0.0317169852904,0.0317169852904,0.0317169852904,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404876
 01/01  10:00:00,0.869952624761,1.36023733635,0.0,0.297464805818,0.0,0.00825118477046,0.00825118477046,0.00825118477046,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683759
