Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.716848623815,3.05546104635,0.0,2.67791582524,0.0,0.0742809833016,0.0742809833016,0.0742809833016,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.612051908467,3.22018843108,0.0,2.91603886909,0.0,0.0808861251353,0.0808861251353,0.0808861251353,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.576349899862,3.49002832789,0.0,3.20559342777,0.0,0.0889178926521,0.0889178926521,0.0889178926521,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.566279040421,3.60843251881,0.0,3.3188734941,0.0,0.0920600954936,0.0920600954936,0.0920600954936,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095983111
 01/01  05:00:00,0.567963008048,3.76247923006,0.0,3.41636375575,0.0,0.0947643151071,0.0947643151071,0.0947643151071,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538752245
 01/01  06:00:00,0.623886871068,4.14590626186,0.0,3.54890096694,0.0,0.0984406794941,0.0984406794941,0.0984406794941,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811487611
 01/01  07:00:00,0.817354566185,4.34156781171,0.0,3.27507783405,0.0,0.090845275871,0.090845275871,0.090845275871,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.11209908646,4.30163042984,0.0,3.10154136981,0.0,0.0860316595949,0.0860316595949,0.0860316595949,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.05970090191,3.81339092183,0.0,2.64553696612,0.0,0.0733828469709,0.0733828469709,0.0733828469709,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.919707707879,3.15396594239,0.0,2.09119340963,0.0,0.0580062678883,0.0580062678883,0.0580062678883,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
