Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.09532050675,11.464216292,0.0,11.0119612092,0.0,0.374526900812,0.374526900812,0.374526900812,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423745593247
 01/01  02:00:00,0.97567553595,11.7264801538,0.0,11.3684733979,0.0,0.386457358175,0.386457358175,0.386457358175,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331757025741
 01/01  03:00:00,0.941023014729,12.1796188421,0.0,11.8478867269,0.0,0.402886798458,0.402886798458,0.402886798458,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30578672976
 01/01  04:00:00,0.939260296769,12.535215931,0.0,12.1971662908,0.0,0.41477649187,0.41477649187,0.41477649187,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312469468346
 01/01  05:00:00,0.937491855831,12.621741031,0.0,12.2106588569,0.0,0.415190747384,0.415190747384,0.415190747384,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38646829668
 01/01  06:00:00,0.993576533624,12.9536900078,0.0,12.2221366809,0.0,0.415595511784,0.415595511784,0.415595511784,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.7040862179
 01/01  07:00:00,1.2428709289,14.1500905091,0.0,12.8170618436,0.0,0.436000242943,0.436000242943,0.436000242943,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30129312211
 01/01  08:00:00,1.56636966864,14.1638213494,0.0,12.6560787583,0.0,0.43065960832,0.43065960832,0.43065960832,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47402119865
 01/01  09:00:00,1.47438651549,12.4599385402,0.0,10.9906636823,0.0,0.373186727154,0.373186727154,0.373186727154,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44076536829
 01/01  10:00:00,1.24209487282,10.4460325738,0.0,9.10773446121,0.0,0.309020387309,0.309020387309,0.309020387309,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31403423155
 01/01  11:00:00,1.21687996396,9.65245374541,0.0,8.46925099111,0.0,0.287596366612,0.287596366612,0.287596366612,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15836822694
 01/01  12:00:00,1.1544710376,7.16616251826,0.0,6.12588894048,0.0,0.207261338455,0.207261338455,0.207261338455,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0154314418
