Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.987035591265,8.18536713334,0.0,7.73135334178,0.0,0.266241985329,0.266241985329,0.266241985329,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425504301973
 01/01  02:00:00,0.858713801628,8.1809325886,0.0,7.82019660713,0.0,0.269495623854,0.269495623854,0.269495623854,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334486251271
 01/01  03:00:00,0.809343773451,8.20404404427,0.0,7.86907970825,0.0,0.27120755718,0.27120755718,0.27120755718,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309018950513
 01/01  04:00:00,0.796342284849,8.23007129347,0.0,7.88848282571,0.0,0.27185847995,0.27185847995,0.27185847995,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316008295898
 01/01  05:00:00,0.795162218466,8.33242455742,0.0,7.91763010527,0.0,0.272861110019,0.272861110019,0.272861110019,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390180574699
 01/01  06:00:00,0.84709198176,8.54449902107,0.0,7.80882158684,0.0,0.26911095992,0.26911095992,0.26911095992,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708210325243
 01/01  07:00:00,1.06645600231,8.87182514586,0.0,7.5347440295,0.0,0.259585316357,0.259585316357,0.259585316357,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30534557298
 01/01  08:00:00,1.40106446202,9.21704123158,0.0,7.70516463817,0.0,0.2653544017,0.2653544017,0.2653544017,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47815520087
 01/01  09:00:00,1.32362822092,7.94565229121,0.0,6.47131401589,0.0,0.222428432584,0.222428432584,0.222428432584,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44582878573
 01/01  10:00:00,1.12125164814,6.82164463989,0.0,5.47799764958,0.0,0.188177162632,0.188177162632,0.188177162632,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31938310926
 01/01  11:00:00,1.12446169999,6.85838611695,0.0,5.66987622509,0.0,0.195178102644,0.195178102644,0.195178102644,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1636753645
 01/01  12:00:00,1.0857675431,5.09087969619,0.0,4.04586829886,0.0,0.138557843957,0.138557843957,0.138557843957,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02016926135
 01/01  13:00:00,1.04703436026,4.43284238057,0.0,3.49672953968,0.0,0.119852274087,0.119852274087,0.119852274087,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911689178871
 01/01  14:00:00,0.998752044809,3.71661854118,0.0,2.84711957125,0.0,0.0975289422872,0.0975289422872,0.0975289422872,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84423075138
 01/01  15:00:00,1.00753761356,3.92838123974,0.0,3.1213425901,0.0,0.107124466567,0.107124466567,0.107124466567,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780347619631
 01/01  16:00:00,1.09274683987,4.34964814184,0.0,3.53372055256,0.0,0.121633004937,0.121633004937,0.121633004937,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787752878861
 01/01  17:00:00,1.38393117925,5.22275527191,0.0,4.31965771179,0.0,0.148899009962,0.148899009962,0.148899009962,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869771815693
 01/01  18:00:00,1.92826749575,6.95917526082,0.0,5.88702940825,0.0,0.203267788087,0.203267788087,0.203267788087,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03166039912
 01/01  19:00:00,2.25052123308,6.50895039111,0.0,5.27569823511,0.0,0.181338851534,0.181338851534,0.181338851534,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18929717299
 01/01  20:00:00,2.22595014868,6.83993847017,0.0,5.57145210983,0.0,0.191817483915,0.191817483915,0.191817483915,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22311617448
 01/01  21:00:00,2.1015037891,7.65171945365,0.0,6.46816909152,0.0,0.223003102952,0.223003102952,0.223003102952,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13662040969
 01/01  22:00:00,1.95712617904,8.3376802408,0.0,7.27256872051,0.0,0.250730833969,0.250730833969,0.250730833969,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01927720878
 01/01  23:00:00,1.64266100634,8.59760659499,0.0,7.71930009235,0.0,0.266050435382,0.266050435382,0.266050435382,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838642779876
 01/01  24:00:00,1.32395209356,8.73017351271,0.0,8.0582018273,0.0,0.277729120164,0.277729120164,0.277729120164,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.637504648355
 01/02  01:00:00,1.00470815924,8.86589521518,0.0,8.42726335116,0.0,0.290488236376,0.290488236376,0.290488236376,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410122374436
 01/02  02:00:00,0.88593822586,9.07333477285,0.0,8.72085083443,0.0,0.300667072161,0.300667072161,0.300667072161,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326234208218
 01/02  03:00:00,0.846247440118,9.34093719445,0.0,9.01234337945,0.0,0.310722462275,0.310722462275,0.310722462275,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302648429495
 01/02  04:00:00,0.838600392244,9.48322900663,0.0,9.14856254995,0.0,0.315481991517,0.315481991517,0.315481991517,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309086284811
 01/02  05:00:00,0.847529398928,9.90832962898,0.0,9.50766174313,0.0,0.327899446097,0.327899446097,0.327899446097,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376054008399
 01/02  06:00:00,0.915689158694,10.6037412924,0.0,9.90772108301,0.0,0.341804829454,0.341804829454,0.341804829454,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.66855310043
 01/02  07:00:00,1.15720125982,11.7069424705,0.0,10.4601544026,0.0,0.360956086083,0.360956086083,0.360956086083,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2150525245
 01/02  08:00:00,1.45784237368,11.3572821692,0.0,9.9561014419,0.0,0.34329367528,0.34329367528,0.34329367528,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36745933481
 01/02  09:00:00,1.368400894,10.0603223622,0.0,8.70238972482,0.0,0.299638406559,0.299638406559,0.299638406559,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32942314777
 01/02  10:00:00,1.14326377323,8.65292773114,0.0,7.41743815785,0.0,0.255220346183,0.255220346183,0.255220346183,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21122569224
