Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.921941715173,6.86959533878,0.0,6.41270943248,0.0,0.201148109236,0.201148109236,0.201148109236,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428376416716
 01/01  02:00:00,0.810573666382,7.41605663416,0.0,7.05256057959,0.0,0.221355488607,0.221355488607,0.221355488607,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337246324361
 01/01  03:00:00,0.775120976843,7.88536110297,0.0,7.54779128066,0.0,0.236984760572,0.236984760572,0.236984760572,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311624436807
 01/01  04:00:00,0.762942345633,7.94211376265,0.0,7.59819624945,0.0,0.238458540734,0.238458540734,0.238458540734,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31833734133
 01/01  05:00:00,0.775753658362,8.48964271615,0.0,8.07267270461,0.0,0.253452549915,0.253452549915,0.253452549915,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39235613409
 01/01  06:00:00,0.827439487419,8.6861047934,0.0,7.94852334768,0.0,0.249458465579,0.249458465579,0.249458465579,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710114336723
 01/01  07:00:00,1.07226355978,9.79412558557,0.0,8.45549165748,0.0,0.265392873824,0.265392873824,0.265392873824,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30689838471
 01/01  08:00:00,1.39750451032,9.84813809202,0.0,8.33454823082,0.0,0.261794449999,0.261794449999,0.261794449999,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47986846866
 01/01  09:00:00,1.29568809903,7.69859329848,0.0,6.22372655006,0.0,0.194488310692,0.194488310692,0.194488310692,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44635725883
 01/01  10:00:00,1.06883102282,5.69626523895,0.0,4.3521689881,0.0,0.135756537315,0.135756537315,0.135756537315,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3198323698
 01/01  11:00:00,1.07277832753,5.76917782836,0.0,4.57885855188,0.0,0.143494730181,0.143494730181,0.143494730181,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16548474913
 01/01  12:00:00,1.04628636867,4.22526965124,0.0,3.17801867974,0.0,0.0990766695177,0.0990766695177,0.0990766695177,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02240883553
 01/01  13:00:00,1.00558518037,3.45359548192,0.0,2.51492290142,0.0,0.0784030941972,0.0784030941972,0.0784030941972,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914248918486
 01/01  14:00:00,0.965130492379,2.92119925736,0.0,2.04977844568,0.0,0.0639073898567,0.0639073898567,0.0639073898567,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846152593126
 01/01  15:00:00,0.963747960546,2.84034507738,0.0,2.03149162258,0.0,0.0633348135498,0.0633348135498,0.0633348135498,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782162424786
 01/01  16:00:00,1.04248572022,3.0970988852,0.0,2.27927365853,0.0,0.0713718852859,0.0713718852859,0.0713718852859,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789650516251
 01/01  17:00:00,1.33181560644,3.98644577606,0.0,3.08102429872,0.0,0.0967834371499,0.0967834371499,0.0967834371499,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.872095732909
 01/01  18:00:00,1.87803323875,5.93453854695,0.0,4.85965608021,0.0,0.153033531088,0.153033531088,0.153033531088,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03439701329
 01/01  19:00:00,2.20297825671,5.51061119547,0.0,4.27486845307,0.0,0.133795875166,0.133795875166,0.133795875166,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19178775939
 01/01  20:00:00,2.17592024115,5.79503342506,0.0,4.52421325729,0.0,0.141787576389,0.141787576389,0.141787576389,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22544998191
 01/01  21:00:00,2.03450075195,6.15950502582,0.0,4.97406938029,0.0,0.156000065798,0.156000065798,0.156000065798,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13850569309
 01/01  22:00:00,1.87762902993,6.52567050341,0.0,5.45809019485,0.0,0.171233684861,0.171233684861,0.171233684861,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02174599704
 01/01  23:00:00,1.56010218392,6.72981656234,0.0,5.84873269331,0.0,0.183491612971,0.183491612971,0.183491612971,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84142014626
 01/01  24:00:00,1.24351714355,6.96241554122,0.0,6.28811299757,0.0,0.197294170152,0.197294170152,0.197294170152,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639835506602
 01/02  01:00:00,0.938946183703,7.59695022005,0.0,7.15554128927,0.0,0.224726260843,0.224726260843,0.224726260843,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412899441191
 01/02  02:00:00,0.82828931593,8.09428817495,0.0,7.73953330482,0.0,0.24301816223,0.24301816223,0.24301816223,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32850513993
 01/02  03:00:00,0.792917718049,8.52909829437,0.0,8.19806662036,0.0,0.257392740205,0.257392740205,0.257392740205,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305086288508
 01/02  04:00:00,0.781100099168,8.55348979054,0.0,8.21651510292,0.0,0.257981698441,0.257981698441,0.257981698441,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311394515752
 01/02  05:00:00,0.774833070986,8.53638262078,0.0,8.13374119775,0.0,0.255203118155,0.255203118155,0.255203118155,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378027545577
 01/02  06:00:00,0.830944686546,8.88940962082,0.0,8.19146291242,0.0,0.257060357307,0.257060357307,0.257060357307,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670479599405
