Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.986551959276,8.92215293126,0.0,8.46627179021,0.0,0.265758353339,0.265758353339,0.265758353339,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427371651465
 01/01  02:00:00,0.875298183805,9.48033382668,0.0,9.11864132909,0.0,0.28608000603,0.28608000603,0.28608000603,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335442767393
 01/01  03:00:00,0.837958341144,9.89259883677,0.0,9.55720001052,0.0,0.299822124873,0.299822124873,0.299822124873,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309453440749
 01/01  04:00:00,0.838683166578,10.3558371727,0.0,10.0141805528,0.0,0.314199361679,0.314199361679,0.314199361679,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316076448042
 01/01  05:00:00,0.842689278767,10.6273822689,0.0,10.2128140799,0.0,0.32038817032,0.32038817032,0.32038817032,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389954311573
 01/01  06:00:00,0.900817561231,11.0264304989,0.0,10.291303854,0.0,0.322836539391,0.322836539391,0.322836539391,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707659535862
 01/01  07:00:00,1.14945200902,12.2524720926,0.0,10.9161094161,0.0,0.342581323072,0.342581323072,0.342581323072,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30462713305
 01/01  08:00:00,1.47251484086,12.2387705145,0.0,10.727690377,0.0,0.33680478054,0.33680478054,0.33680478054,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47735874494
 01/01  09:00:00,1.38665755812,10.5896260018,0.0,9.11701685894,0.0,0.285457769787,0.285457769787,0.285457769787,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44409965326
 01/01  10:00:00,1.16972432714,8.90473856743,0.0,7.5630164109,0.0,0.236649841633,0.236649841633,0.236649841633,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31745827549
 01/01  11:00:00,1.15930528903,8.52689158633,0.0,7.34028128675,0.0,0.230021691681,0.230021691681,0.230021691681,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16177577222
 01/01  12:00:00,1.10725260332,6.17437965242,0.0,5.13112940785,0.0,0.16004290417,0.16004290417,0.16004290417,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01840810859
 01/01  13:00:00,1.04978625951,4.86554777483,0.0,3.93046448379,0.0,0.122604173342,0.122604173342,0.122604173342,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910659629029
 01/01  14:00:00,1.01462350928,4.49766390185,0.0,3.62853033302,0.0,0.113400406759,0.113400406759,0.113400406759,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843865350275
 01/01  15:00:00,1.01715268842,4.53792577671,0.0,3.73167110816,0.0,0.116739541425,0.116739541425,0.116739541425,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779563638538
 01/01  16:00:00,1.09831969747,4.87545253993,0.0,4.06046802157,0.0,0.127205862536,0.127205862536,0.127205862536,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78680980794
 01/01  17:00:00,1.37943766175,5.50818497955,0.0,4.60574964308,0.0,0.144405492461,0.144405492461,0.144405492461,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86910959204
 01/01  18:00:00,1.92042210103,7.29174445508,0.0,6.21970364292,0.0,0.195422393368,0.195422393368,0.195422393368,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03155535871
 01/01  19:00:00,2.24069934575,6.7171974491,0.0,5.48386716766,0.0,0.171516964203,0.171516964203,0.171516964203,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18937529844
 01/01  20:00:00,2.21440229263,7.02275344111,0.0,5.75418123767,0.0,0.180269627869,0.180269627869,0.180269627869,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22320201759
 01/01  21:00:00,2.06890161849,7.25912883667,0.0,6.07592988175,0.0,0.190400932334,0.190400932334,0.190400932334,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13626900249
 01/01  22:00:00,1.90979806182,7.55459015954,0.0,6.48914587338,0.0,0.203402716749,0.203402716749,0.203402716749,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01960997464
 01/01  23:00:00,1.59281633008,7.77606347435,0.0,6.89693956556,0.0,0.216205759128,0.216205759128,0.216205759128,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839460186024
 01/01  24:00:00,1.27593333846,8.00012823426,0.0,7.32717235734,0.0,0.229710365065,0.229710365065,0.229710365065,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638488839872
 01/02  01:00:00,0.959406779384,8.25916242182,0.0,7.81952578084,0.0,0.245186856525,0.245186856525,0.245186856525,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411127151398
 01/02  02:00:00,0.837969463195,8.41047733971,0.0,8.05698856244,0.0,0.252698309496,0.252698309496,0.252698309496,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327239047069
 01/02  03:00:00,0.794184317939,8.57962395423,0.0,8.25009221945,0.0,0.258659340095,0.258659340095,0.258659340095,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303586349277
 01/02  04:00:00,0.781495035283,8.57711445691,0.0,8.24162211371,0.0,0.258376634557,0.258376634557,0.258376634557,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309912171333
