Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.926296658322,6.86625505852,0.0,6.40777676254,0.0,0.205503052386,0.205503052386,0.205503052386,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429968806397
 01/01  02:00:00,0.820144225866,7.56389135353,0.0,7.19963154015,0.0,0.230926048091,0.230926048091,0.230926048091,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338010083169
 01/01  03:00:00,0.779945910108,7.88092250648,0.0,7.54303821271,0.0,0.241809693837,0.241809693837,0.241809693837,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311938908261
 01/01  04:00:00,0.77894570288,8.28067665703,0.0,7.93663026771,0.0,0.254461897981,0.254461897981,0.254461897981,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31846621745
 01/01  05:00:00,0.782541064276,8.53465231749,0.0,8.11754362389,0.0,0.260239955828,0.260239955828,0.260239955828,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392494816147
 01/01  06:00:00,0.84072805453,8.9348459984,0.0,8.19738341278,0.0,0.26274703269,0.26274703269,0.26274703269,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709995476621
 01/01  07:00:00,1.06129383868,9.27612879163,0.0,7.9373230897,0.0,0.254423152729,0.254423152729,0.254423152729,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30707015854
 01/01  08:00:00,1.37794223596,9.07573577696,0.0,7.56232944338,0.0,0.242232175644,0.242232175644,0.242232175644,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47968494103
 01/01  09:00:00,1.29281725536,7.47501128685,0.0,5.99947277706,0.0,0.191617467025,0.191617467025,0.191617467025,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44702902021
 01/01  10:00:00,1.07582844086,5.8209317587,0.0,4.47631575201,0.0,0.142753955349,0.142753955349,0.142753955349,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32035212563
 01/01  11:00:00,1.04974108492,4.96340605784,0.0,3.77364372709,0.0,0.120457487576,0.120457487576,0.120457487576,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16492780339
