Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.972708674175,8.39429941669,0.0,7.93735375882,0.0,0.251915068239,0.251915068239,0.251915068239,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428436168286
 01/01  02:00:00,0.858254233841,8.844268825,0.0,8.48165432983,0.0,0.269036056066,0.269036056066,0.269036056066,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336364764963
 01/01  03:00:00,0.818813266519,9.1853796545,0.0,8.84910737413,0.0,0.280677050248,0.280677050248,0.280677050248,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310326894866
 01/01  04:00:00,0.816670112163,9.55337057411,0.0,9.21077032722,0.0,0.292186307264,0.292186307264,0.292186307264,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317020075023
 01/01  05:00:00,0.828031941217,10.0515103616,0.0,9.63596477365,0.0,0.30573083277,0.30573083277,0.30573083277,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390931710542
 01/01  06:00:00,0.884670263846,10.4016472358,0.0,9.66544282539,0.0,0.306689242006,0.306689242006,0.306689242006,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708737301433
 01/01  07:00:00,1.10830350984,10.8415085044,0.0,9.50432074763,0.0,0.301432823891,0.301432823891,0.301432823891,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30545221335
 01/01  08:00:00,1.42732310704,10.7084083001,0.0,9.1965923198,0.0,0.291613046722,0.291613046722,0.291613046722,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47809458779
 01/01  09:00:00,1.35685133612,9.5480956409,0.0,8.07393112615,0.0,0.25565154778,0.25565154778,0.25565154778,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44565502516
 01/01  10:00:00,1.16191109418,8.57022967846,0.0,7.22732834349,0.0,0.228836608671,0.228836608671,0.228836608671,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31863745392
 01/01  11:00:00,1.16232583559,8.5366639481,0.0,7.3495578963,0.0,0.233042238243,0.233042238243,0.233042238243,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16227152445
 01/01  12:00:00,1.12985202266,6.82248508202,0.0,5.77882839421,0.0,0.18264232351,0.18264232351,0.18264232351,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01881455183
 01/01  13:00:00,1.05632289091,5.03096793286,0.0,4.09617431349,0.0,0.129140804739,0.129140804739,0.129140804739,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910369957352
 01/01  14:00:00,1.00200771589,4.06548817301,0.0,3.19643169005,0.0,0.100784613368,0.100784613368,0.100784613368,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843788264407
 01/01  15:00:00,0.9807505656,3.35626481415,0.0,2.54892175645,0.0,0.0803374186033,0.0803374186033,0.0803374186033,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780652027689
 01/01  16:00:00,1.06797758991,3.87671397358,0.0,3.06043519117,0.0,0.0968637549768,0.0968637549768,0.0968637549768,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788104071994
 01/01  17:00:00,1.34292006165,4.30828370819,0.0,3.4045350584,0.0,0.107887892361,0.107887892361,0.107887892361,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870422905355
 01/01  18:00:00,1.86522420357,5.49027891985,0.0,4.4169443268,0.0,0.140224495904,0.140224495904,0.140224495904,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03284913959
 01/01  19:00:00,2.19099347185,5.08884370537,0.0,3.85341318626,0.0,0.121811090312,0.121811090312,0.121811090312,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1914755361
 01/01  20:00:00,2.17020122235,5.56667072175,0.0,4.29571836527,0.0,0.136068557582,0.136068557582,0.136068557582,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22558217063
 01/01  21:00:00,2.03284586274,6.05523381648,0.0,4.86965083592,0.0,0.154345176589,0.154345176589,0.154345176589,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13865302813
 01/01  22:00:00,1.88220256337,6.61221188557,0.0,5.54479492282,0.0,0.175807218298,0.175807218298,0.175807218298,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02158265122
 01/01  23:00:00,1.57180830662,7.03735208048,0.0,6.15668884668,0.0,0.195197735668,0.195197735668,0.195197735668,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840999511033
 01/01  24:00:00,1.2645667386,7.55842165818,0.0,6.88437769446,0.0,0.218343765203,0.218343765203,0.218343765203,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639576926676
 01/02  01:00:00,0.95235400335,7.94884132574,0.0,7.50807557593,0.0,0.23813408049,0.23813408049,0.23813408049,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412256260226
 01/02  02:00:00,0.833541613877,8.18212450419,0.0,7.82783360829,0.0,0.248270460177,0.248270460177,0.248270460177,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328041165705
 01/02  03:00:00,0.801662072389,8.72012164311,0.0,8.38974644281,0.0,0.266137094546,0.266137094546,0.266137094546,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304429814787
 01/02  04:00:00,0.796675091456,8.96194870214,0.0,8.62586408718,0.0,0.273556690729,0.273556690729,0.273556690729,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310504443092
 01/02  05:00:00,0.787271705502,8.84503800327,0.0,8.44305623113,0.0,0.267641752671,0.267641752671,0.267641752671,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377367894684
 01/02  06:00:00,0.837025612784,8.99858968239,0.0,8.30126934702,0.0,0.263141283544,0.263141283544,0.263141283544,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669853226378
 01/02  07:00:00,1.06374450565,9.68405260909,0.0,8.43559172435,0.0,0.267499331916,0.267499331916,0.267499331916,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21672534136
 01/02  08:00:00,1.35366277412,8.95459676271,0.0,7.5516833921,0.0,0.239114075719,0.239114075719,0.239114075719,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36919197807
 01/02  09:00:00,1.28382093972,8.15395426031,0.0,6.79358353587,0.0,0.215058452272,0.215058452272,0.215058452272,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33186123486
 01/02  10:00:00,1.06652834997,6.88406295104,0.0,5.64665282612,0.0,0.178484922924,0.178484922924,0.178484922924,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21314624388
 01/02  11:00:00,1.04736226013,6.43630498019,0.0,5.33977420725,0.0,0.168994892072,0.168994892072,0.168994892072,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07169624558
 01/02  12:00:00,1.04104130058,5.59698499451,0.0,4.62793225851,0.0,0.14632036095,0.14632036095,0.14632036095,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944210600025
 01/02  13:00:00,1.01202372492,5.06473986173,0.0,4.19505633182,0.0,0.132652144838,0.132652144838,0.132652144838,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845259867889
 01/02  14:00:00,0.987241150717,4.90766251016,0.0,4.09670721798,0.0,0.12960608071,0.12960608071,0.12960608071,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.78568707363
 01/02  15:00:00,0.996682112453,5.02963008728,0.0,4.27529368605,0.0,0.135394537632,0.135394537632,0.135394537632,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727645371218
 01/02  16:00:00,1.06540195857,4.91014546736,0.0,4.14673502081,0.0,0.131347096493,0.131347096493,0.131347096493,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.735235736129
 01/02  17:00:00,1.32861736037,4.93232228843,0.0,4.09344256218,0.0,0.129503110333,0.129503110333,0.129503110333,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.805553981819
 01/02  18:00:00,1.83646252456,5.62947573287,0.0,4.63295528547,0.0,0.146814747115,0.146814747115,0.146814747115,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956034993945
