Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.07649361444,11.4496778095,0.0,10.9982712218,0.0,0.355700008507,0.355700008507,0.355700008507,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42289709807
 01/01  02:00:00,0.944003253892,11.328213253,0.0,10.9705323296,0.0,0.354785076117,0.354785076117,0.354785076117,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331431193242
 01/01  03:00:00,0.892146778191,11.2778503031,0.0,10.946286326,0.0,0.35401056192,0.35401056192,0.35401056192,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305618591632
 01/01  04:00:00,0.886458060709,11.5300001464,0.0,11.1918094151,0.0,0.361974255811,0.361974255811,0.361974255811,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312610559478
 01/01  05:00:00,0.89759470994,12.0102559522,0.0,11.5986818349,0.0,0.375293601493,0.375293601493,0.375293601493,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386960239802
 01/01  06:00:00,0.968352189572,12.7956432579,0.0,12.0633463425,0.0,0.390371167732,0.390371167732,0.390371167732,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704829806453
 01/01  07:00:00,1.22430445602,14.2282512547,0.0,12.8948458409,0.0,0.417433770069,0.417433770069,0.417433770069,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30166987039
 01/01  08:00:00,1.52792317956,13.6348163437,0.0,12.1272043693,0.0,0.392213119244,0.392213119244,0.392213119244,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47389058187
 01/01  09:00:00,1.48969858208,13.4879455711,0.0,12.0185351285,0.0,0.38849879374,0.38849879374,0.38849879374,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.440900953
 01/01  10:00:00,1.29097768981,12.4093390214,0.0,11.0711814825,0.0,0.3579032043,0.3579032043,0.3579032043,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31389365787
 01/01  11:00:00,1.30249572191,12.7129222245,0.0,11.5306100545,0.0,0.373212124567,0.373212124567,0.373212124567,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1574776426
 01/01  12:00:00,1.25358416777,10.5296354941,0.0,9.49120163535,0.0,0.306374468626,0.306374468626,0.306374468626,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0135917228
 01/01  13:00:00,1.20586683844,9.55568662947,0.0,8.62575699369,0.0,0.278684752272,0.278684752272,0.278684752272,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905505973769
 01/01  14:00:00,1.16751933024,9.10437579075,0.0,8.24141539968,0.0,0.266296227715,0.266296227715,0.266296227715,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837692172518
 01/01  15:00:00,1.1520406541,8.59010743119,0.0,7.7900456523,0.0,0.251627507103,0.251627507103,0.251627507103,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.773370748879
 01/01  16:00:00,1.21641556329,8.40186284144,0.0,7.59331906357,0.0,0.245301728359,0.245301728359,0.245301728359,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.780369067449
