Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.05159437438,11.0338995068,0.0,10.5784531578,0.0,0.330800768446,0.330800768446,0.330800768446,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426936859423
 01/01  02:00:00,0.935864177814,11.4664545159,0.0,11.1066246209,0.0,0.346646000039,0.346646000039,0.346646000039,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333580164826
 01/01  03:00:00,0.891015303443,11.6368493009,0.0,11.3030350195,0.0,0.352879087172,0.352879087172,0.352879087172,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307868895917
 01/01  04:00:00,0.881732079231,11.7829387345,0.0,11.4428239792,0.0,0.357248274332,0.357248274332,0.357248274332,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314534583439
 01/01  05:00:00,0.880733101201,11.894250658,0.0,11.4812293934,0.0,0.358431992754,0.358431992754,0.358431992754,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38840738719
 01/01  06:00:00,0.9252147406,11.8574489692,0.0,11.1239376319,0.0,0.347233718759,0.347233718759,0.347233718759,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70604422828
 01/01  07:00:00,1.15802883332,12.5806184823,0.0,11.245664027,0.0,0.351158147364,0.351158147364,0.351158147364,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30321891196
 01/01  08:00:00,1.45226186637,11.6590344342,0.0,10.1496676563,0.0,0.316551806049,0.316551806049,0.316551806049,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4756453853
 01/01  09:00:00,1.39800561449,10.9862161858,0.0,9.51375971789,0.0,0.296805826153,0.296805826153,0.296805826153,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4439469783
 01/01  10:00:00,1.18013921247,9.27447418031,0.0,7.93370281432,0.0,0.247064726961,0.247064726961,0.247064726961,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31650748494
 01/01  11:00:00,1.16185684973,8.64572560957,0.0,7.46028882174,0.0,0.232573252385,0.232573252385,0.232573252385,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16060226047
 01/01  12:00:00,1.12083301951,6.62965465918,0.0,5.58715011848,0.0,0.173623320365,0.173623320365,0.173623320365,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01766240473
 01/01  13:00:00,1.07875271952,5.80631544636,0.0,4.87231406981,0.0,0.151570633347,0.151570633347,0.151570633347,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909577714538
 01/01  14:00:00,1.0400775036,5.32863146943,0.0,4.46163245007,0.0,0.138854401079,0.138854401079,0.138854401079,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841730800806
