Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.894671327962,5.79568599937,0.0,5.33610351428,0.0,0.173877722025,0.173877722025,0.173877722025,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.431072995505
 01/01  02:00:00,0.795475083501,6.68688292991,0.0,6.32125558669,0.0,0.206256905727,0.206256905727,0.206256905727,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339377613014
 01/01  03:00:00,0.759161648087,7.11861600216,0.0,6.77996861283,0.0,0.221025431816,0.221025431816,0.221025431816,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31270200382
 01/01  04:00:00,0.763510628233,7.67475483355,0.0,7.32957263866,0.0,0.239026823335,0.239026823335,0.239026823335,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31960202302
 01/01  05:00:00,0.760950278771,7.73506348709,0.0,7.31674966514,0.0,0.238649170324,0.238649170324,0.238649170324,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393699944497
 01/01  06:00:00,0.818637353706,8.12432967876,0.0,7.38606707716,0.0,0.240656331866,0.240656331866,0.240656331866,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710795492605
 01/01  07:00:00,1.06776020251,9.33756413639,0.0,7.99779455599,0.0,0.260889516558,0.260889516558,0.260889516558,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30803403702
 01/01  08:00:00,1.37637886286,8.89954804515,0.0,7.3853021185,0.0,0.240668802536,0.240668802536,0.240668802536,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48052453411
 01/01  09:00:00,1.2827023355,7.06848176903,0.0,5.59254503846,0.0,0.181502547166,0.181502547166,0.181502547166,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44742724098
 01/01  10:00:00,1.07008294331,5.57036200854,0.0,4.22490564071,0.0,0.137008457797,0.137008457797,0.137008457797,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32119248679
 01/01  11:00:00,1.04231599684,4.67441037775,0.0,3.48385756515,0.0,0.113032399496,0.113032399496,0.113032399496,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16571828525
 01/01  12:00:00,1.0035665163,2.79964773839,0.0,1.75182319762,0.0,0.0563568171554,0.0563568171554,0.0563568171554,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0229824048
 01/01  13:00:00,0.941731502651,1.39756337211,0.0,0.458348212457,0.0,0.0145494164824,0.0145494164824,0.0145494164824,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91479149764
 01/01  14:00:00,0.901223102522,0.873606537045,0.0,0.0,0.0,0.0,0.0,0.0,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.848338318494
 01/01  15:00:00,0.900413146997,0.811031095325,0.0,0.0,0.0,0.0,0.0,0.0,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.78434006531
 01/01  16:00:00,0.97111383493,0.82010506799,0.0,0.0,0.0,0.0,0.0,0.0,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.791930357572
 01/01  17:00:00,1.26147544101,1.73261483013,0.0,0.824447723887,0.0,0.0264432717269,0.0264432717269,0.0264432717269,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.874841361814
 01/01  18:00:00,1.79660032834,3.27158562213,0.0,2.19386829173,0.0,0.0716006206721,0.0716006206721,0.0716006206721,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03723187694
