Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.876769648455,5.55635194439,0.0,5.09613071402,0.0,0.155976042519,0.155976042519,0.155976042519,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.431711740778
 01/01  02:00:00,0.760459115888,5.96761059651,0.0,5.60163316427,0.0,0.171240938114,0.171240938114,0.171240938114,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339727702033
 01/01  03:00:00,0.720659173639,6.31220214772,0.0,5.97243236597,0.0,0.182522957368,0.182522957368,0.182522957368,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313824396249
 01/01  04:00:00,0.716348607597,6.62463319979,0.0,6.27862025473,0.0,0.191864802698,0.191864802698,0.191864802698,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320432773199
 01/01  05:00:00,0.723164349024,6.9913440678,0.0,6.57261986105,0.0,0.200863240577,0.200863240577,0.200863240577,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.394110329299
 01/01  06:00:00,0.78383355726,7.47605726452,0.0,6.73666638004,0.0,0.20585253542,0.20585253542,0.20585253542,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.71192377548
 01/01  07:00:00,1.02612661367,8.51408417808,0.0,7.17340348819,0.0,0.219255927717,0.219255927717,0.219255927717,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30894514651
 01/01  08:00:00,1.33948079182,8.18602604928,0.0,6.67112923336,0.0,0.203770731501,0.203770731501,0.203770731501,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48117542338
 01/01  09:00:00,1.27789423998,7.27347174252,0.0,5.79603849209,0.0,0.176694451639,0.176694451639,0.176694451639,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44892376084
 01/01  10:00:00,1.07899914167,6.13850411144,0.0,4.79231320069,0.0,0.145924656156,0.145924656156,0.145924656156,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32192702971
 01/01  11:00:00,1.081946706,6.19140440683,0.0,5.0003753094,0.0,0.152663108649,0.152663108649,0.152663108649,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16619457007
 01/01  12:00:00,1.05877559348,4.71836885787,0.0,3.67100786129,0.0,0.111565894328,0.111565894328,0.111565894328,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0225188606
 01/01  13:00:00,1.03160910716,4.36767121334,0.0,3.42869483738,0.0,0.104427020992,0.104427020992,0.104427020992,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914552713947
 01/01  14:00:00,0.968757713714,3.10035842126,0.0,2.22898006092,0.0,0.067534611192,0.067534611192,0.067534611192,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846110141784
 01/01  15:00:00,0.968329220973,3.04323037781,0.0,2.23391874109,0.0,0.0679160739767,0.0679160739767,0.0679160739767,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782620606705
 01/01  16:00:00,1.0477660038,3.33108200046,0.0,2.51266437762,0.0,0.0766521688738,0.0766521688738,0.0766521688738,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790242912422
 01/01  17:00:00,1.32690888336,3.91176808748,0.0,3.00598684605,0.0,0.0918767140701,0.0918767140701,0.0918767140701,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.872455496997
 01/01  18:00:00,1.85105874611,5.19163864118,0.0,4.1164144104,0.0,0.126059038451,0.126059038451,0.126059038451,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03473877733
 01/01  19:00:00,2.17879932628,4.83376084921,0.0,3.5966237028,0.0,0.109616944735,0.109616944735,0.109616944735,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19318216339
 01/01  20:00:00,2.15266675799,5.15580240846,0.0,3.88352256415,0.0,0.118534093224,0.118534093224,0.118534093224,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22690965846
 01/01  21:00:00,1.98281948365,4.61121834095,0.0,3.42514972028,0.0,0.104318797501,0.104318797501,0.104318797501,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13913866824
 01/01  22:00:00,1.82486102875,4.95035548213,0.0,3.88145195145,0.0,0.118465683675,0.118465683675,0.118465683675,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02306921916
 01/01  23:00:00,1.49546797564,4.77673449702,0.0,3.89426394906,0.0,0.118857404687,0.118857404687,0.118857404687,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842806825193
 01/01  24:00:00,1.16874245509,4.6897609828,0.0,4.01362389047,0.0,0.122519481697,0.122519481697,0.122519481697,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641670055278
 01/02  01:00:00,0.842746414296,4.65211391021,0.0,4.20882703048,0.0,0.128526491437,0.128526491437,0.128526491437,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414777390145
 01/02  02:00:00,0.720153912006,4.77326043496,0.0,4.41599936628,0.0,0.134882758306,0.134882758306,0.134882758306,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.331011338486
 01/02  03:00:00,0.670894709377,4.7667473814,0.0,4.43304677635,0.0,0.135369731533,0.135369731533,0.135369731533,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.307755219544
 01/02  04:00:00,0.660458599723,4.8382228722,0.0,4.49847773772,0.0,0.137340198996,0.137340198996,0.137340198996,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.314164962616
 01/02  05:00:00,0.656712675232,4.89590331859,0.0,4.49000611811,0.0,0.1370827224,0.1370827224,0.1370827224,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.381283323029
 01/02  06:00:00,0.702126247709,4.90264178437,0.0,4.20128638737,0.0,0.128241918469,0.128241918469,0.128241918469,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673888288007
 01/02  07:00:00,0.914722874648,5.13785596185,0.0,3.88548865655,0.0,0.118477700913,0.118477700913,0.118477700913,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22063176191
 01/02  08:00:00,1.23305158253,5.29529587366,0.0,3.88777824514,0.0,0.118502884129,0.118502884129,0.118502884129,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37379623598
 01/02  09:00:00,1.16033602756,4.37505077059,0.0,3.01007668369,0.0,0.0915735401187,0.0915735401187,0.0915735401187,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33646459731
 01/02  10:00:00,0.951882977092,3.3487786619,0.0,2.1063353198,0.0,0.063839550048,0.063839550048,0.063839550048,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21817946105
 01/02  11:00:00,0.925209866733,2.64849162912,0.0,1.54660917535,0.0,0.0468424986753,0.0468424986753,0.0468424986753,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0770479264
 01/02  12:00:00,0.907754365515,1.4105144357,0.0,0.435749079791,0.0,0.0130334258864,0.0130334258864,0.0130334258864,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.949923219936
 01/02  13:00:00,0.879371580078,0.875795650497,0.0,0.0,0.0,0.0,0.0,0.0,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.851371988482
 01/02  14:00:00,0.857635070007,0.817301284215,0.0,0.0,0.0,0.0,0.0,0.0,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.792033065663
 01/02  15:00:00,0.861287574821,0.760043557321,0.0,0.0,0.0,0.0,0.0,0.0,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.733352527306
 01/02  16:00:00,0.934054862075,0.768770633079,0.0,0.0,0.0,0.0,0.0,0.0,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.740595922661
 01/02  17:00:00,1.19911425004,0.8446996239,0.0,0.0,0.0,0.0,0.0,0.0,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.811373879468
 01/02  18:00:00,1.70074940309,1.3732642354,0.0,0.37107577072,0.0,0.0111016256416,0.0111016256416,0.0111016256416,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.961703011229
 01/02  19:00:00,2.04592329929,1.51024753651,0.0,0.367016456271,0.0,0.0110512332889,0.0110512332889,0.0110512332889,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09927609723
 01/02  20:00:00,2.02207903339,1.89695064588,0.0,0.730438465311,0.0,0.0221911228132,0.0221911228132,0.0221911228132,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12114199472
 01/02  21:00:00,1.88167022774,2.33039574853,0.0,1.24422109566,0.0,0.0380249119163,0.0380249119163,0.0380249119163,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03924470044
 01/02  22:00:00,1.72530933444,2.76579932589,0.0,1.78097447625,0.0,0.0545208468366,0.0545208468366,0.0545208468366,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.93899053812
 01/02  23:00:00,1.42143940201,3.20605082147,0.0,2.388960254,0.0,0.0731220429827,0.0731220429827,0.0731220429827,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.777426844695
 01/02  24:00:00,1.12197746757,3.62102155126,0.0,2.98467345422,0.0,0.0912893395108,0.0912893395108,0.0912893395108,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.601881059994
 01/03  01:00:00,0.823751572199,4.02891250258,0.0,3.58285968726,0.0,0.10953164934,0.10953164934,0.10953164934,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.417543325736
 01/03  02:00:00,0.709980534545,4.44109702421,0.0,4.08175365179,0.0,0.124709380846,0.124709380846,0.124709380846,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.333093642218
 01/03  03:00:00,0.672881498749,4.83263347726,0.0,4.4975901478,0.0,0.137356520906,0.137356520906,0.137356520906,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.309097943956
 01/03  04:00:00,0.670221263323,5.15914073551,0.0,4.81829934395,0.0,0.147102862597,0.147102862597,0.147102862597,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.315261219697
 01/03  05:00:00,0.675144938925,5.50140602172,0.0,5.09455071946,0.0,0.155514986093,0.155514986093,0.155514986093,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.382241424813
 01/03  06:00:00,0.735737000111,6.00550952334,0.0,5.30286747882,0.0,0.161852670871,0.161852670871,0.161852670871,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.675174935529
 01/03  07:00:00,0.972005625213,7.0102620183,0.0,5.7555664311,0.0,0.175760451478,0.175760451478,0.175760451478,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22296004382
 01/03  08:00:00,1.28725550037,7.06455648145,0.0,5.65485708044,0.0,0.172706801972,0.172706801972,0.172706801972,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37597800847
 01/03  09:00:00,1.21032463395,6.01893576681,0.0,4.65316793283,0.0,0.141562146511,0.141562146511,0.141562146511,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33725834439
 01/03  10:00:00,1.02075891917,5.60071424527,0.0,4.3575284299,0.0,0.132715492129,0.132715492129,0.132715492129,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21892193432
 01/03  11:00:00,1.00569395085,5.28072932019,0.0,4.17892790185,0.0,0.127326582796,0.127326582796,0.127326582796,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07696689098
 01/03  12:00:00,0.979090711363,3.75824988715,0.0,2.78436769614,0.0,0.0843697717343,0.0843697717343,0.0843697717343,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.949040055027
 01/03  13:00:00,0.940194526881,2.88437377106,0.0,2.00924345501,0.0,0.0608229468038,0.0608229468038,0.0608229468038,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.850706654033
 01/03  14:00:00,0.899370989738,2.19767284221,0.0,1.38056646339,0.0,0.0417359197302,0.0417359197302,0.0417359197302,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.791838160272
 01/03  15:00:00,0.898688200981,1.9948368519,0.0,1.23489777198,0.0,0.0374006261601,0.0374006261601,0.0374006261601,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.733248049904
 01/03  16:00:00,0.979653915039,2.26789174206,0.0,1.49860846164,0.0,0.0455990529643,0.0455990529643,0.0455990529643,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.741108569995
 01/03  17:00:00,1.26918733954,3.13725935874,0.0,2.29170507467,0.0,0.0700730895034,0.0700730895034,0.0700730895034,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.812228539637
 01/03  18:00:00,1.79902198533,4.5729240342,0.0,3.57026466444,0.0,0.109374207879,0.109374207879,0.109374207879,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.962173916308
