Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.975969376986,8.47912897202,0.0,8.02424755385,0.0,0.25517577105,0.25517577105,0.25517577105,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426371928582
 01/01  02:00:00,0.848881767153,8.53181707588,0.0,8.17120011705,0.0,0.259663589379,0.259663589379,0.259663589379,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334367228632
 01/01  03:00:00,0.804775573092,8.71484743327,0.0,8.37943081625,0.0,0.266639356821,0.266639356821,0.266639356821,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309471231507
 01/01  04:00:00,0.785478518979,8.54778318782,0.0,8.20584126993,0.0,0.26099471408,0.26099471408,0.26099471408,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316361746023
 01/01  05:00:00,0.783731203331,8.63348623061,0.0,8.21841232658,0.0,0.261430094884,0.261430094884,0.261430094884,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390460026586
 01/01  06:00:00,0.829028193599,8.62940683409,0.0,7.89351284864,0.0,0.251047171758,0.251047171758,0.251047171758,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708426876456
 01/01  07:00:00,1.06311126974,9.3936621958,0.0,8.05617483426,0.0,0.256240583785,0.256240583785,0.256240583785,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30575181816
 01/01  08:00:00,1.36756962437,8.80549768074,0.0,7.29333015243,0.0,0.231859564048,0.231859564048,0.231859564048,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47844613577
 01/01  09:00:00,1.30180326786,7.79567220651,0.0,6.32067216283,0.0,0.200603479522,0.200603479522,0.200603479522,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4464905541
 01/01  10:00:00,1.1347738294,7.69033593497,0.0,6.3462880921,0.0,0.20169934389,0.20169934389,0.20169934389,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31978396181
 01/01  11:00:00,1.12247931584,7.26894603182,0.0,6.08117495086,0.0,0.193195718494,0.193195718494,0.193195718494,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1629365536
 01/01  12:00:00,1.11828680817,6.43589821872,0.0,5.39105082732,0.0,0.17107710902,0.17107710902,0.17107710902,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02000525542
 01/01  13:00:00,1.08648601548,5.95495509678,0.0,5.01957969841,0.0,0.15930392931,0.15930392931,0.15930392931,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910951736359
 01/01  14:00:00,1.06994862798,6.17926146314,0.0,5.31142697246,0.0,0.168725525454,0.168725525454,0.168725525454,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84256627213
 01/01  15:00:00,1.08022878381,6.46054373668,0.0,5.65535203903,0.0,0.179815636812,0.179815636812,0.179815636812,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778500667639
 01/01  16:00:00,1.15289937922,6.5328123541,0.0,5.71972007801,0.0,0.181785544291,0.181785544291,0.181785544291,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784917565676
