Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.967221439844,8.60994452909,0.0,8.15433605199,0.0,0.246427833908,0.246427833908,0.246427833908,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427098987516
 01/01  02:00:00,0.845715124559,8.8516901582,0.0,8.49033046829,0.0,0.256496946784,0.256496946784,0.256496946784,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335109959705
 01/01  03:00:00,0.80504936289,9.15955046308,0.0,8.82344990093,0.0,0.266913146619,0.266913146619,0.266913146619,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310155176644
 01/01  04:00:00,0.797262250115,9.36083755411,0.0,9.01802584621,0.0,0.272778445216,0.272778445216,0.272778445216,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317231536038
 01/01  05:00:00,0.793193778767,9.37472300175,0.0,8.95920123469,0.0,0.27089267032,0.27089267032,0.27089267032,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390907889609
 01/01  06:00:00,0.855385769974,9.90935004939,0.0,9.17303988572,0.0,0.277404748133,0.277404748133,0.277404748133,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708843054684
 01/01  07:00:00,1.10243424821,11.106189927,0.0,9.76841287872,0.0,0.295563562262,0.295563562262,0.295563562262,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30604150494
 01/01  08:00:00,1.42556763356,11.0900009173,0.0,9.57760543285,0.0,0.28985757324,0.28985757324,0.28985757324,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47867409195
 01/01  09:00:00,1.34474735509,9.54537181091,0.0,8.07123016918,0.0,0.243547566751,0.243547566751,0.243547566751,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44563215215
 01/01  10:00:00,1.13605834915,8.07415225927,0.0,6.7308313428,0.0,0.202983863638,0.202983863638,0.202983863638,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31905703543
 01/01  11:00:00,1.12230887001,7.58111239804,0.0,6.39315690077,0.0,0.19302527266,0.19302527266,0.19302527266,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16312096991
 01/01  12:00:00,1.07780800652,5.39146373297,0.0,4.34662869511,0.0,0.130598307373,0.130598307373,0.130598307373,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01999290189
 01/01  13:00:00,1.03181281514,4.41637759173,0.0,3.47944000532,0.0,0.104630728971,0.104630728971,0.104630728971,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912513924396
 01/01  14:00:00,0.983499106639,3.60849748884,0.0,2.7381197144,0.0,0.0822760041173,0.0822760041173,0.0822760041173,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845109555888
 01/01  15:00:00,0.974837853891,3.2817834102,0.0,2.47379177148,0.0,0.0744247068948,0.0744247068948,0.0744247068948,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781300608713
 01/01  16:00:00,1.0481151862,3.3752489985,0.0,2.55847389012,0.0,0.0770013512657,0.0770013512657,0.0770013512657,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788600397964
 01/01  17:00:00,1.34372936146,4.49595080934,0.0,3.59115143132,0.0,0.108697192175,0.108697192175,0.108697192175,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871473633592
 01/01  18:00:00,1.88251169935,6.27033358002,0.0,5.1963210223,0.0,0.157511991686,0.157511991686,0.157511991686,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03352710427
 01/01  19:00:00,2.213228004,6.01001030424,0.0,4.77468390255,0.0,0.144045622459,0.144045622459,0.144045622459,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19137141868
 01/01  20:00:00,2.19581301927,6.62118644198,0.0,5.35067823421,0.0,0.161680354503,0.161680354503,0.161680354503,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22513802191
 01/01  21:00:00,2.06338548234,7.30023395931,0.0,6.11522936825,0.0,0.184884796185,0.184884796185,0.184884796185,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13807463863
 01/01  22:00:00,1.90986522541,7.79729571021,0.0,6.73052500382,0.0,0.20346988034,0.20346988034,0.20346988034,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02093639487
 01/01  23:00:00,1.60206083572,8.3349270984,0.0,7.45522898128,0.0,0.225450264771,0.225450264771,0.225450264771,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840034394349
 01/01  24:00:00,1.2953032452,8.90777952554,0.0,8.23432624553,0.0,0.249080271811,0.249080271811,0.249080271811,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638986242967
 01/02  01:00:00,0.982040488922,9.29394530297,0.0,8.85403114089,0.0,0.267820566062,0.267820566062,0.267820566062,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411404672493
 01/02  02:00:00,0.871056516937,9.79964882451,0.0,9.44625872039,0.0,0.285785363237,0.285785363237,0.285785363237,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327140373918
 01/02  03:00:00,0.83243970213,10.1443693865,0.0,9.81459603843,0.0,0.296914724286,0.296914724286,0.296914724286,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303827962539
