Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.985578359272,8.24009465214,0.0,7.78614311787,0.0,0.264784753336,0.264784753336,0.264784753336,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425442044683
 01/01  02:00:00,0.856839516708,8.22045904201,0.0,7.85964149674,0.0,0.267621338933,0.267621338933,0.267621338933,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334567815066
 01/01  03:00:00,0.806632660024,8.22072436778,0.0,7.88576116769,0.0,0.268496443753,0.268496443753,0.268496443753,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30901781458
 01/01  04:00:00,0.792420470227,8.21136961009,0.0,7.86968357858,0.0,0.267936665328,0.267936665328,0.267936665328,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316105859644
 01/01  05:00:00,0.789171276416,8.25343872773,0.0,7.83849748155,0.0,0.266870167969,0.266870167969,0.266870167969,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390327368726
 01/01  06:00:00,0.839939660063,8.43036736398,0.0,7.69458410728,0.0,0.261958638223,0.261958638223,0.261958638223,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708316147703
 01/01  07:00:00,1.08534340741,9.51165674395,0.0,8.17410552902,0.0,0.278472721455,0.278472721455,0.278472721455,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30581567155
 01/01  08:00:00,1.39691858512,9.189715767,0.0,7.67781181221,0.0,0.261208524798,0.261208524798,0.261208524798,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47818256225
 01/01  09:00:00,1.34419269499,8.61973583889,0.0,7.14514016154,0.0,0.242992906654,0.242992906654,0.242992906654,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44608618776
 01/01  10:00:00,1.16205787498,8.07710368253,0.0,6.7338213175,0.0,0.228983389471,0.228983389471,0.228983389471,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31901848398
 01/01  11:00:00,1.18151776651,8.59167679154,0.0,7.40429315248,0.0,0.252234169166,0.252234169166,0.252234169166,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1625491117
 01/01  12:00:00,1.13562773272,6.60126726676,0.0,5.55804903077,0.0,0.18841803357,0.18841803357,0.18841803357,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01837610002
 01/01  13:00:00,1.07118523599,5.18562984156,0.0,4.25090936511,0.0,0.14400314982,0.14400314982,0.14400314982,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910296814436
 01/01  14:00:00,1.03288722102,4.74899884979,0.0,3.88023429637,0.0,0.131664118496,0.131664118496,0.131664118496,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843496334861
 01/01  15:00:00,1.01371622236,4.14771620729,0.0,3.34165030306,0.0,0.113303075366,0.113303075366,0.113303075366,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779374874215
 01/01  16:00:00,1.08461770289,4.15900778031,0.0,3.34405263891,0.0,0.113503867963,0.113503867963,0.113503867963,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786780430983
