Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.967755698665,8.01308667721,0.0,7.55610669161,0.0,0.246962092728,0.246962092728,0.246962092728,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428470496016
 01/01  02:00:00,0.842307894168,8.10557193494,0.0,7.74200178396,0.0,0.253089716393,0.253089716393,0.253089716393,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337320420773
 01/01  03:00:00,0.789877486227,8.05083458895,0.0,7.71480977035,0.0,0.251741269956,0.251741269956,0.251741269956,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310079433099
 01/01  04:00:00,0.789303037427,8.45392198262,0.0,8.11118242406,0.0,0.264819232529,0.264819232529,0.264819232529,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317159386694
 01/01  05:00:00,0.787914590136,8.54712778897,0.0,8.13099298494,0.0,0.265613481689,0.265613481689,0.265613481689,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391520926583
 01/01  06:00:00,0.843097625873,8.85870349615,0.0,8.12230365407,0.0,0.265116604033,0.265116604033,0.265116604033,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708932733091
 01/01  07:00:00,1.05862646154,9.04995449887,0.0,7.71222387146,0.0,0.25175577559,0.25175577559,0.25175577559,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30599508403
 01/01  08:00:00,1.38961372941,9.29273127151,0.0,7.78007247595,0.0,0.253903669091,0.253903669091,0.253903669091,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47893740303
 01/01  09:00:00,1.3305554883,8.50943334379,0.0,7.0341255654,0.0,0.229355699964,0.229355699964,0.229355699964,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44679828881
 01/01  10:00:00,1.12471476165,7.23164835222,0.0,5.88788247384,0.0,0.191640276141,0.191640276141,0.191640276141,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31950199733
 01/01  11:00:00,1.12675022253,7.24178321675,0.0,6.05313547488,0.0,0.197466625186,0.197466625186,0.197466625186,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16381321452
