Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.829601948176,6.96619748026,0.0,6.58865225914,0.0,0.187034307663,0.187034307663,0.187034307663,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.742160684805,7.75265252299,0.0,7.448502961,0.0,0.210994901473,0.210994901473,0.210994901473,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.716395002483,8.398980741,0.0,8.11454577469,0.0,0.228962995273,0.228962995273,0.228962995273,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636937795
 01/01  04:00:00,0.716972886942,8.92497205756,0.0,8.63541305936,0.0,0.242753942015,0.242753942015,0.242753942015,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095956596
 01/01  05:00:00,0.728480463391,9.45608155275,0.0,9.10996599698,0.0,0.25528177045,0.25528177045,0.25528177045,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538833701
 01/01  06:00:00,0.793647603003,10.191094542,0.0,9.59408922889,0.0,0.268201411429,0.268201411429,0.268201411429,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811505801
 01/01  07:00:00,1.03737003891,12.1668370128,0.0,11.0995122215,0.0,0.3108607486,0.3108607486,0.3108607486,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03821582452
 01/01  08:00:00,1.30455263299,11.2146315842,0.0,10.0137981878,0.0,0.278485206119,0.278485206119,0.278485206119,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16990293826
 01/01  09:00:00,1.23020888491,9.96042136958,0.0,8.7925480275,0.0,0.243890829971,0.243890829971,0.243890829971,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14172342629
 01/01  10:00:00,1.06921947106,8.54403917016,0.0,7.48126633113,0.0,0.207518031067,0.207518031067,0.207518031067,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051714609
 01/01  11:00:00,1.08081359818,8.65962147236,0.0,7.71901699074,0.0,0.216607449147,0.216607449147,0.216607449147,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825371625
 01/01  12:00:00,1.03088365641,6.18030692712,0.0,5.35065933256,0.0,0.148760558677,0.148760558677,0.148760558677,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861505675
 01/01  13:00:00,0.971989279066,4.66202160115,0.0,3.91772751054,0.0,0.109390373485,0.109390373485,0.109390373485,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891840902
 01/01  14:00:00,0.914539450525,3.4958937249,0.0,2.80314764938,0.0,0.0789155233591,0.0789155233591,0.0789155233591,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569168569
 01/01  15:00:00,0.892720212079,2.79963674423,0.0,2.15522815092,0.0,0.0613633933129,0.0613633933129,0.0613633933129,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926633184
 01/01  16:00:00,0.954328473816,2.82870716395,0.0,2.17718355652,0.0,0.0627833896898,0.0627833896898,0.0627833896898,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680762975
 01/01  17:00:00,1.19855681706,3.41914323374,0.0,2.69884708055,0.0,0.0789637391689,0.0789637391689,0.0789637391689,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.689728597499
 01/01  18:00:00,1.66732232816,5.24940087039,0.0,4.39464178372,0.0,0.129213218026,0.129213218026,0.129213218026,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624391735
 01/01  19:00:00,1.91872087064,4.70679284053,0.0,3.72228250573,0.0,0.106932358761,0.106932358761,0.106932358761,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193264204
 01/01  20:00:00,1.86996438675,4.76253803847,0.0,3.74971780659,0.0,0.107146658695,0.107146658695,0.107146658695,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205087009
 01/01  21:00:00,1.75608267867,5.17502113949,0.0,4.22957677835,0.0,0.121099609934,0.121099609934,0.121099609934,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398542998
 01/01  22:00:00,1.63237093269,5.69349388767,0.0,4.8408885214,0.0,0.138501452859,0.138501452859,0.138501452859,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564508867
 01/01  23:00:00,1.36767432762,6.23352217988,0.0,5.52614437063,0.0,0.157765198214,0.157765198214,0.157765198214,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834866
 01/01  24:00:00,1.09554317519,6.63458085873,0.0,6.08718909753,0.0,0.173114303953,0.173114303953,0.173114303953,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371414
 01/02  01:00:00,0.820551432464,6.8612572096,0.0,6.49608770246,0.0,0.184557475027,0.184557475027,0.184557475027,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.724716607905,7.27677822445,0.0,6.97912911928,0.0,0.197497848648,0.197497848648,0.197497848648,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.695214900904,7.71928574671,0.0,7.43963074889,0.0,0.210394132121,0.210394132121,0.210394132121,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.69575240791,8.17763462497,0.0,7.89320770743,0.0,0.222898867154,0.222898867154,0.222898867154,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
