Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.924741597695,7.46906166004,0.0,7.01086282834,0.0,0.203947991759,0.203947991759,0.203947991759,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429689342113
 01/01  02:00:00,0.804925098038,7.77859626229,0.0,7.41449180466,0.0,0.215706920264,0.215706920264,0.215706920264,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337854727432
 01/01  03:00:00,0.751327488024,7.66611590547,0.0,7.32797436299,0.0,0.213191271753,0.213191271753,0.213191271753,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312196156973
 01/01  04:00:00,0.75378441633,8.22155873491,0.0,7.87673293444,0.0,0.229300611432,0.229300611432,0.229300611432,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319245628608
 01/01  05:00:00,0.76171164385,8.64266268541,0.0,8.22488678971,0.0,0.239410535403,0.239410535403,0.239410535403,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393162018255
 01/01  06:00:00,0.824263002376,9.20035244734,0.0,8.46191943759,0.0,0.246281980536,0.246281980536,0.246281980536,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710965900753
 01/01  07:00:00,1.04673744914,9.58098284833,0.0,8.24124819143,0.0,0.239866763192,0.239866763192,0.239866763192,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30799911352
 01/01  08:00:00,1.3844716633,10.0678541242,0.0,8.55371409191,0.0,0.248761602981,0.248761602981,0.248761602981,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48041863973
 01/01  09:00:00,1.29509908522,8.16203162431,0.0,6.68615703799,0.0,0.193899296879,0.193899296879,0.193899296879,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44736509673
 01/01  10:00:00,1.09466233646,6.91589466057,0.0,5.57083212824,0.0,0.161587850948,0.161587850948,0.161587850948,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32079865129
 01/01  11:00:00,1.04586310473,5.21835691217,0.0,4.0293023584,0.0,0.116579507387,0.116579507387,0.116579507387,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16422002642
 01/01  12:00:00,1.01001097842,3.22961689296,0.0,2.18275549072,0.0,0.062801279276,0.062801279276,0.062801279276,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02201926627
 01/01  13:00:00,0.958250470352,2.02307075839,0.0,1.08417368149,0.0,0.0310683841836,0.0310683841836,0.0310683841836,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914473414887
 01/01  14:00:00,0.913889879886,1.31664406127,0.0,0.443953706349,0.0,0.0126667773642,0.0126667773642,0.0126667773642,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.847422136365
