Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.938159480998,7.40123269987,0.0,6.94387475082,0.0,0.217365875061,0.217365875061,0.217365875061,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428848459466
 01/01  02:00:00,0.819832926626,7.73129400222,0.0,7.36803528464,0.0,0.230614748851,0.230614748851,0.230614748851,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337008987376
 01/01  03:00:00,0.782403270771,8.14036783001,0.0,7.8030786128,0.0,0.2442670545,0.2442670545,0.2442670545,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311343831714
 01/01  04:00:00,0.771434311897,8.23496424864,0.0,7.89138149944,0.0,0.246950506998,0.246950506998,0.246950506998,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318002577331
 01/01  05:00:00,0.779979503162,8.64838827745,0.0,8.23188174652,0.0,0.257678394715,0.257678394715,0.257678394715,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39189265348
 01/01  06:00:00,0.843757748333,9.22672920243,0.0,8.4894507505,0.0,0.265776726493,0.265776726493,0.265776726493,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70981134293
 01/01  07:00:00,1.09481338743,10.5310624318,0.0,9.19251862777,0.0,0.287942701478,0.287942701478,0.287942701478,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30680826064
 01/01  08:00:00,1.39134945139,9.68840015871,0.0,8.17584334685,0.0,0.25563939107,0.25563939107,0.25563939107,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47883541933
 01/01  09:00:00,1.3365609341,9.00327801648,0.0,7.52827655892,0.0,0.235361145763,0.235361145763,0.235361145763,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44649196797
 01/01  10:00:00,1.1521930301,8.35251210935,0.0,7.00902126743,0.0,0.219118544588,0.219118544588,0.219118544588,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31922696087
 01/01  11:00:00,1.13900466471,7.89354265164,0.0,6.70636898006,0.0,0.209721067364,0.209721067364,0.209721067364,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16233914422
 01/01  12:00:00,1.08147894341,5.36242106566,0.0,4.31852598034,0.0,0.134269244266,0.134269244266,0.134269244266,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01905294935
 01/01  13:00:00,1.02181288185,3.98092913228,0.0,3.04487609444,0.0,0.0946307956857,0.0946307956857,0.0946307956857,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911629375823
 01/01  14:00:00,0.980835789771,3.42783818176,0.0,2.55737440137,0.0,0.0796126872489,0.0796126872489,0.0796126872489,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845195561835
