Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.995434576051,9.15602530771,0.0,8.70195732214,0.0,0.274640970115,0.274640970115,0.274640970115,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425558495983
 01/01  02:00:00,0.892443246689,9.95483138858,0.0,9.5940917732,0.0,0.303225068914,0.303225068914,0.303225068914,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334489885171
 01/01  03:00:00,0.849739155064,10.1872075279,0.0,9.85161310323,0.0,0.311602938793,0.311602938793,0.311602938793,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309649039202
 01/01  04:00:00,0.841354408455,10.3751706274,0.0,10.0340007153,0.0,0.316870603556,0.316870603556,0.316870603556,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315589740198
 01/01  05:00:00,0.839007479402,10.440364621,0.0,10.0266350497,0.0,0.316706370955,0.316706370955,0.316706370955,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389115693787
 01/01  06:00:00,0.889099639852,10.5833311454,0.0,9.84888426013,0.0,0.311118618012,0.311118618012,0.311118618012,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706979776264
 01/01  07:00:00,1.12167579415,11.3004019709,0.0,9.964528482,0.0,0.314805108195,0.314805108195,0.314805108195,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30413794546
 01/01  08:00:00,1.41576497246,10.386230186,0.0,8.87590186495,0.0,0.28005491214,0.28005491214,0.28005491214,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47660692856
 01/01  09:00:00,1.37912621847,10.2782951192,0.0,8.80524518746,0.0,0.277926430136,0.277926430136,0.277926430136,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44454044214
 01/01  10:00:00,1.19536472871,9.65323742984,0.0,8.31148721699,0.0,0.262290243201,0.262290243201,0.262290243201,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31748633181
 01/01  11:00:00,1.18505923032,9.28826641487,0.0,8.10251139869,0.0,0.255775632971,0.255775632971,0.255775632971,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16092048882
 01/01  12:00:00,1.16873574738,8.07095103739,0.0,7.02836217545,0.0,0.22152604823,0.22152604823,0.22152604823,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01774672597
 01/01  13:00:00,1.13350712177,7.47620623318,0.0,6.54293251866,0.0,0.206325035605,0.206325035605,0.206325035605,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908850052505
 01/01  14:00:00,1.08728976926,6.77019601733,0.0,5.90394469882,0.0,0.186066666738,0.186066666738,0.186066666738,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840983099955
 01/01  15:00:00,1.08958801042,6.80119528634,0.0,5.99749730455,0.0,0.189174863421,0.189174863421,0.189174863421,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777006951773
 01/01  16:00:00,1.16310416974,6.89678936797,0.0,6.08442146856,0.0,0.191990334807,0.191990334807,0.191990334807,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784193188994
 01/01  17:00:00,1.43140228422,7.12239112669,0.0,6.22260716761,0.0,0.196370114935,0.196370114935,0.196370114935,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866458214649
 01/01  18:00:00,1.95379204593,8.30891217234,0.0,7.23943582932,0.0,0.228792338262,0.228792338262,0.228792338262,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02899088957
 01/01  19:00:00,2.27032150559,7.6154376349,0.0,6.38371591782,0.0,0.201139124044,0.201139124044,0.201139124044,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18776673407
 01/01  20:00:00,2.24437243287,7.92934816347,0.0,6.66191403473,0.0,0.210239768103,0.210239768103,0.210239768103,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22206394288
 01/01  21:00:00,2.11249734499,8.59126364597,0.0,7.40880942602,0.0,0.233996658839,0.233996658839,0.233996658839,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13552426752
 01/01  22:00:00,1.94028107217,8.47596564077,0.0,7.41175090387,0.0,0.233885727101,0.233885727101,0.233885727101,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01838042537
 01/01  23:00:00,1.62948511256,8.88524271805,0.0,8.00745752199,0.0,0.25287454161,0.25287454161,0.25287454161,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838121473299
 01/01  24:00:00,1.33477436494,9.80080430025,0.0,9.12884984027,0.0,0.288551391545,0.288551391545,0.288551391545,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.63748742293
 01/02  01:00:00,1.03583518052,10.6127365113,0.0,10.1744680041,0.0,0.321615257664,0.321615257664,0.321615257664,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409759017529
 01/02  02:00:00,0.936858551995,11.4728063772,0.0,11.1210743866,0.0,0.351587398296,0.351587398296,0.351587398296,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325482260335
 01/02  03:00:00,0.895161034453,11.7078102685,0.0,11.380091436,0.0,0.35963605661,0.35963605661,0.35963605661,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301773447051
 01/02  04:00:00,0.893279168465,12.0457219101,0.0,11.712192632,0.0,0.370160767738,0.370160767738,0.370160767738,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.307949106211
 01/02  05:00:00,0.900339594556,12.4415973298,0.0,12.042165173,0.0,0.380709641725,0.380709641725,0.380709641725,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374818279385
 01/02  06:00:00,0.965055817699,13.0658291198,0.0,12.371290474,0.0,0.391171488459,0.391171488459,0.391171488459,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667071536783
 01/02  07:00:00,1.20670413074,14.2232342915,0.0,12.9777100382,0.0,0.410458957008,0.410458957008,0.410458957008,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21378870987
 01/02  08:00:00,1.5053786438,13.7612083951,0.0,12.3615939842,0.0,0.390829945395,0.390829945395,0.390829945395,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36589301834
 01/02  09:00:00,1.43955283302,13.0891057245,0.0,11.7325741338,0.0,0.370790345575,0.370790345575,0.370790345575,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32802210109
 01/02  10:00:00,1.23272329959,12.1428044036,0.0,10.9094564348,0.0,0.344679872546,0.344679872546,0.344679872546,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20908408774
 01/02  11:00:00,1.21750169493,11.8192719029,0.0,10.7271023075,0.0,0.339134326871,0.339134326871,0.339134326871,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06733506811
 01/02  12:00:00,1.18937462423,10.2979598996,0.0,9.33353216345,0.0,0.2946536846,0.2946536846,0.2946536846,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.939585600201
 01/02  13:00:00,1.16026873067,9.75606715402,0.0,8.8904945013,0.0,0.280897150591,0.280897150591,0.280897150591,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841148990703
 01/02  14:00:00,1.12136046678,9.1574966356,0.0,8.35044468426,0.0,0.263725396769,0.263725396769,0.263725396769,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.781783732791
 01/02  15:00:00,1.12167668553,8.99233930206,0.0,8.2424799192,0.0,0.260389110707,0.260389110707,0.260389110707,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723168352839
 01/02  16:00:00,1.18929315975,8.83655808802,0.0,8.07764424733,0.0,0.255238297673,0.255238297673,0.255238297673,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.730739130271
 01/02  17:00:00,1.45228046261,8.848371312,0.0,8.01348883345,0.0,0.253166212569,0.253166212569,0.253166212569,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.80155673411
 01/02  18:00:00,1.9855520399,10.3416236564,0.0,9.34908519129,0.0,0.29590426245,0.29590426245,0.29590426245,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.952053011638
 01/02  19:00:00,2.29504053972,9.37751428734,0.0,8.24494954446,0.0,0.260168473713,0.260168473713,0.260168473713,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08860975987
 01/02  20:00:00,2.26161316663,9.43960967093,0.0,8.2828500018,0.0,0.261725256059,0.261725256059,0.261725256059,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11138948328
 01/02  21:00:00,2.10644371778,9.39342681,0.0,8.31697398378,0.0,0.262798401951,0.262798401951,0.262798401951,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02952287379
 01/02  22:00:00,1.93816187524,9.43658305146,0.0,8.46114301291,0.0,0.267373387634,0.267373387634,0.267373387634,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.929605727025
 01/02  23:00:00,1.62684569646,9.61947746361,0.0,8.81141439813,0.0,0.278528337426,0.278528337426,0.278528337426,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.768399342711
 01/02  24:00:00,1.3186829713,9.7375397598,0.0,9.10934304205,0.0,0.287994843245,0.287994843245,0.287994843245,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.593729680703
 01/03  01:00:00,1.01053901937,9.81062737847,0.0,9.37268125922,0.0,0.296319096513,0.296319096513,0.296319096513,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409436629671
 01/03  02:00:00,0.88821720834,9.93316608987,0.0,9.58156575654,0.0,0.30294605464,0.30294605464,0.30294605464,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325350603132
 01/03  03:00:00,0.839983560377,9.95645787379,0.0,9.62857412787,0.0,0.304458582533,0.304458582533,0.304458582533,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301938360419
 01/03  04:00:00,0.827936884691,9.97506694501,0.0,9.64113155376,0.0,0.304818483964,0.304818483964,0.304818483964,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.30835521938
 01/03  05:00:00,0.82579142967,10.0833978875,0.0,9.68315195012,0.0,0.306161476838,0.306161476838,0.306161476838,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375632059968
 01/03  06:00:00,0.880484476789,10.392449578,0.0,9.69615613913,0.0,0.306600147549,0.306600147549,0.306600147549,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.668826329829
 01/03  07:00:00,1.0979510208,10.7900568338,0.0,9.54158913409,0.0,0.301705847067,0.301705847067,0.301705847067,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21673215629
 01/03  08:00:00,1.43001520723,11.3828137259,0.0,9.97920825723,0.0,0.315466508834,0.315466508834,0.315466508834,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36988407613
 01/03  09:00:00,1.35574440645,10.4454124646,0.0,9.08537999387,0.0,0.28698191901,0.28698191901,0.28698191901,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33152298111
 01/03  10:00:00,1.16981817496,10.1512136293,0.0,8.91419207724,0.0,0.281774747912,0.281774747912,0.281774747912,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21275767105
 01/03  11:00:00,1.17359724099,10.4285679953,0.0,9.33320843151,0.0,0.295229872929,0.295229872929,0.295229872929,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07052503645
 01/03  12:00:00,1.13875911711,8.70303572686,0.0,7.73618619742,0.0,0.244038177477,0.244038177477,0.244038177477,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942007393459
 01/03  13:00:00,1.09193766084,7.60555340449,0.0,6.73762385858,0.0,0.212566080765,0.212566080765,0.212566080765,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843505883885
 01/03  14:00:00,1.05712493922,7.12987415478,0.0,6.32031523262,0.0,0.199489869212,0.199489869212,0.199489869212,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784290703611
 01/03  15:00:00,1.05738123041,6.9633569654,0.0,6.21106903678,0.0,0.196093655589,0.196093655589,0.196093655589,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725596898607
 01/03  16:00:00,1.13109539421,7.00072099999,0.0,6.23913068585,0.0,0.197040532138,0.197040532138,0.197040532138,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733415603716
 01/03  17:00:00,1.40354258693,7.30780810411,0.0,6.47012148596,0.0,0.204428336888,0.204428336888,0.204428336888,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804360873721
 01/03  18:00:00,1.93613764292,8.78279938053,0.0,7.78748569693,0.0,0.246489865472,0.246489865472,0.246489865472,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954828230145
 01/03  19:00:00,2.25333111519,8.05956046991,0.0,6.92414452005,0.0,0.218459049184,0.218459049184,0.218459049184,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09146096685
 01/03  20:00:00,2.21988214541,8.12384083678,0.0,6.96440917995,0.0,0.219994234839,0.219994234839,0.219994234839,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11406147098
 01/03  21:00:00,2.07255660361,8.32325450777,0.0,7.24417483063,0.0,0.22891128779,0.22891128779,0.22891128779,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03214972471
 01/03  22:00:00,1.9075543259,8.47022128288,0.0,7.49239359036,0.0,0.236765838297,0.236765838297,0.236765838297,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.931993381008
 01/03  23:00:00,1.59756687569,8.6957227909,0.0,7.88576506813,0.0,0.249249516659,0.249249516659,0.249249516659,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.770294000008
 01/03  24:00:00,1.28951471623,8.8168442891,0.0,8.18720885502,0.0,0.258826588171,0.258826588171,0.258826588171,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.595168397033
 01/04  01:00:00,0.988286625234,9.10702957778,0.0,8.66814700574,0.0,0.274066702374,0.274066702374,0.274066702374,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410373082454
 01/04  02:00:00,0.86402867313,9.16707684768,0.0,8.81451787455,0.0,0.27875751943,0.27875751943,0.27875751943,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326309242927
 01/04  03:00:00,0.815136660755,9.17411057127,0.0,8.84562615798,0.0,0.279611682911,0.279611682911,0.279611682911,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302539027775
 01/04  04:00:00,0.804352506361,9.23095871754,0.0,8.89639976145,0.0,0.281234105634,0.281234105634,0.281234105634,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308978784225
 01/04  05:00:00,0.812206102588,9.65280890943,0.0,9.25162612611,0.0,0.292576149756,0.292576149756,0.292576149756,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376568905871
 01/04  06:00:00,0.879037737488,10.3458605683,0.0,9.64803624977,0.0,0.305153408248,0.305153408248,0.305153408248,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670357209556
 01/04  07:00:00,1.08746076763,10.4584017494,0.0,9.20737373822,0.0,0.291215593891,0.291215593891,0.291215593891,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21929246778
 01/04  08:00:00,1.39260623575,10.2072029983,0.0,8.80129251206,0.0,0.278057537349,0.278057537349,0.278057537349,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3721890937
 01/04  09:00:00,1.34131209128,9.98778532551,0.0,8.62483841821,0.0,0.272549603837,0.272549603837,0.272549603837,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33443741771
 01/04  10:00:00,1.14841884472,9.48156627826,0.0,8.24224089118,0.0,0.260375417679,0.260375417679,0.260375417679,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21506150603
 01/04  11:00:00,1.13324603756,9.16384908737,0.0,8.06647109735,0.0,0.254878669498,0.254878669498,0.254878669498,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07254346267
 01/04  12:00:00,1.08442834842,6.99517680408,0.0,6.02617685923,0.0,0.189707408789,0.189707408789,0.189707408789,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944157808869
 01/04  13:00:00,1.03807042816,5.90851990542,0.0,5.03823213276,0.0,0.158698848081,0.158698848081,0.158698848081,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845864110648
 01/04  14:00:00,1.01062295394,5.66250862129,0.0,4.85016384805,0.0,0.152987883935,0.152987883935,0.152987883935,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787076554688
 01/04  15:00:00,0.989143963874,4.8160422246,0.0,4.06115240782,0.0,0.127856389052,0.127856389052,0.127856389052,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.728198786766
 01/04  16:00:00,1.05844686379,4.71647261688,0.0,3.95292739537,0.0,0.124392001712,0.124392001712,0.124392001712,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.735370511088
 01/04  17:00:00,1.3432697411,5.40393632209,0.0,4.56269722358,0.0,0.144155491062,0.144155491062,0.144155491062,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807913354079
 01/04  18:00:00,1.89224786545,7.39626491266,0.0,6.39693098139,0.0,0.202600087999,0.202600087999,0.202600087999,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958848477823
 01/04  19:00:00,2.21146106603,6.74236299219,0.0,5.60370086526,0.0,0.176589000029,0.176589000029,0.176589000029,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09470714392
 01/04  20:00:00,2.1653418332,6.41719878281,0.0,5.25632640842,0.0,0.165453922629,0.165453922629,0.165453922629,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11550218854
 01/04  21:00:00,2.02945801945,6.96303120911,0.0,5.88080518046,0.0,0.185812703627,0.185812703627,0.185812703627,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03529607622
 01/04  22:00:00,1.88047262198,7.61554249238,0.0,6.63468761265,0.0,0.20968413438,0.20968413438,0.20968413438,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935020568212
 01/04  23:00:00,1.57824754872,8.08795960577,0.0,7.27577561414,0.0,0.229930189686,0.229930189686,0.229930189686,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772520268863
 01/04  24:00:00,1.27777332057,8.44897578961,0.0,7.81814111541,0.0,0.247085192509,0.247085192509,0.247085192509,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596367637143
 01/05  01:00:00,0.972028523064,8.59847831964,0.0,8.15865609691,0.0,0.257808600205,0.257808600205,0.257808600205,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411312733143
 01/05  02:00:00,0.865936180555,9.22967464983,0.0,8.87640738228,0.0,0.280665026856,0.280665026856,0.280665026856,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327017537347
 01/05  03:00:00,0.838471805527,9.9096354789,0.0,9.58044485452,0.0,0.302946827683,0.302946827683,0.302946827683,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303245238871
 01/05  04:00:00,0.836397801769,10.2447629893,0.0,9.90966166925,0.0,0.313279401042,0.313279401042,0.313279401042,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309521148204
