Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.99970059951,9.64224048023,0.0,9.1867281417,0.0,0.278906993573,0.278906993573,0.278906993573,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427002848947
 01/01  02:00:00,0.88597055604,10.1405741151,0.0,9.779159646,0.0,0.296752378266,0.296752378266,0.296752378266,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335164738879
 01/01  03:00:00,0.846515580514,10.4979647944,0.0,10.1631198462,0.0,0.308379364243,0.308379364243,0.308379364243,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30889956271
 01/01  04:00:00,0.843041925686,10.8393732278,0.0,10.4979607512,0.0,0.318558120787,0.318558120787,0.318558120787,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315832304763
 01/01  05:00:00,0.84852750292,11.164472256,0.0,10.7502700127,0.0,0.326226394473,0.326226394473,0.326226394473,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389588365844
 01/01  06:00:00,0.907027230803,11.5784134666,0.0,10.8434798818,0.0,0.329046208963,0.329046208963,0.329046208963,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707466475764
 01/01  07:00:00,1.15395109336,12.7703368747,0.0,11.4342145787,0.0,0.347080407411,0.347080407411,0.347080407411,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30438675265
 01/01  08:00:00,1.47812468416,12.7870396156,0.0,11.2761959244,0.0,0.342414623843,0.342414623843,0.342414623843,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47712229865
 01/01  09:00:00,1.38121749757,10.722463235,0.0,9.25015601002,0.0,0.280017709234,0.280017709234,0.280017709234,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44379773543
 01/01  10:00:00,1.18262498387,9.57937774373,0.0,8.23750885659,0.0,0.249550498362,0.249550498362,0.249550498362,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31760500609
 01/01  11:00:00,1.16070192141,8.82428049987,0.0,7.63821412229,0.0,0.231418324058,0.231418324058,0.231418324058,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16123185022
 01/01  12:00:00,1.10836695582,6.38397576584,0.0,5.34093967107,0.0,0.161157256669,0.161157256669,0.161157256669,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0181939588
 01/01  13:00:00,1.05335334732,5.11509971536,0.0,4.18011518781,0.0,0.126171261155,0.126171261155,0.126171261155,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910560865529
 01/01  14:00:00,1.0040755478,4.27662616703,0.0,3.40777028161,0.0,0.102852445281,0.102852445281,0.102852445281,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843587666861
 01/01  15:00:00,0.997975559354,4.03529868923,0.0,3.22892681331,0.0,0.0975624123576,0.0975624123576,0.0975624123576,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779680845903
 01/01  16:00:00,1.08116434513,4.44887284259,0.0,3.63342993431,0.0,0.110050510198,0.110050510198,0.110050510198,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787268197867
 01/01  17:00:00,1.37148749283,5.3997781549,0.0,4.49666647561,0.0,0.136455323538,0.136455323538,0.136455323538,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869785934857
 01/01  18:00:00,1.92237219531,7.56359739573,0.0,6.49098675923,0.0,0.197372487642,0.197372487642,0.197372487642,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03212518305
 01/01  19:00:00,2.23876832772,6.8415077698,0.0,5.60820942535,0.0,0.169585946179,0.169585946179,0.169585946179,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18934336144
 01/01  20:00:00,2.22324451351,7.50639330151,0.0,6.23759604823,0.0,0.189111848747,0.189111848747,0.189111848747,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22342706743
 01/01  21:00:00,2.07513351297,7.67154103825,0.0,6.48848682584,0.0,0.196632826821,0.196632826821,0.196632826821,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13612425998
 01/01  22:00:00,1.91991121529,8.10662512611,0.0,7.04144189139,0.0,0.213515870221,0.213515870221,0.213515870221,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0193489232
 01/01  23:00:00,1.60656543472,8.46110224458,0.0,7.58236133182,0.0,0.229954863771,0.229954863771,0.229954863771,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839077189999
 01/01  24:00:00,1.29013513868,8.71537636406,0.0,8.04285945762,0.0,0.243912165289,0.243912165289,0.243912165289,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638049869395
 01/02  01:00:00,0.970699258947,8.89544224224,0.0,8.45610235368,0.0,0.256479336088,0.256479336088,0.256479336088,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410830398972
 01/02  02:00:00,0.84895877969,9.04642784131,0.0,8.69340014031,0.0,0.263687625991,0.263687625991,0.263687625991,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326777970797
 01/02  03:00:00,0.802004690234,9.11564345222,0.0,8.78647672296,0.0,0.26647971239,0.26647971239,0.26647971239,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303221343754
 01/02  04:00:00,0.788793895245,9.09620974967,0.0,8.76109077978,0.0,0.265675494518,0.265675494518,0.265675494518,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309538798022
 01/02  05:00:00,0.782621617393,9.07437997109,0.0,8.67317472261,0.0,0.262991664561,0.262991664561,0.262991664561,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376591371027
 01/02  06:00:00,0.830417223728,9.15825985508,0.0,8.4615872751,0.0,0.256532894489,0.256532894489,0.256532894489,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669205470984
 01/02  07:00:00,1.05487386598,9.77659816834,0.0,8.52875787442,0.0,0.258628692245,0.258628692245,0.258628692245,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21610475053
 01/02  08:00:00,1.37514226743,9.99511068495,0.0,8.59245659911,0.0,0.260593569029,0.260593569029,0.260593569029,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3689326933
 01/02  09:00:00,1.29792120446,8.92894387825,0.0,7.56979531861,0.0,0.22915871702,0.22915871702,0.22915871702,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33063907005
 01/02  10:00:00,1.08886729729,7.87186155441,0.0,6.63594654859,0.0,0.20082387025,0.20082387025,0.20082387025,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21165112478
 01/02  11:00:00,1.08150796461,7.79685108244,0.0,6.70169245217,0.0,0.203140596553,0.203140596553,0.203140596553,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07032410291
 01/02  12:00:00,1.07796192395,7.01930405743,0.0,6.05178336455,0.0,0.18324098432,0.18324098432,0.18324098432,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942678556905
 01/02  13:00:00,1.05244732328,6.58492421576,0.0,5.71682854741,0.0,0.173075743199,0.173075743199,0.173075743199,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843672006333
 01/02  14:00:00,1.02462534021,6.32439768457,0.0,5.51512106928,0.0,0.166990270201,0.166990270201,0.166990270201,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.78400839674
 01/02  15:00:00,1.02340824567,6.1064376423,0.0,5.35425686331,0.0,0.162120670844,0.162120670844,0.162120670844,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725489748977
 01/02  16:00:00,1.09630970646,6.11910767674,0.0,5.35806282126,0.0,0.162254844389,0.162254844389,0.162254844389,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732870145057
 01/02  17:00:00,1.36702626166,6.3795903091,0.0,5.54242545324,0.0,0.167912011624,0.167912011624,0.167912011624,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803839111436
 01/02  18:00:00,1.87756616474,7.19156912323,0.0,6.19688335095,0.0,0.187918387288,0.187918387288,0.187918387288,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954200318822
 01/02  19:00:00,2.20143041624,6.63945324087,0.0,5.50402920692,0.0,0.166558350237,0.166558350237,0.166558350237,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09146905094
 01/02  20:00:00,2.15932823185,6.43279030822,0.0,5.27497351557,0.0,0.159440321277,0.159440321277,0.159440321277,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11244660679
 01/02  21:00:00,2.00872380779,6.5301310518,0.0,5.45137414979,0.0,0.165078491964,0.165078491964,0.165078491964,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03182694958
 01/02  22:00:00,1.83899553851,6.53297976213,0.0,5.55487701976,0.0,0.168207050905,0.168207050905,0.168207050905,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.93226843085
 01/02  23:00:00,1.53009764092,6.81063382469,0.0,5.99977011081,0.0,0.181780281887,0.181780281887,0.181780281887,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771199991113
 01/02  24:00:00,1.22730046939,7.11904578015,0.0,6.48817502535,0.0,0.196612341331,0.196612341331,0.196612341331,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596403717756
 01/03  01:00:00,0.928537387184,7.51114865012,0.0,7.07068130392,0.0,0.214317464324,0.214317464324,0.214317464324,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411957856615
 01/03  02:00:00,0.814368648644,7.9125502337,0.0,7.55850235302,0.0,0.229097494945,0.229097494945,0.229097494945,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327798150482
 01/03  03:00:00,0.776892188742,8.29394802635,0.0,7.96375876853,0.0,0.241367210899,0.241367210899,0.241367210899,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304243872319
 01/03  04:00:00,0.774955873132,8.64559250378,0.0,8.30941487799,0.0,0.251837472405,0.251837472405,0.251837472405,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310597453921
 01/03  05:00:00,0.781330005529,9.03685551925,0.0,8.63453249305,0.0,0.261700052698,0.261700052698,0.261700052698,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377709148741
 01/03  06:00:00,0.842146528797,9.54978875456,0.0,8.85163708964,0.0,0.268262199557,0.268262199557,0.268262199557,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670684555922
 01/03  07:00:00,1.08320585346,10.7141878402,0.0,9.46401000084,0.0,0.286960679729,0.286960679729,0.286960679729,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21844229602
 01/03  08:00:00,1.39098753966,10.5300752318,0.0,9.12513208165,0.0,0.276438841258,0.276438841258,0.276438841258,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37122175757
 01/03  09:00:00,1.30969058477,9.32718684794,0.0,7.96565387444,0.0,0.240928097323,0.240928097323,0.240928097323,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33302348392
 01/03  10:00:00,1.08843529654,7.87017749714,0.0,6.6316629448,0.0,0.200391869492,0.200391869492,0.200391869492,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21425067129
