Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.01393829882,9.80966496534,0.0,9.35650768164,0.0,0.293144692886,0.293144692886,0.293144692886,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424647794109
 01/01  02:00:00,0.888968926571,9.92322712508,0.0,9.56358519215,0.0,0.299750748797,0.299750748797,0.299750748797,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333392202731
 01/01  03:00:00,0.842224212314,10.028696494,0.0,9.69443757121,0.0,0.304087996043,0.304087996043,0.304087996043,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30831353731
 01/01  04:00:00,0.832039829742,10.1499701617,0.0,9.80918384639,0.0,0.307556024844,0.307556024844,0.307556024844,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31520614349
 01/01  05:00:00,0.83204753301,10.2928281609,0.0,9.87907842038,0.0,0.309746424563,0.309746424563,0.309746424563,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389135863046
 01/01  06:00:00,0.886588433844,10.5767997411,0.0,9.8422977236,0.0,0.308607412004,0.308607412004,0.308607412004,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707034908503
 01/01  07:00:00,1.10576660854,10.8696660327,0.0,9.5337441945,0.0,0.298895922592,0.298895922592,0.298895922592,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30418629485
 01/01  08:00:00,1.42136927899,10.6269144293,0.0,9.11626315803,0.0,0.285659218671,0.285659218671,0.285659218671,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47692987869
 01/01  09:00:00,1.38412697634,10.5010103028,0.0,9.02762648775,0.0,0.282927188,0.282927188,0.282927188,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44487432546
 01/01  10:00:00,1.20142118405,9.9087930068,0.0,8.5672423047,0.0,0.268346698543,0.268346698543,0.268346698543,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31728682105
 01/01  11:00:00,1.20225549854,9.89321561097,0.0,8.70794634274,0.0,0.272971901195,0.272971901195,0.272971901195,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16043474088
 01/01  12:00:00,1.18364185222,8.59776981035,0.0,7.55591343744,0.0,0.23643215307,0.23643215307,0.23643215307,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01701423693
 01/01  13:00:00,1.14780722229,7.97985895425,0.0,7.04712628406,0.0,0.220625136117,0.220625136117,0.220625136117,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908309008172
 01/01  14:00:00,1.11423982138,7.66804874589,0.0,6.80273474796,0.0,0.213016718853,0.213016718853,0.213016718853,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840045779382
 01/01  15:00:00,1.11877260673,7.77284863681,0.0,6.96994153343,0.0,0.218359459737,0.218359459737,0.218359459737,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776216073372
 01/01  16:00:00,1.18372498575,7.59650048026,0.0,6.78478918692,0.0,0.212611150821,0.212611150821,0.212611150821,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783536582919
 01/01  17:00:00,1.44881028299,7.72488776298,0.0,6.8260167358,0.0,0.213778113704,0.213778113704,0.213778113704,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86554528275
 01/01  18:00:00,1.98142563118,9.23986137959,0.0,8.17092451035,0.0,0.256425923519,0.256425923519,0.256425923519,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02845141578
