Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.739086564851,3.51960602674,0.0,3.14206080563,0.0,0.0965189243367,0.0965189243367,0.0965189243367,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305323
 01/01  02:00:00,0.643832473392,3.96459963765,0.0,3.66045004509,0.0,0.112666690061,0.112666690061,0.112666690061,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.28007240829
 01/01  03:00:00,0.601337660878,3.98768991295,0.0,3.70325501281,0.0,0.113905653667,0.113905653667,0.113905653667,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063687162
 01/01  04:00:00,0.5935868375,4.19948400254,0.0,3.90992502895,0.0,0.119367892573,0.119367892573,0.119367892573,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931983
 01/01  05:00:00,0.596051371462,4.3678002452,0.0,4.02168482296,0.0,0.12285267852,0.12285267852,0.12285267852,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.655561941633,4.8580440137,0.0,4.26103873814,0.0,0.130115750059,0.130115750059,0.130115750059,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.879141607381,6.06187764703,0.0,4.99538766939,0.0,0.152632317068,0.152632317068,0.152632317068,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.1813874613,6.27924840748,0.0,5.07915934746,0.0,0.15532003443,0.15532003443,0.15532003443,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.07935292434,4.30612169197,0.0,3.13826773626,0.0,0.0930348693951,0.0930348693951,0.0930348693951,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.913328745614,2.81591781202,0.0,1.75314528541,0.0,0.0516273056239,0.0516273056239,0.0516273056239,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683367
 01/01  11:00:00,0.916309745877,2.66323555125,0.0,1.72263109668,0.0,0.0521035968424,0.0521035968424,0.0521035968424,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.91782534458
 01/01  12:00:00,0.895510577871,1.27688262126,0.0,0.447235075716,0.0,0.0133874801422,0.0133874801422,0.0133874801422,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861456662
 01/01  13:00:00,0.872996569958,1.08882428727,0.0,0.344530202893,0.0,0.010397664377,0.010397664377,0.010397664377,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891834663
 01/01  14:00:00,0.835623927166,0.6913230516,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.668146144652
 01/01  15:00:00,0.831356818766,0.642345232395,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.61786327227
 01/01  16:00:00,0.891545084126,0.648455423418,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.622612578965
 01/01  17:00:00,1.12201813142,0.7997265227,0.0,0.080238423142,0.0,0.00242505353349,0.00242505353349,0.00242505353349,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.688920543873
 01/01  18:00:00,1.57139806521,1.92596551438,0.0,1.07120720892,0.0,0.0332889550765,0.0332889550765,0.0332889550765,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817623610526
 01/01  19:00:00,1.83377951935,1.69521054626,0.0,0.71070018397,0.0,0.0219910074768,0.0219910074768,0.0219910074768,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193291693
 01/01  20:00:00,1.78747944816,1.81118371891,0.0,0.79836348726,0.0,0.0246617201043,0.0246617201043,0.0246617201043,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205086773
 01/01  21:00:00,1.68005118046,2.39457061661,0.0,1.44912625065,0.0,0.045068111733,0.045068111733,0.045068111733,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398547814
 01/01  22:00:00,1.56060090635,3.00215578058,0.0,2.14955042789,0.0,0.066731426517,0.066731426517,0.066731426517,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564495277
 01/01  23:00:00,1.29145892933,3.35286934681,0.0,2.64549154426,0.0,0.0815497999208,0.0815497999208,0.0815497999208,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.67099682817
 01/01  24:00:00,1.00058271939,3.11747114299,0.0,2.57007938184,0.0,0.0781538481474,0.0781538481474,0.0781538481474,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371367
 01/02  01:00:00,0.717636370364,3.03267646026,0.0,2.66750696256,0.0,0.081642412927,0.081642412927,0.081642412927,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019581908
 01/02  02:00:00,0.614235100594,3.12235309285,0.0,2.82470399804,0.0,0.0870163413372,0.0870163413372,0.0870163413372,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571910535
 01/02  03:00:00,0.571679562207,3.09164210361,0.0,2.81198711122,0.0,0.0868587934243,0.0868587934243,0.0868587934243,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856963868
 01/02  04:00:00,0.564811724265,3.25417318128,0.0,2.96974626383,0.0,0.0919581835098,0.0919581835098,0.0919581835098,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875844
 01/02  05:00:00,0.563621173204,3.34109374642,0.0,3.00547188238,0.0,0.0930936358783,0.0930936358783,0.0930936358783,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.600218057339,3.11024510678,0.0,2.54349743642,0.0,0.0788685583647,0.0788685583647,0.0788685583647,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.800471490575,3.73899198901,0.0,2.74191041228,0.0,0.0845877124788,0.0845877124788,0.0845877124788,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.10057225527,4.1992690124,0.0,3.08354926534,0.0,0.0956661903186,0.0956661903186,0.0956661903186,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,1.00117081215,2.6284110732,0.0,1.54872058008,0.0,0.0472900581011,0.0472900581011,0.0472900581011,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.83427731001,1.56666694125,0.0,0.585065462806,0.0,0.0176069284856,0.0176069284856,0.0176069284856,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785502
 01/02  11:00:00,0.827161494983,1.32788906497,0.0,0.456961035617,0.0,0.0138715752379,0.0138715752379,0.0138715752379,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848148919359
 01/02  12:00:00,0.82963433821,0.769854341153,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.747068252268
 01/02  13:00:00,0.81478839949,0.688751281323,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.666349031608
 01/02  14:00:00,0.792035894651,0.643735871013,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.620558964065
 01/02  15:00:00,0.792231246591,0.599347815748,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.574865855623
 01/02  16:00:00,0.854486111271,0.606995091809,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.581152247356
 01/02  17:00:00,1.08367515864,0.668881922095,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.638314366409
 01/02  18:00:00,1.51897200311,1.324542032,0.0,0.527954344288,0.0,0.0162148231876,0.0162148231876,0.0162148231876,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759452992776
 01/02  19:00:00,1.7818272204,1.05147522399,0.0,0.142196036814,0.0,0.00434902405872,0.00434902405872,0.00434902405872,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868962116585
 01/02  20:00:00,1.74852374639,1.57230664992,0.0,0.643779078828,0.0,0.0199507725307,0.0199507725307,0.0199507725307,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912426217
 01/02  21:00:00,1.63541082708,1.99719411428,0.0,1.132026146,0.0,0.0352831286797,0.0352831286797,0.0352831286797,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122150136
 01/02  22:00:00,1.51740103173,2.6843536737,0.0,1.89901945637,0.0,0.0591384093732,0.0591384093732,0.0591384093732,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293359913
 01/02  23:00:00,1.25421223509,3.00002507015,0.0,2.34556297655,0.0,0.0725963176024,0.0725963176024,0.0725963176024,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081119226
 01/02  24:00:00,1.00081577021,3.5701847134,0.0,3.05576338026,0.0,0.0939217443016,0.0939217443016,0.0939217443016,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806943349
 01/03  01:00:00,0.754313685145,4.22410693944,0.0,3.85870200901,0.0,0.118319727708,0.118319727708,0.118319727708,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33925501464
 01/03  02:00:00,0.664740297882,4.80491120692,0.0,4.50714440003,0.0,0.137521538625,0.137521538625,0.137521538625,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689622615
 01/03  03:00:00,0.637129602281,5.29756566842,0.0,5.01782763895,0.0,0.152308833498,0.152308833498,0.152308833498,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255940000951
 01/03  04:00:00,0.633572111554,5.59887210044,0.0,5.31435255721,0.0,0.160718570798,0.160718570798,0.160718570798,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056501622
 01/03  05:00:00,0.64746952255,6.199234672,0.0,5.8634240101,0.0,0.176941985225,0.176941985225,0.176941985225,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313233939844
 01/03  06:00:00,0.698544177255,6.46255536337,0.0,5.89521103445,0.0,0.177194678281,0.177194678281,0.177194678281,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521606
 01/03  07:00:00,0.943544834818,8.53511752236,0.0,7.53667325487,0.0,0.227661056722,0.227661056722,0.227661056722,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335300646
 01/03  08:00:00,1.1992584649,7.61292482584,0.0,6.49561349405,0.0,0.194352399947,0.194352399947,0.194352399947,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638087361
 01/03  09:00:00,1.09991967454,6.07562276346,0.0,4.99438327293,0.0,0.14603892049,0.14603892049,0.14603892049,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508957474
 01/03  10:00:00,0.933154122984,4.94070328206,0.0,3.95771060219,0.0,0.11648374146,0.11648374146,0.11648374146,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.960736986927
 01/03  11:00:00,0.942127877414,5.14622551047,0.0,4.27409666437,0.0,0.128837957669,0.128837957669,0.128837957669,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.84934973611
 01/03  12:00:00,0.904160222782,3.27310964671,0.0,2.50024871593,0.0,0.0745258845721,0.0745258845721,0.0745258845721,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.750074841898
 01/03  13:00:00,0.865914861728,2.39724354158,0.0,1.70219266396,0.0,0.0511264622376,0.0511264622376,0.0511264622376,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.672648627905
 01/03  14:00:00,0.82704944682,1.80602050206,0.0,1.15595036403,0.0,0.0350135521688,0.0350135521688,0.0350135521688,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626893231086
 01/03  15:00:00,0.823271982027,1.62332359909,0.0,1.01757041575,0.0,0.0310407354362,0.0310407354362,0.0310407354362,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.581271223213
 01/03  16:00:00,0.889522641589,1.74732603034,0.0,1.13424808422,0.0,0.035036530318,0.035036530318,0.035036530318,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.587235101671
 01/03  17:00:00,1.1364763664,2.36479981662,0.0,1.69180785447,0.0,0.0528012077539,0.0528012077539,0.0528012077539,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.642424406461
 01/03  18:00:00,1.60316381403,4.00119442965,0.0,3.2033257889,0.0,0.100406634108,0.100406634108,0.100406634108,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.760733945822
 01/03  19:00:00,1.8600048418,3.60974018207,0.0,2.69927378762,0.0,0.0825266454657,0.0825266454657,0.0825266454657,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.870149323858
 01/03  20:00:00,1.81840912142,3.87865497127,0.0,2.94891682437,0.0,0.0898361475571,0.0898361475571,0.0898361475571,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.888123002033
 01/03  21:00:00,1.71180169321,4.52498981363,0.0,3.65871931465,0.0,0.111673994811,0.111673994811,0.111673994811,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.823224680837
 01/03  22:00:00,1.58758379626,5.04488005762,0.0,4.25857682516,0.0,0.129321173899,0.129321173899,0.129321173899,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.744262375051
 01/03  23:00:00,1.33264428327,5.64586064476,0.0,4.99065857037,0.0,0.151028365785,0.151028365785,0.151028365785,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.61882110001
 01/03  24:00:00,1.08838309701,6.52220176131,0.0,6.00729046189,0.0,0.181489071108,0.181489071108,0.181489071108,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.483296909631
 01/04  01:00:00,0.844391989321,7.30216539479,0.0,6.93653290289,0.0,0.208398031884,0.208398031884,0.208398031884,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339482576116
 01/04  02:00:00,0.758582524365,8.04221216884,0.0,7.74433175867,0.0,0.231363765109,0.231363765109,0.231363765109,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273803225903
 01/04  03:00:00,0.721788413218,8.22061663154,0.0,7.9407986046,0.0,0.236967644435,0.236967644435,0.236967644435,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256019998433
 01/04  04:00:00,0.718397674043,8.58430459679,0.0,8.29969570467,0.0,0.245544133287,0.245544133287,0.245544133287,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261145850518
 01/04  05:00:00,0.721630908497,8.81650043301,0.0,8.48050744524,0.0,0.251103371171,0.251103371171,0.251103371171,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.3134162657
 01/04  06:00:00,0.769216854882,8.95797404495,0.0,8.39005351448,0.0,0.247867355908,0.247867355908,0.247867355908,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542726723162
 01/04  07:00:00,1.002991972,10.6457857255,0.0,9.64602549859,0.0,0.2871081939,0.2871081939,0.2871081939,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.970651260106
 01/04  08:00:00,1.30451663496,11.1433212142,0.0,10.0244728702,0.0,0.299610570006,0.299610570006,0.299610570006,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08791788575
 01/04  09:00:00,1.1680052096,8.45517152675,0.0,7.37243615091,0.0,0.214124455555,0.214124455555,0.214124455555,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05658546005
 01/04  10:00:00,0.976801416536,6.4812939182,0.0,5.49695784429,0.0,0.160131035011,0.160131035011,0.160131035011,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.962080380966
 01/04  11:00:00,0.98135936745,6.4854151564,0.0,5.61213284039,0.0,0.168069447705,0.168069447705,0.168069447705,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.850503206019
 01/04  12:00:00,0.937255225244,4.39264933307,0.0,3.6188108228,0.0,0.107620887034,0.107620887034,0.107620887034,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.75105242138
 01/04  13:00:00,0.896365039216,3.4140883302,0.0,2.71819715875,0.0,0.0815766397253,0.0815766397253,0.0815766397253,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.673488921734
 01/04  14:00:00,0.85806458668,2.83267139155,0.0,2.18184800783,0.0,0.0660286920286,0.0660286920286,0.0660286920286,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.627646476781
 01/04  15:00:00,0.853574844853,2.61925585648,0.0,2.01283156217,0.0,0.0613435982623,0.0613435982623,0.0613435982623,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.581942334185
 01/04  16:00:00,0.922376785537,2.82105523952,0.0,2.20729874246,0.0,0.0678906742663,0.0678906742663,0.0678906742663,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.587913652607
 01/04  17:00:00,1.17565322602,3.64460588374,0.0,2.97083954487,0.0,0.091978067375,0.091978067375,0.091978067375,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.643198783182
 01/04  18:00:00,1.65639001093,5.75004646392,0.0,4.95120617463,0.0,0.153632831014,0.153632831014,0.153632831014,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.761705594358
 01/04  19:00:00,1.90419080712,5.11684544857,0.0,4.20523250111,0.0,0.126712610778,0.126712610778,0.126712610778,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.871295876868
 01/04  20:00:00,1.8615599494,5.35186494123,0.0,4.42095765441,0.0,0.132986975537,0.132986975537,0.132986975537,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.889292141939
 01/04  21:00:00,1.74750965095,5.76491071691,0.0,4.89757540945,0.0,0.147381952547,0.147381952547,0.147381952547,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.824289489317
 01/04  22:00:00,1.6229888956,6.27085113054,0.0,5.48361211412,0.0,0.164726273237,0.164726273237,0.164726273237,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.745198159017
 01/04  23:00:00,1.36679450443,6.83266775293,0.0,6.17675101865,0.0,0.185178586941,0.185178586941,0.185178586941,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.619535759902
 01/04  24:00:00,1.11619405285,7.50886473109,0.0,6.99348013411,0.0,0.209300026941,0.209300026941,0.209300026941,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.483770207196
 01/05  01:00:00,0.851383504929,7.56568525566,0.0,7.19983339025,0.0,0.215389547492,0.215389547492,0.215389547492,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339701949619
 01/05  02:00:00,0.753329976382,7.91771983329,0.0,7.61972985703,0.0,0.226111217126,0.226111217126,0.226111217126,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273912791985
 01/05  03:00:00,0.719810726331,8.19083658567,0.0,7.91094114031,0.0,0.234989957548,0.234989957548,0.234989957548,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256097416845
 01/05  04:00:00,0.725630373542,8.76814093478,0.0,8.48344578081,0.0,0.252776832786,0.252776832786,0.252776832786,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261232112368
 01/05  05:00:00,0.729592831041,9.04681687637,0.0,8.71064808291,0.0,0.259065293715,0.259065293715,0.259065293715,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313592071389
 01/05  06:00:00,0.782173808603,9.36255917277,0.0,8.79408306819,0.0,0.260824309629,0.260824309629,0.260824309629,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.543282297263
 01/05  07:00:00,1.0267445267,11.4423575354,0.0,10.4407776379,0.0,0.3108607486,0.3108607486,0.3108607486,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.972470930621
 01/05  08:00:00,1.27361116304,10.2845146104,0.0,9.16394064196,0.0,0.268705098091,0.268705098091,0.268705098091,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08964351023
 01/05  09:00:00,1.169466994,8.49752131806,0.0,7.41333919306,0.0,0.215586239948,0.215586239948,0.215586239948,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.0580322092
 01/05  10:00:00,0.98628857463,6.79592435871,0.0,5.81029283709,0.0,0.169618193105,0.169618193105,0.169618193105,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.96337582868
