Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.857985948637,5.44378438374,0.0,4.98278152425,0.0,0.1371923427,0.1371923427,0.1371923427,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.4324933699
 01/01  02:00:00,0.739762449629,5.83445312299,0.0,5.46771927363,0.0,0.150544271854,0.150544271854,0.150544271854,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340484119162
 01/01  03:00:00,0.698157862539,6.15258726349,0.0,5.81193444772,0.0,0.160021646268,0.160021646268,0.160021646268,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314707430262
 01/01  04:00:00,0.692043420741,6.43232320095,0.0,6.08571106518,0.0,0.167559615842,0.167559615842,0.167559615842,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.321031963905
 01/01  05:00:00,0.69537449615,6.70565892932,0.0,6.28596947622,0.0,0.173073387703,0.173073387703,0.173073387703,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395075575648
 01/01  06:00:00,0.752662053386,7.08452675541,0.0,6.34435858077,0.0,0.174681031546,0.174681031546,0.174681031546,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.712701065644
 01/01  07:00:00,0.993101523784,8.10529584033,0.0,6.7638438103,0.0,0.186230837832,0.186230837832,0.186230837832,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30971648665
 01/01  08:00:00,1.31900734476,8.1734084631,0.0,6.65729809966,0.0,0.183297284439,0.183297284439,0.183297284439,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4823889709
 01/01  09:00:00,1.27084295482,7.63944613407,0.0,6.16138495084,0.0,0.169643166486,0.169643166486,0.169643166486,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44955169364
 01/01  10:00:00,1.10347954018,7.53549939969,0.0,6.18905648318,0.0,0.170405054667,0.170405054667,0.170405054667,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32217903547
 01/01  11:00:00,1.12074290178,8.14393735283,0.0,6.95374002654,0.0,0.191459304432,0.191459304432,0.191459304432,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16536279894
 01/01  12:00:00,1.11631249582,7.18831712152,0.0,6.14175889408,0.0,0.169102796676,0.169102796676,0.169102796676,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02171609146
 01/01  13:00:00,1.0834492623,6.6121361711,0.0,5.67557330656,0.0,0.156267176135,0.156267176135,0.156267176135,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912139202519
