Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.875696665235,6.08487081132,0.0,5.62602902417,0.0,0.154903059299,0.154903059299,0.154903059299,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430332297566
 01/01  02:00:00,0.743164255508,5.95668160176,0.0,5.59127176315,0.0,0.153946077733,0.153946077733,0.153946077733,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339160108409
 01/01  03:00:00,0.694342547733,6.01320500337,0.0,5.67336344771,0.0,0.156206331462,0.156206331462,0.156206331462,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313896170157
 01/01  04:00:00,0.680560946457,6.01513479131,0.0,5.66867131216,0.0,0.156077141558,0.156077141558,0.156077141558,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.32088330728
 01/01  05:00:00,0.679239400826,6.11967858157,0.0,5.69994803153,0.0,0.156938292379,0.156938292379,0.156938292379,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395116672585
 01/01  06:00:00,0.735460857827,6.46035297595,0.0,5.71961672023,0.0,0.157479835987,0.157479835987,0.157479835987,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713269146724
 01/01  07:00:00,0.957940789364,6.82902897117,0.0,5.48681730575,0.0,0.151070103411,0.151070103411,0.151070103411,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31047612204
 01/01  08:00:00,1.27728402377,6.65887374208,0.0,5.14192057307,0.0,0.141573963451,0.141573963451,0.141573963451,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48323177647
 01/01  09:00:00,1.2192753808,5.7679135735,0.0,4.28846733739,0.0,0.118075592467,0.118075592467,0.118075592467,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45093674653
 01/01  10:00:00,1.02134915905,4.55425001878,0.0,3.20610759832,0.0,0.0882746735376,0.0882746735376,0.0882746735376,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32387853941
 01/01  11:00:00,1.01257371442,4.21810119413,0.0,3.02507011935,0.0,0.0832901170735,0.0832901170735,0.0832901170735,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16819654742
 01/01  12:00:00,1.00501514004,3.14970554187,0.0,2.09947492107,0.0,0.0578054408888,0.0578054408888,0.0578054408888,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02538848482
 01/01  13:00:00,0.967378067374,2.4006641384,0.0,1.45990503959,0.0,0.0401959812057,0.0401959812057,0.0401959812057,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.916335436796
 01/01  14:00:00,0.933591119866,2.04913011029,0.0,1.17559592339,0.0,0.0323680173441,0.0323680173441,0.0323680173441,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.848265968344
 01/01  15:00:00,0.938458272894,2.19340762616,0.0,1.38178667028,0.0,0.038045125897,0.038045125897,0.038045125897,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.784929925866
 01/01  16:00:00,1.02753326478,2.86949481259,0.0,2.04913544833,0.0,0.0564194298503,0.0564194298503,0.0564194298503,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.792184653836
 01/01  17:00:00,1.31097780849,3.66586134274,0.0,2.75832105785,0.0,0.0759456391986,0.0759456391986,0.0759456391986,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.874214540459
 01/01  18:00:00,1.84323062074,5.37091116323,0.0,4.29410853162,0.0,0.118230913074,0.118230913074,0.118230913074,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03631717815
 01/01  19:00:00,2.17219934922,4.97986340676,0.0,3.74154295428,0.0,0.103016967674,0.103016967674,0.103016967674,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19436546947
