Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.924918796996,7.87258856623,0.0,7.41376093322,0.0,0.20412519106,0.20412519106,0.20412519106,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430318143419
 01/01  02:00:00,0.802347767067,8.10537372144,0.0,7.74079776536,0.0,0.213129589293,0.213129589293,0.213129589293,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338326225882
 01/01  03:00:00,0.758337092845,8.33626473737,0.0,7.99762463284,0.0,0.220200876574,0.220200876574,0.220200876574,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312694719018
 01/01  04:00:00,0.750539008544,8.55521084662,0.0,8.210251899,0.0,0.226055203645,0.226055203645,0.226055203645,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319378775748
 01/01  05:00:00,0.753089364499,8.80024582662,0.0,8.38215483194,0.0,0.230788256052,0.230788256052,0.230788256052,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393477117233
 01/01  06:00:00,0.808372396426,9.10631333147,0.0,8.36774022541,0.0,0.230391374585,0.230391374585,0.230391374585,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711105997059
 01/01  07:00:00,1.04369720924,9.94127394719,0.0,8.60146274545,0.0,0.236826523289,0.236826523289,0.236826523289,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30807565836
 01/01  08:00:00,1.36963856671,10.010702691,0.0,8.49620770895,0.0,0.233928506395,0.233928506395,0.233928506395,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48077358952
 01/01  09:00:00,1.30857966781,9.0086380527,0.0,7.53197016386,0.0,0.207379879471,0.207379879471,0.207379879471,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44815839925
 01/01  10:00:00,1.11231891028,7.855411035,0.0,6.51009954687,0.0,0.179244424766,0.179244424766,0.179244424766,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32104760708
 01/01  11:00:00,1.10992112498,7.75047162338,0.0,6.56069659267,0.0,0.180637527637,0.180637527637,0.180637527637,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16494050336
 01/01  12:00:00,1.08126662933,5.91545868451,0.0,4.86890435552,0.0,0.134056930184,0.134056930184,0.134056930184,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02171219301
 01/01  13:00:00,1.03958671108,5.02035501535,0.0,4.08249962968,0.0,0.112404624915,0.112404624915,0.112404624915,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.913431723648
 01/01  14:00:00,1.00426053387,4.61318591214,0.0,3.74228618826,0.0,0.103037431347,0.103037431347,0.103037431347,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845631505327
 01/01  15:00:00,1.00589263348,4.63961844459,0.0,3.83098084102,0.0,0.10547948648,0.10547948648,0.10547948648,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781946573553
 01/01  16:00:00,1.08606119016,4.99215087733,0.0,4.17485077253,0.0,0.114947355231,0.114947355231,0.114947355231,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789125394373
 01/01  17:00:00,1.36069220818,5.46848950045,0.0,4.56393197897,0.0,0.12566003889,0.12566003889,0.12566003889,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871231777044
 01/01  18:00:00,1.88582517067,6.91513183221,0.0,5.84112881174,0.0,0.160825463006,0.160825463006,0.160825463006,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03351756702
 01/01  19:00:00,2.2072331786,6.249938856,0.0,5.01396030874,0.0,0.138050797053,0.138050797053,0.138050797053,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19202356425
 01/01  20:00:00,2.17537267249,6.40100928857,0.0,5.12979140902,0.0,0.141240007723,0.141240007723,0.141240007723,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2258476937
 01/01  21:00:00,2.02769943386,6.60493397598,0.0,5.41885027179,0.0,0.14919874771,0.14919874771,0.14919874771,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13915375176
 01/01  22:00:00,1.86351482502,6.7749557508,0.0,5.70652870556,0.0,0.157119479951,0.157119479951,0.157119479951,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02259273372
 01/01  23:00:00,1.54988177703,7.17528185359,0.0,6.29315417555,0.0,0.173271206075,0.173271206075,0.173271206075,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842463955279
 01/01  24:00:00,1.23304671683,7.4615747512,0.0,6.78537795021,0.0,0.186823743438,0.186823743438,0.186823743438,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641729763944
 01/02  01:00:00,0.913353113636,7.67480621264,0.0,7.23245309714,0.0,0.199133190776,0.199133190776,0.199133190776,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413843625919
 01/02  02:00:00,0.792613638438,7.88696848132,0.0,7.53061199928,0.0,0.207342484739,0.207342484739,0.207342484739,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.330106751836
 01/02  03:00:00,0.747028681664,8.01426600287,0.0,7.68174613077,0.0,0.211503703821,0.211503703821,0.211503703821,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306574486591
 01/02  04:00:00,0.737374873845,8.1201543219,0.0,7.78172582151,0.0,0.214256473118,0.214256473118,0.214256473118,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312848328522
 01/02  05:00:00,0.736131531823,8.26778045743,0.0,7.86326734084,0.0,0.216501578991,0.216501578991,0.216501578991,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379899239138
 01/02  06:00:00,0.78830176307,8.48749442007,0.0,7.78757186253,0.0,0.21441743383,0.21441743383,0.21441743383,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672455448553
 01/02  07:00:00,1.01709310794,9.27200346659,0.0,8.02112555691,0.0,0.220847934209,0.220847934209,0.220847934209,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21914236629
 01/02  08:00:00,1.33101370225,9.26753642236,0.0,7.86193894359,0.0,0.216465003851,0.216465003851,0.216465003851,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37187608623
 01/02  09:00:00,1.26878771917,8.627082739,0.0,7.26485173605,0.0,0.200025231728,0.200025231728,0.200025231728,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33372151336
 01/02  10:00:00,1.0839930747,8.3561130869,0.0,7.11682784031,0.0,0.195949647653,0.195949647653,0.195949647653,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21502136554
 01/02  11:00:00,1.10716464913,9.40788142525,0.0,8.30984326445,0.0,0.228797281072,0.228797281072,0.228797281072,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07320363344
 01/02  12:00:00,1.09303409471,8.17241083829,0.0,7.20266966568,0.0,0.198313155076,0.198313155076,0.198313155076,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944899036633
 01/02  13:00:00,1.07033262995,7.80524752289,0.0,6.93564358211,0.0,0.190961049874,0.190961049874,0.190961049874,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84518027877
 01/02  14:00:00,1.04559928436,7.63843310465,0.0,6.8267994851,0.0,0.187964214355,0.187964214355,0.187964214355,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.786365400993
 01/02  15:00:00,1.05001299785,7.60848947552,0.0,6.85444633811,0.0,0.188725423032,0.188725423032,0.188725423032,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727352107398
 01/02  16:00:00,1.12631346229,7.74566263183,0.0,6.98277019084,0.0,0.192258600213,0.192258600213,0.192258600213,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.734717730581
 01/02  17:00:00,1.38670145439,7.65179996188,0.0,6.81310660371,0.0,0.187587204352,0.187587204352,0.187587204352,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.805367613741
 01/02  18:00:00,1.91327774551,9.11842903112,0.0,8.12216812681,0.0,0.223629968061,0.223629968061,0.223629968061,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.955775450851
 01/02  19:00:00,2.2238312132,7.99956481149,0.0,6.86293512411,0.0,0.188959147194,0.188959147194,0.188959147194,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09267470437
 01/02  20:00:00,2.18304843918,7.8123137181,0.0,6.65233117219,0.0,0.18316052861,0.18316052861,0.18316052861,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11461236005
 01/02  21:00:00,2.02773931615,7.76660511065,0.0,6.68623456304,0.0,0.184094000325,0.184094000325,0.184094000325,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03344059518
 01/02  22:00:00,1.85879985516,7.80818740204,0.0,6.82851207401,0.0,0.188011367553,0.188011367553,0.188011367553,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.933841016509
 01/02  23:00:00,1.54988941231,8.13338861075,0.0,7.32103179471,0.0,0.201572053282,0.201572053282,0.201572053282,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772693093273
 01/02  24:00:00,1.24339793236,8.35798834109,0.0,7.72555131035,0.0,0.212709804305,0.212709804305,0.212709804305,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597969993692
 01/03  01:00:00,0.93709470232,8.53650114643,0.0,8.09473992103,0.0,0.22287477946,0.22287477946,0.22287477946,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413251735815
 01/03  02:00:00,0.815302689269,8.71037583467,0.0,8.35467098872,0.0,0.23003153557,0.23003153557,0.23003153557,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329455115747
 01/03  03:00:00,0.768536090214,8.79481740805,0.0,8.46288825466,0.0,0.233011112371,0.233011112371,0.233011112371,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305983767887
