Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.951999354153,8.85495039545,0.0,8.39731801236,0.0,0.231205748217,0.231205748217,0.231205748217,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429122893504
 01/01  02:00:00,0.829968530928,9.10744497135,0.0,8.74397497729,0.0,0.240750353153,0.240750353153,0.240750353153,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337220263852
 01/01  03:00:00,0.785063690179,9.30591261036,0.0,8.96832600571,0.0,0.246927473909,0.246927473909,0.246927473909,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311641219146
 01/01  04:00:00,0.775528926504,9.46184957638,0.0,9.11787763856,0.0,0.251045121605,0.251045121605,0.251045121605,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318391765953
 01/01  05:00:00,0.777450461802,9.68397042369,0.0,9.26694200856,0.0,0.255149353355,0.255149353355,0.255149353355,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392414537682
 01/01  06:00:00,0.834898101545,10.0688131475,0.0,9.33114525797,0.0,0.256917079705,0.256917079705,0.256917079705,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710200780501
 01/01  07:00:00,1.07942510323,11.2381462967,0.0,9.89908830216,0.0,0.272554417279,0.272554417279,0.272554417279,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30732245117
 01/01  08:00:00,1.38109545702,10.4258322763,0.0,8.91231826027,0.0,0.245385396704,0.245385396704,0.245385396704,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47979262353
 01/01  09:00:00,1.32300782164,9.53198171259,0.0,8.05599604554,0.0,0.221808033303,0.221808033303,0.221808033303,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44747617747
 01/01  10:00:00,1.13001575426,8.49766316761,0.0,7.15284319777,0.0,0.196941268746,0.196941268746,0.196941268746,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3205560888
 01/01  11:00:00,1.1336766176,8.61262102009,0.0,7.42348840295,0.0,0.204393020254,0.204393020254,0.204393020254,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16429808978
 01/01  12:00:00,1.09732123995,6.4975025144,0.0,5.45200262171,0.0,0.150111540801,0.150111540801,0.150111540801,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02065775672
 01/01  13:00:00,1.05129228811,5.44452778161,0.0,4.50764240207,0.0,0.124110201939,0.124110201939,0.124110201939,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912461717527
 01/01  14:00:00,1.01318842583,4.9371265408,0.0,4.06654433748,0.0,0.111965323312,0.111965323312,0.111965323312,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845313984767
 01/01  15:00:00,1.01136163403,4.83733676967,0.0,4.02961317249,0.0,0.110948487029,0.110948487029,0.110948487029,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781032567163
 01/01  16:00:00,1.08699218139,5.02523460784,0.0,4.20866407297,0.0,0.115878346462,0.115878346462,0.115878346462,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788395824456
 01/01  17:00:00,1.36614213571,5.66598481557,0.0,4.76187158448,0.0,0.131109966418,0.131109966418,0.131109966418,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.87078748666
 01/01  18:00:00,1.90219714911,7.50950813146,0.0,6.43575377478,0.0,0.177197441451,0.177197441451,0.177197441451,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03326890322
 01/01  19:00:00,2.22783922235,6.99779428749,0.0,5.76236515487,0.0,0.158656840811,0.158656840811,0.158656840811,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19147414962
 01/01  20:00:00,2.1968746348,7.18115218189,0.0,5.91073572741,0.0,0.162741970038,0.162741970038,0.162741970038,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22504626863
