Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.919084851538,7.66067170288,0.0,7.20187392065,0.0,0.198291245602,0.198291245602,0.198291245602,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.43028829264
 01/01  02:00:00,0.804619120049,8.18805576096,0.0,7.8232925712,0.0,0.215400942275,0.215400942275,0.215400942275,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338513459554
 01/01  03:00:00,0.767523392475,8.66952311157,0.0,8.33126806493,0.0,0.229387176204,0.229387176204,0.229387176204,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31230966114
 01/01  04:00:00,0.766780716307,9.14478750172,0.0,8.80014547304,0.0,0.242296911409,0.242296911409,0.242296911409,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319061856815
 01/01  05:00:00,0.776806625962,9.66118781371,0.0,9.24355809903,0.0,0.254505517515,0.254505517515,0.254505517515,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393015837222
 01/01  06:00:00,0.832932748667,9.9979590061,0.0,9.25976427695,0.0,0.254951726826,0.254951726826,0.254951726826,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710727620158
 01/01  07:00:00,1.0816150965,11.3178641042,0.0,9.97862814954,0.0,0.274744410548,0.274744410548,0.274744410548,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30750041131
 01/01  08:00:00,1.39354114319,10.8778543953,0.0,9.36434155742,0.0,0.257831082871,0.257831082871,0.257831082871,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47979144531
 01/01  09:00:00,1.34105932785,10.1874487606,0.0,8.71162091382,0.0,0.23985953951,0.23985953951,0.23985953951,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4473183572
 01/01  10:00:00,1.1659010916,9.80056296707,0.0,8.45618704635,0.0,0.232826606094,0.232826606094,0.232826606094,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32011203968
 01/01  11:00:00,1.18715367863,10.553975234,0.0,9.36575796706,0.0,0.257870081281,0.257870081281,0.257870081281,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16338273954
 01/01  12:00:00,1.15966790688,8.76038534271,0.0,7.71641340429,0.0,0.212458207735,0.212458207735,0.212458207735,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01912980244
 01/01  13:00:00,1.10673322964,7.45609648847,0.0,6.52123947116,0.0,0.179551143474,0.179551143474,0.179551143474,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910433355288
 01/01  14:00:00,1.0450313719,6.09109867457,0.0,5.22306984199,0.0,0.143808269382,0.143808269382,0.143808269382,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842760614024
 01/01  15:00:00,1.02383971905,5.28901618031,0.0,4.48281318584,0.0,0.123426572058,0.123426572058,0.123426572058,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779511964452
 01/01  16:00:00,1.09134088874,5.18159001075,0.0,4.36660771754,0.0,0.120227053807,0.120227053807,0.120227053807,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786807582788
 01/01  17:00:00,1.36285799489,5.54577593813,0.0,4.64259265201,0.0,0.127825825602,0.127825825602,0.127825825602,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869857541689
 01/01  18:00:00,1.88235870159,6.78842608145,0.0,5.71522777572,0.0,0.157358993928,0.157358993928,0.157358993928,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03271285228
 01/01  19:00:00,2.19865616082,5.93768654083,0.0,4.70244579656,0.0,0.129473779276,0.129473779276,0.129473779276,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19128576126
 01/01  20:00:00,2.15757386981,5.75376200252,0.0,4.48334465111,0.0,0.123441205043,0.123441205043,0.123441205043,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22504716556
 01/01  21:00:00,2.00679408137,5.84513687487,0.0,4.65957462942,0.0,0.128293395222,0.128293395222,0.128293395222,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13863229302
 01/01  22:00:00,1.85491701157,6.46280188006,0.0,5.39425890094,0.0,0.148521666493,0.148521666493,0.148521666493,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0227086676
 01/01  23:00:00,1.54199396492,6.88877496841,0.0,6.00667139054,0.0,0.165383393971,0.165383393971,0.165383393971,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842439855106
 01/01  24:00:00,1.21584845231,6.83677746482,0.0,6.16074254416,0.0,0.16962547892,0.16962547892,0.16962547892,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641567883613
 01/02  01:00:00,0.88711899759,6.72188552137,0.0,6.27963848541,0.0,0.17289907473,0.17289907473,0.17289907473,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413737546367
 01/02  02:00:00,0.766681470602,6.94472130722,0.0,6.58876404891,0.0,0.181410316902,0.181410316902,0.181410316902,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329707528109
 01/02  03:00:00,0.726426985195,7.2661047723,0.0,6.93349917677,0.0,0.190902007351,0.190902007351,0.190902007351,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306660210026
