Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.924527776692,2.55003539698,0.0,2.52206801861,0.0,0.0629030899235,0.0629030899235,0.0629030899235,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.74489589458,2.88473222513,0.0,2.85898163656,0.0,0.0709308298837,0.0709308298837,0.0709308298837,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.688964521627,3.29178060096,0.0,3.26632856993,0.0,0.0810358280305,0.0810358280305,0.0810358280305,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.684865759246,3.48358527745,0.0,3.45849151549,0.0,0.085823026902,0.085823026902,0.085823026902,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.738612432423,3.76096056747,0.0,3.73681472572,0.0,0.0924553920225,0.0924553920225,0.0924553920225,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.00749558564,3.86986299268,0.0,3.84291817391,0.0,0.0949493166092,0.0949493166092,0.0949493166092,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635099941
 01/01  07:00:00,1.62265186364,3.71341601709,0.0,3.6822839287,0.0,0.0908589371587,0.0908589371587,0.0908589371587,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385253048
 01/01  08:00:00,2.04484923129,3.35237751172,0.0,3.31929733532,0.0,0.0815135239204,0.0815135239204,0.0815135239204,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255582
 01/01  09:00:00,1.96794009233,2.47652914121,0.0,2.44856176284,0.0,0.0598278601234,0.0598278601234,0.0598278601234,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.70203257685,1.57865236296,0.0,1.55484986239,0.0,0.0379273525059,0.0379273525059,0.0379273525059,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681221
 01/01  11:00:00,1.57960848728,0.935969313175,0.0,0.911607017201,0.0,0.0223178785642,0.0223178785642,0.0223178785642,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958446934
 01/01  12:00:00,1.48029563183,0.0243697599126,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54803947117
 01/01  13:00:00,1.38719005031,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.474845841877
 01/01  14:00:00,1.31572504266,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.429573242292
 01/01  15:00:00,1.27160142629,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.387053958378
 01/01  16:00:00,1.34467313399,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.391840205848
 01/01  17:00:00,1.65516250444,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.44665243393
 01/01  18:00:00,2.2382376351,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55617600451
 01/01  19:00:00,2.67378385051,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.663737651769
 01/01  20:00:00,2.66019144933,0.110793436464,0.0,0.0662859698918,0.0,0.00161653070859,0.00161653070859,0.00161653070859,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686776800165
 01/01  21:00:00,2.46235619741,0.504864334812,0.0,0.458826760803,0.0,0.0113049508491,0.0113049508491,0.0113049508491,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498674375
 01/01  22:00:00,2.22589144423,0.76612668954,0.0,0.721163922706,0.0,0.0178694035613,0.0178694035613,0.0178694035613,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045437465
 01/01  23:00:00,1.80619570524,1.49685514244,0.0,1.45794562991,0.0,0.0365141374677,0.0365141374677,0.0365141374677,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614127
 01/01  24:00:00,1.37451526348,2.34169394406,0.0,2.30788230167,0.0,0.05785814596,0.05785814596,0.05785814596,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.921452676,3.11263517476,0.0,3.08466779639,0.0,0.0769658458924,0.0769658458924,0.0769658458924,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239291933
 01/02  02:00:00,0.757023772501,3.75501912219,0.0,3.72926853361,0.0,0.0925654237093,0.0925654237093,0.0925654237093,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247183172
 01/02  03:00:00,0.700248602776,4.01981118147,0.0,3.99435915045,0.0,0.09901006384,0.09901006384,0.09901006384,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.70354016998,4.50041260442,0.0,4.47531884245,0.0,0.110241599208,0.110241599208,0.110241599208,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.751741043903,4.78750832795,0.0,4.7633624862,0.0,0.117209576303,0.117209576303,0.117209576303,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.12618277149
 01/02  06:00:00,1.00229855745,4.89410344102,0.0,4.86715862225,0.0,0.11960957437,0.11960957437,0.11960957437,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874506583
 01/02  07:00:00,1.57974173932,4.83182098472,0.0,4.80068889633,0.0,0.117652431472,0.117652431472,0.117652431472,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146636
 01/02  08:00:00,1.98755461424,4.83020203022,0.0,4.79712185382,0.0,0.117305318307,0.117305318307,0.117305318307,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337206067
 01/02  09:00:00,1.90563183822,4.3404983708,0.0,4.31253099243,0.0,0.105225680506,0.105225680506,0.105225680506,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
