Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.936822003055,3.03735034838,0.0,3.00938297,0.0,0.0751973162955,0.0751973162955,0.0751973162955,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465507
 01/01  02:00:00,0.759260642075,3.44705837683,0.0,3.42130778826,0.0,0.0852955773793,0.0852955773793,0.0852955773793,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101462
 01/01  03:00:00,0.699052612378,3.69062465199,0.0,3.66517262097,0.0,0.0911239187813,0.0911239187813,0.0911239187813,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.694218595233,3.86416268859,0.0,3.83906892663,0.0,0.0951758628883,0.0951758628883,0.0951758628883,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.744179045543,3.98273739203,0.0,3.95859155028,0.0,0.0980220051427,0.0980220051427,0.0980220051427,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.01071685168,3.99505402665,0.0,3.96810920788,0.0,0.098170587682,0.098170587682,0.098170587682,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.62331261082,3.73442019685,0.0,3.70328810846,0.0,0.0915196848504,0.0915196848504,0.0915196848504,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.06023039704,3.96281164824,0.0,3.92973147184,0.0,0.096894689679,0.096894689679,0.096894689679,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.99770770199,3.6536120178,0.0,3.62564463943,0.0,0.089595469774,0.089595469774,0.089595469774,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75340063797,3.635600068,0.0,3.61179756743,0.0,0.0892954131712,0.0892954131712,0.0892954131712,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.66817658638,4.4838252062,0.0,4.45946291023,0.0,0.11088596624,0.11088596624,0.11088596624,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958458351
 01/01  12:00:00,1.57107921921,3.6774170969,0.0,3.65304733699,0.0,0.090556874811,0.090556874811,0.090556874811,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266183737
 01/01  13:00:00,1.47006188904,3.33279379437,0.0,3.30883455108,0.0,0.0819675054436,0.0819675054436,0.0819675054436,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750175162
 01/01  14:00:00,1.39497244082,3.16087245771,0.0,3.13608471723,0.0,0.0778926393322,0.0778926393322,0.0778926393322,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430928001123
 01/01  15:00:00,1.34255811974,2.81877675971,0.0,2.79259326269,0.0,0.0694942181519,0.0694942181519,0.0694942181519,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433679
 01/01  16:00:00,1.40446877009,2.36769185371,0.0,2.34005288864,0.0,0.0583077859551,0.0583077859551,0.0583077859551,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055992
 01/01  17:00:00,1.70800194052,2.09609589355,0.0,2.06340384196,0.0,0.0515769815101,0.0515769815101,0.0515769815101,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.28115508647,1.73402533069,0.0,1.69430971277,0.0,0.0424130566165,0.0424130566165,0.0424130566165,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.70531161793,1.28594894606,0.0,1.24282977209,0.0,0.0311376109698,0.0311376109698,0.0311376109698,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.69186520766,1.36583182087,0.0,1.3213243543,0.0,0.0331574190705,0.0331574190705,0.0331574190705,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670133
 01/01  21:00:00,2.48563322224,1.42501992337,0.0,1.37898234937,0.0,0.0345819021093,0.0345819021093,0.0345819021093,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.2483426676,1.65353206497,0.0,1.60856929814,0.0,0.0403205922665,0.0403205922665,0.0403205922665,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454409308
 01/01  23:00:00,1.81986736485,2.04197756247,0.0,2.00306804994,0.0,0.0501858006715,0.0501858006715,0.0501858006715,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370610536
