Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.6127962017,0.0,2.73083150403,0.0,0.0852942329858,2.81612573701,0.0852942329858,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171685008
 01/01  02:00:00,3.58118955433,0.0,2.85457947868,0.0,0.0890576642738,2.94363714295,0.0890576642738,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108794124
 01/01  03:00:00,3.72210441646,0.0,3.04578019677,0.0,0.0948495212024,3.14062971797,0.0948495212024,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437629241
 01/01  04:00:00,3.96209533145,0.0,3.28823556766,0.0,0.102505582656,3.39074115032,0.102505582656,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921781
 01/01  05:00:00,4.13908679755,0.0,3.42662021685,0.0,0.106731440895,3.53335165774,0.106731440895,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148607206
 01/01  06:00:00,4.47242655361,0.0,3.54333425451,0.0,0.110102043247,3.65343629776,0.110102043247,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561034552
 01/01  07:00:00,6.23434214238,0.0,4.76501320555,0.0,0.148884397631,4.91389760318,0.148884397631,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.56506981481
 01/01  08:00:00,5.22507676588,0.0,3.416917936,0.0,0.104669923558,3.52158785956,0.104669923558,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749793091
 01/01  09:00:00,4.78597795253,0.0,3.05263135077,0.0,0.0935428752501,3.14617422602,0.0935428752501,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554532405
 01/01  10:00:00,4.46832008445,0.0,2.93215205996,0.0,0.0906530408048,3.02280510077,0.0906530408048,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744047349
