Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.79578182581,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127283046132
 01/01  02:00:00,0.637044829578,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0820032976161
 01/01  03:00:00,0.580932606165,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0699016705982
 01/01  04:00:00,0.571016391199,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0735307022445
 01/01  05:00:00,0.628732734416,0.0,0.0224226943058,0.0,0.000705140486888,0.0231278347927,0.000705140486888,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110018367025
 01/01  06:00:00,0.843962985437,0.0,0.0242110377647,0.0,0.000761827170475,0.0249728649351,0.000761827170475,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268560899202
 01/01  07:00:00,1.320444539,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814617
 01/01  08:00:00,1.87071964653,0.0,0.16224629919,0.0,0.00510113547743,0.167347434667,0.00510113547743,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646633098633
 01/01  09:00:00,1.63961156154,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627362367434
 01/01  10:00:00,1.44518930964,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561418373311
 01/01  11:00:00,1.36983437401,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483039690618
 01/01  12:00:00,1.31727878973,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412560237138
 01/01  13:00:00,1.24358037722,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.35876664465
 01/01  14:00:00,1.18491818802,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.32631125761
 01/01  15:00:00,1.15068519031,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295051233517
