Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.32024530262,0.0,1.47715720134,0.0,0.0464176334804,1.52357483482,0.0464176334804,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,2.48893492521,0.0,1.7952293537,0.0,0.0561531528971,1.8513825066,0.0561531528971,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108866462
 01/01  03:00:00,2.76827855356,0.0,2.12074674287,0.0,0.0660571039879,2.18680384686,0.0660571039879,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437711371
 01/01  04:00:00,3.0689914345,0.0,2.42247354237,0.0,0.0751637023743,2.49763724475,0.0751637023743,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738685007999
 01/01  05:00:00,3.39329932588,0.0,2.70395441601,0.0,0.0836097689523,2.78756418496,0.0836097689523,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148608327
 01/01  06:00:00,3.81936533162,0.0,2.910665922,0.0,0.089709153586,3.00037507559,0.089709153586,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561034739
 01/01  07:00:00,5.52725181654,0.0,4.08052060647,0.0,0.126286673667,4.20680728013,0.126286673667,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069812021
 01/01  08:00:00,4.64262109921,0.0,2.85182203702,0.0,0.0873101445858,2.9391321816,0.0873101445858,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749804383
 01/01  09:00:00,3.68232109072,0.0,1.98222975029,0.0,0.0602876189964,2.04251736928,0.0602876189964,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554527333
 01/01  10:00:00,2.77944107938,0.0,1.29455349229,0.0,0.0393726043625,1.33392609665,0.0393726043625,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744046396
 01/01  11:00:00,2.71656303286,0.0,1.3063448117,0.0,0.0401495424447,1.34649435415,0.0401495424447,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273995319
 01/01  12:00:00,1.80357175994,0.0,0.471304035594,0.0,0.0144372869696,0.485741322564,0.0144372869696,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111884789
 01/01  13:00:00,1.33626414456,0.0,0.0893112956218,0.0,0.00272911321913,0.0920404088409,0.00272911321913,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410003147
 01/01  14:00:00,1.18537348169,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326766551273
 01/01  15:00:00,1.1511234204,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295489463608
 01/01  16:00:00,1.21645622934,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299284508353
 01/01  17:00:00,1.48992340685,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340018508959
 01/01  18:00:00,2.66490121447,0.0,0.64696790826,0.0,0.0201928796944,0.667160787955,0.0201928796944,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422807299433
 01/01  19:00:00,2.43716729693,0.0,0.0778654803355,0.0,0.00241611360444,0.08028159394,0.00241611360444,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117423048
 01/01  20:00:00,2.51073524915,0.0,0.177871774311,0.0,0.00553771981241,0.183409494123,0.00553771981241,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241044632
 01/01  21:00:00,2.52389702772,0.0,0.356500447831,0.0,0.0111804674896,0.367680915321,0.0111804674896,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547357419
 01/01  22:00:00,2.53994471859,0.0,0.567300100184,0.0,0.0178600418889,0.585160142073,0.0178600418889,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.41922596343
 01/01  23:00:00,2.2917957787,0.0,0.693067300161,0.0,0.0218342705095,0.71490157067,0.0218342705095,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908476417
 01/01  24:00:00,2.34519603371,0.0,1.12315434941,0.0,0.0353573686433,1.15851171806,0.0353573686433,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905548385
 01/02  01:00:00,2.15065115546,0.0,1.32653867796,0.0,0.0418045305187,1.36834320848,0.0418045305187,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.12038285038
 01/02  02:00:00,2.14272276198,0.0,1.46730494976,0.0,0.0458565889249,1.51316153868,0.0458565889249,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154094
 01/02  03:00:00,2.3280766279,0.0,1.69917855848,0.0,0.0530440229858,1.75222258147,0.0530440229858,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343492944
 01/02  04:00:00,2.43642449308,0.0,1.81299633715,0.0,0.0566722159363,1.86966855308,0.0566722159363,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356552173
 01/02  05:00:00,2.51692865591,0.0,1.8623769582,0.0,0.0580929517513,1.92046990996,0.0580929517513,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368968
 01/02  06:00:00,2.70481778602,0.0,1.85153914511,0.0,0.0576511529425,1.90919029806,0.0576511529425,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,3.03063757124,0.0,1.71182043439,0.0,0.0532500820956,1.76507051649,0.0532500820956,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
 01/02  08:00:00,3.23442743938,0.0,1.55714724321,0.0,0.0483162907469,1.60546353395,0.0483162907469,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154117
 01/02  09:00:00,2.78850261196,0.0,1.1994102392,0.0,0.0370843856588,1.23649462486,0.0370843856588,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093893
 01/02  10:00:00,2.32685025907,0.0,0.947627445121,0.0,0.0293497134039,0.976977158525,0.0293497134039,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133222679
 01/02  11:00:00,2.46398720799,0.0,1.15198148851,0.0,0.0360890936292,1.18807058214,0.0360890936292,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038171747
 01/02  12:00:00,1.75785588319,0.0,0.512284682045,0.0,0.0160065303154,0.52829121236,0.0160065303154,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334877758
 01/02  13:00:00,1.18012775697,0.0,0.0142410799282,0.0,0.000441071882792,0.0146821518109,0.000441071882792,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442378685
 01/02  14:00:00,1.11490016276,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.299881264863
 01/02  15:00:00,1.08766350388,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.27115511926
 01/02  16:00:00,1.17769925416,0.0,0.021515427613,0.0,0.000665919368916,0.0221813469819,0.000665919368916,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275405159043
