Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.83087547995,0.0,1.00358894987,0.0,0.0306160622864,1.03420501216,0.0306160622864,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,1.70816612594,0.0,1.0388832793,0.0,0.0317304433803,1.07061372268,0.0317304433803,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108712983
 01/01  03:00:00,1.77321056321,0.0,1.15604473691,0.0,0.0356911306355,1.19173586754,0.0356911306355,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437601026
 01/01  04:00:00,1.89056345363,0.0,1.27950710697,0.0,0.0397021655317,1.3192092725,0.0397021655317,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921785
 01/01  05:00:00,2.08196623855,0.0,1.43147735638,0.0,0.0447537502338,1.47623110661,0.0447537502338,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,2.16859579667,0.0,1.30871938163,0.0,0.0408861801264,1.34960556176,0.0408861801264,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.26856101361
 01/01  07:00:00,2.44665870667,0.0,1.092165537,0.0,0.0340486315838,1.12621416858,0.0340486315838,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069813702
 01/01  08:00:00,2.52948626551,0.0,0.801128180663,0.0,0.0248691973388,0.825997378001,0.0248691973388,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774281
 01/01  09:00:00,2.38847503849,0.0,0.726091356917,0.0,0.0225799652886,0.748671322206,0.0225799652886,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.96316761444,0.0,0.502036286059,0.0,0.0156163464701,0.517652632529,0.0156163464701,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,1.66347553292,0.0,0.284553235351,0.0,0.00885362311344,0.293406858465,0.00885362311344,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48327399106
 01/01  12:00:00,1.31770834232,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412989789727
 01/01  13:00:00,1.2441405593,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359326826736
 01/01  14:00:00,1.2620475692,0.0,0.07415229704,0.0,0.00230385058231,0.0764561476223,0.00230385058231,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326984491163
 01/01  15:00:00,1.20610245097,0.0,0.053022840493,0.0,0.00165154282607,0.0546743833191,0.00165154282607,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110858
 01/01  16:00:00,1.41351965058,0.0,0.190563358103,0.0,0.0059688919632,0.196532250067,0.0059688919632,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679522
 01/01  17:00:00,1.79044588649,0.0,0.290803145845,0.0,0.00915665757157,0.299959803417,0.00915665757157,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581185181
 01/01  18:00:00,3.00738999974,0.0,0.978507739325,0.0,0.0310407776639,1.00954851699,0.0310407776639,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908355677
 01/01  19:00:00,2.83931352834,0.0,0.467776852569,0.0,0.0146509627363,0.482427815305,0.0146509627363,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117433085
 01/01  20:00:00,2.97475641178,0.0,0.627784640842,0.0,0.019646008363,0.647430649205,0.019646008363,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241052181
 01/01  21:00:00,3.09167795956,0.0,0.907061072286,0.0,0.028400765005,0.935461837291,0.028400765005,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547367292
 01/01  22:00:00,3.17004425712,0.0,1.17848479902,0.0,0.0367748795757,1.2152596786,0.0367748795757,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225965438
 01/01  23:00:00,3.29460277636,0.0,1.66583011566,0.0,0.051878452668,1.71770856832,0.051878452668,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908476422
 01/01  24:00:00,3.41720178631,0.0,2.16340797659,0.0,0.0671094940671,2.23051747066,0.0671094940671,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905548385
 01/02  01:00:00,3.62866841895,0.0,2.76100335376,0.0,0.0853571182116,2.84636047197,0.0853571182116,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.12038285038
 01/02  02:00:00,3.91486574492,0.0,3.1872421748,0.0,0.098062346822,3.28530452162,0.098062346822,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154094
 01/02  03:00:00,4.23336827877,0.0,3.54878110899,0.0,0.108733013701,3.65751412269,0.108733013701,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.06743445894
 01/02  04:00:00,4.43056265502,0.0,3.74904584783,0.0,0.114760866064,3.86380671389,0.114760866064,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356563503
