Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.50045145376,0.0,0.682127819954,0.0,0.0217078588602,0.703835678814,0.0217078588602,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128116995263
 01/01  02:00:00,1.64094792326,0.0,0.972603464334,0.0,0.0307920377138,1.00339550205,0.0307920377138,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108892533
 01/01  03:00:00,1.80074052532,0.0,1.18209735373,0.0,0.0371684711215,1.21926582485,0.0371684711215,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437649021
 01/01  04:00:00,1.95779418481,0.0,1.34440262366,0.0,0.0420373799995,1.38644000366,0.0420373799995,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.073868492188
 01/01  05:00:00,2.05556969652,0.0,1.40607932469,0.0,0.0437552398858,1.44983456458,0.0437552398858,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,2.24240214199,0.0,1.3805245931,0.0,0.0428872960048,1.4234118891,0.0428872960048,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,2.62511909616,0.0,1.26550777982,0.0,0.0391667771877,1.30467455701,0.0391667771877,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.90696913309,0.0,1.16744421506,0.0,0.0360360305154,1.20348024557,0.0360360305154,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,2.85984010086,0.0,1.18343978128,0.0,0.0365966032979,1.22003638458,0.0365966032979,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.58562606194,0.0,1.10586439064,0.0,0.0342466893833,1.14011108002,0.0342466893833,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,2.95235174018,0.0,1.53433557592,0.0,0.0479474875277,1.58228306345,0.0479474875277,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273993335
 01/01  12:00:00,2.24312945096,0.0,0.897423302361,0.0,0.0278757148716,0.925299017233,0.0278757148716,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.41311188113
 01/01  13:00:00,1.88686357082,0.0,0.623246111447,0.0,0.0193937260555,0.642639837502,0.0193937260555,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410000749
 01/01  14:00:00,1.72623150123,0.0,0.524215573714,0.0,0.0164145217787,0.540630095492,0.0164145217787,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475325
 01/01  15:00:00,1.57687706636,0.0,0.412478409776,0.0,0.0129705889882,0.425448998765,0.0129705889882,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110806
 01/01  16:00:00,1.55151868603,0.0,0.324304973576,0.0,0.0102263119528,0.334531285529,0.0102263119528,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,1.65271398483,0.0,0.157260069666,0.0,0.0049678332078,0.162227902873,0.0049678332078,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,2.20324195488,0.0,0.199104065248,0.0,0.00629641180477,0.205400477053,0.00629641180477,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,2.35688570519,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.50511742524
 01/01  20:00:00,2.32705051461,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522965804209
 01/01  21:00:00,2.15558119636,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477912441383
 01/01  22:00:00,1.95416977609,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.418611163006
 01/01  23:00:00,1.57636094185,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330375210233
 01/01  24:00:00,1.18624250328,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232463736013
 01/02  01:00:00,0.781981279874,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120056183272
 01/02  02:00:00,0.675307902802,0.0,0.04446347544,0.0,0.00140429079861,0.0458677662386,0.00140429079861,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0783456286774
 01/02  03:00:00,0.717485852997,0.0,0.137290518357,0.0,0.0043415080868,0.141632026443,0.0043415080868,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674341294146
 01/02  04:00:00,0.78058713775,0.0,0.207266264277,0.0,0.00656493468221,0.213831198959,0.00656493468221,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356540073
 01/02  05:00:00,0.858194817488,0.0,0.253696055907,0.0,0.00804001563384,0.261736071541,0.00804001563384,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368963
 01/02  06:00:00,1.05827002182,0.0,0.254575226794,0.0,0.00806730706499,0.262642533859,0.00806730706499,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,1.35772007304,0.0,0.0893236073558,0.0,0.00282941093567,0.0921530182915,0.00282941093567,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
