Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.796238726232,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127739946554
 01/01  02:00:00,0.978594642236,0.0,0.330825871267,0.0,0.0102166635696,0.341042534836,0.0102166635696,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825105754381
 01/01  03:00:00,1.20930289054,0.0,0.608787608575,0.0,0.0190406193123,0.627828227887,0.0190406193123,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437270909
 01/01  04:00:00,1.40598113827,0.0,0.809211349306,0.0,0.0254156079497,0.834626957256,0.0254156079497,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684920546
 01/01  05:00:00,1.87655074374,0.0,1.23200351813,0.0,0.0388120936678,1.2708156118,0.0388120936678,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,1.88802908573,0.0,1.03670578838,0.0,0.0323330444675,1.06903883285,0.0323330444675,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,3.59285899658,0.0,2.2029983992,0.0,0.0694160582417,2.27241445744,0.0694160582417,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,3.36133306263,0.0,1.60793093694,0.0,0.0499132381697,1.65784417511,0.0499132381697,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,2.35203589464,0.0,0.691161800459,0.0,0.0210703779044,0.712232178363,0.0210703779044,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.97565829862,0.0,0.514491805221,0.0,0.0156515105101,0.530143315731,0.0156515105101,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744046559
 01/01  11:00:00,1.70973768846,0.0,0.329612518986,0.0,0.0100688140634,0.339681333049,0.0100688140634,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483261672021
 01/01  12:00:00,1.31715004283,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.41243149024
 01/01  13:00:00,1.24297927367,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.358165541098
 01/01  14:00:00,1.18366788997,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.325060959555
 01/01  15:00:00,1.14964733282,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.29401337603
 01/01  16:00:00,1.2155601634,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.298388442415
 01/01  17:00:00,1.48912934834,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.339224450452
 01/01  18:00:00,1.99726573381,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422332606732
 01/01  19:00:00,2.35585768478,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504089404836
 01/01  20:00:00,2.32582418668,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.52173947628
 01/01  21:00:00,2.15465743001,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.476988675034
 01/01  22:00:00,1.95326744005,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.417708826963
 01/01  23:00:00,1.57547690308,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.329491171467
 01/01  24:00:00,1.18535544986,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.23157668259
 01/02  01:00:00,0.781381875156,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.119456778555
 01/02  02:00:00,0.629231993437,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0781374855509
 01/02  03:00:00,0.575530843645,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0671111465055
 01/02  04:00:00,0.740430676515,0.0,0.168555799209,0.0,0.00514345866751,0.173699257876,0.00514345866751,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706111338556
 01/02  05:00:00,0.960008230321,0.0,0.352649147516,0.0,0.0109003464116,0.363549493928,0.0109003464116,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.10354335941
 01/02  06:00:00,0.84185618276,0.0,0.0448428042553,0.0,0.00138589215548,0.0462286964107,0.00138589215548,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495765
 01/02  07:00:00,1.29056965697,0.0,0.0242917542798,0.0,0.00074960142412,0.0250413557039,0.00074960142412,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520779089099
 01/02  08:00:00,1.75851428081,0.0,0.125650908098,0.0,0.00389947001813,0.129550378116,0.00389947001813,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386151392
 01/02  09:00:00,1.8298353082,0.0,0.269402486223,0.0,0.00842483556104,0.277827321784,0.00842483556104,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093208
 01/02  10:00:00,1.62493904368,0.0,0.266694897791,0.0,0.0083710424418,0.275065940233,0.0083710424418,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.51113322558
 01/02  11:00:00,1.97119355115,0.0,0.674003092632,0.0,0.0212738260419,0.695276918674,0.0212738260419,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178371
 01/02  12:00:00,1.56432811046,0.0,0.32450994711,0.0,0.0102534869177,0.334763434028,0.0102534869177,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334883359
 01/02  13:00:00,1.71019915676,0.0,0.528031746605,0.0,0.0167218048882,0.544753551494,0.0167218048882,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442378792
 01/02  14:00:00,1.64750870389,0.0,0.515987368766,0.0,0.0163639333303,0.532351302097,0.0163639333303,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138503896
 01/02  15:00:00,1.51533088216,0.0,0.4142707828,0.0,0.0131000049824,0.427370787782,0.0131000049824,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709756
 01/02  16:00:00,1.67539373869,0.0,0.503810486687,0.0,0.0159404583437,0.51975094503,0.0159404583437,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,2.14515474345,0.0,0.698415437079,0.0,0.022168135608,0.720583572687,0.022168135608,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,3.15671790105,0.0,1.19269562865,0.0,0.0378970220156,1.23059265067,0.0378970220156,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544053522
 01/02  19:00:00,2.93109185954,0.0,0.636150441658,0.0,0.0199355234151,0.656085965073,0.0199355234151,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547930061
 01/02  20:00:00,3.05070242801,0.0,0.786393038204,0.0,0.0246490268689,0.811042065073,0.0246490268689,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469820406739
