Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.795859111363,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127360331685
 01/01  02:00:00,0.637349703912,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0823081719501
 01/01  03:00:00,0.6162153443,0.0,0.033846917193,0.0,0.00105616478116,0.0349030819742,0.00105616478116,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070281326759
 01/01  04:00:00,0.698942595082,0.0,0.123722701734,0.0,0.00386595870017,0.127588660434,0.00386595870017,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738682456937
 01/01  05:00:00,0.796555059643,0.0,0.18502377229,0.0,0.00579615678472,0.190819929074,0.00579615678472,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.11014859797
 01/01  06:00:00,1.00032941971,0.0,0.175824174056,0.0,0.00551499278177,0.181339166837,0.00551499278177,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031572
 01/01  07:00:00,1.38372892931,0.0,0.0613609840333,0.0,0.00192340613076,0.063284390164,0.00192340613076,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.08222140344,0.0,0.367257716401,0.0,0.0114747995208,0.378732515922,0.0114747995208,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.72157349121,0.0,0.0792861226867,0.0,0.00248365224277,0.0817697749294,0.00248365224277,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.47602063503,0.0,0.0295839530793,0.0,0.000921700041349,0.0305056531207,0.000921700041349,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,1.55414618762,0.0,0.178496298837,0.0,0.00558121281314,0.184077511651,0.00558121281314,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273992583
 01/01  12:00:00,1.31766343464,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412944882049
 01/01  13:00:00,1.24401130741,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359197574843
 01/01  14:00:00,1.18508741935,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326480488942
 01/01  15:00:00,1.15071998293,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295086026136
 01/01  16:00:00,1.216194855,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299023134012
 01/01  17:00:00,1.48938686848,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.339481970592
 01/01  18:00:00,1.99687466656,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.42194153948
 01/01  19:00:00,2.35548796503,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.503719685082
 01/01  20:00:00,2.32565192059,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.521567210196
 01/01  21:00:00,2.15458926475,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.476920509769
 01/01  22:00:00,1.95320759539,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.417648982303
 01/01  23:00:00,1.57556842408,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.329582692469
 01/01  24:00:00,1.18571693084,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.231938163576
 01/02  01:00:00,0.781477871765,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.119552775164
 01/02  02:00:00,0.629324681503,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.078230173616
 01/02  03:00:00,0.664206486935,0.0,0.0856760350501,0.0,0.00267682822226,0.0883528632723,0.00267682822226,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674339265236
 01/02  04:00:00,0.797921676797,0.0,0.224144810322,0.0,0.00702092766806,0.23116573799,0.00702092766806,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.070635654024
 01/02  05:00:00,0.909275791066,0.0,0.303300767718,0.0,0.00951627740925,0.312817045127,0.00951627740925,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368956
 01/02  06:00:00,1.12167741159,0.0,0.316127915616,0.0,0.00992200801828,0.326049923634,0.00992200801828,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,2.11460755521,0.0,0.82317477582,0.0,0.0258657246384,0.849040500458,0.0258657246384,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
 01/02  08:00:00,2.50999428013,0.0,0.854107757066,0.0,0.0269226176389,0.881030374705,0.0269226176389,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154117
 01/02  09:00:00,1.76897708636,0.0,0.210464714123,0.0,0.00650438512979,0.216969099253,0.00650438512979,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093893
 01/02  10:00:00,1.3496809075,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.510941029633
 01/02  11:00:00,1.27525917444,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.439380720337
 01/02  12:00:00,1.22849813484,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.376268341767
 01/02  13:00:00,1.16408205334,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.32707882686
 01/02  14:00:00,1.11339331186,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.298374413964
 01/02  15:00:00,1.08610470993,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.269596325313
 01/02  16:00:00,1.15362427819,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.27351153006
 01/02  17:00:00,1.4222687084,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.308281729758
 01/02  18:00:00,1.92419739535,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.384616198486
 01/02  19:00:00,2.27279682532,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.455338860915
 01/02  20:00:00,2.23710052912,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.467260572914
 01/02  21:00:00,2.06812744873,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.425314064078
