Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.12148214467,0.0,1.2839785683,0.0,0.0408331103619,1.32481167867,0.0408331103619,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171686329
 01/01  02:00:00,2.38888426364,0.0,1.69771367689,0.0,0.0536181753592,1.75133185225,0.0536181753592,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108794288
 01/01  03:00:00,2.64026926551,0.0,1.99622766507,0.0,0.0625669019834,2.05879456706,0.0625669019834,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437628892
 01/01  04:00:00,2.879635414,0.0,2.23849126849,0.0,0.069789964375,2.30828123287,0.069789964375,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.073868492178
 01/01  05:00:00,3.13681347273,0.0,2.45483213444,0.0,0.0762462047079,2.53107833914,0.0762462047079,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148600983
 01/01  06:00:00,3.47105781581,0.0,2.572387196,0.0,0.07968036606,2.65206756206,0.07968036606,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561032449
 01/01  07:00:00,5.26683826147,0.0,3.82739325536,0.0,0.119000476341,3.9463937317,0.119000476341,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069805387
 01/01  08:00:00,4.66911574605,0.0,2.87691618666,0.0,0.0887106403085,2.96562682697,0.0887106403085,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749805849
 01/01  09:00:00,3.82195498974,0.0,2.11774216834,0.0,0.0644090993788,2.18215126772,0.0644090993788,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554527912
 01/01  10:00:00,3.08437845255,0.0,1.59049023165,0.0,0.0483732368004,1.63886346845,0.0483732368004,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744047763
 01/01  11:00:00,3.34066477666,0.0,1.91128392806,0.0,0.0593121678199,1.97059609588,0.0593121678199,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273997392
 01/01  12:00:00,2.16923095706,0.0,0.825986206539,0.0,0.0254143108548,0.851400517394,0.0254143108548,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111887069
 01/01  13:00:00,1.52982823429,0.0,0.277103963761,0.0,0.00850053419389,0.285604497955,0.00850053419389,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410003766
 01/01  14:00:00,1.18558144215,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326974511739
 01/01  15:00:00,1.15108340539,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295449448597
 01/01  16:00:00,1.21642601852,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299254297527
 01/01  17:00:00,1.48979423881,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.339889340922
 01/01  18:00:00,2.11980663292,0.0,0.118530608445,0.0,0.00365340647709,0.122184014922,0.00365340647709,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422689490917
 01/01  19:00:00,2.3564641811,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504695901154
 01/01  20:00:00,2.32653994523,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.52245523483
 01/01  21:00:00,2.15566102355,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477992268571
 01/01  22:00:00,1.9546280697,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.41906945661
 01/01  23:00:00,1.74819278255,0.0,0.166166848017,0.0,0.00516366905025,0.171330517068,0.00516366905025,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330876533871
 01/01  24:00:00,1.69217489595,0.0,0.490079776876,0.0,0.0154118464064,0.505491623283,0.0154118464064,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232904505403
 01/02  01:00:00,1.6400155013,0.0,0.831402368005,0.0,0.0263051904096,0.857707558415,0.0263051904096,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382846287
 01/02  02:00:00,1.78581928387,0.0,1.12081069837,0.0,0.0354473643105,1.15625806268,0.0354473643105,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667133049
 01/02  03:00:00,1.97875806493,0.0,1.36003357898,0.0,0.0428704494815,1.40290402846,0.0428704494815,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343393296
 01/02  04:00:00,2.16583033216,0.0,1.55031193681,0.0,0.0487624560021,1.59907439281,0.0487624560021,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356545637
 01/02  05:00:00,2.36458885191,0.0,1.71437457351,0.0,0.0537555324764,1.76813010599,0.0537555324764,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368939
 01/02  06:00:00,2.65067396336,0.0,1.79876451073,0.0,0.0562819646744,1.85504647541,0.0562819646744,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249294959259
 01/02  07:00:00,3.81938082255,0.0,2.47625855249,0.0,0.0775552153164,2.5538137678,0.0775552153164,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
 01/02  08:00:00,3.38209228261,0.0,1.70039651962,0.0,0.0527318575665,1.75312837718,0.0527318575665,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154117
 01/02  09:00:00,3.15832649005,0.0,1.55810916732,0.0,0.0482093428383,1.60631851015,0.0482093428383,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196086684
 01/02  10:00:00,2.9229697131,0.0,1.52558095468,0.0,0.0475156564466,1.57309661113,0.0475156564466,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133224104
 01/02  11:00:00,3.65061205855,0.0,2.30214409803,0.0,0.0725513280521,2.37469542609,0.0725513280521,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178362
 01/02  12:00:00,2.67409103148,0.0,1.40085800925,0.0,0.0436683458025,1.44452635505,0.0436683458025,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334883359
 01/02  13:00:00,2.1850658757,0.0,0.988793522151,0.0,0.0308267482493,1.0196202704,0.0308267482493,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442378825
 01/02  14:00:00,1.73229216597,0.0,0.598417706113,0.0,0.0187170583298,0.617134764443,0.0187170583298,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138503632
 01/02  15:00:00,1.55061378973,0.0,0.448535041104,0.0,0.0141186545705,0.462653695674,0.0141186545705,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709435
 01/02  16:00:00,1.65575374333,0.0,0.48482946306,0.0,0.0152814866138,0.500110949674,0.0152814866138,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,1.87920354725,0.0,0.4405992987,0.0,0.0140330777882,0.454632376488,0.0140330777882,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,2.86700772183,0.0,0.911662595462,0.0,0.0292198759785,0.940882471441,0.0292198759785,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544053522
 01/02  19:00:00,2.64413497206,0.0,0.357777162898,0.0,0.0113519146095,0.369129077507,0.0113519146095,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547930142
 01/02  20:00:00,2.52933705884,0.0,0.280804030848,0.0,0.00887266580624,0.289676696654,0.00887266580624,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469820405986
 01/02  21:00:00,2.40441743396,0.0,0.323608278009,0.0,0.0102288371925,0.333837115201,0.0102288371925,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.427766934112
 01/02  22:00:00,2.42076645224,0.0,0.527296382975,0.0,0.0167143240575,0.544010707033,0.0167143240575,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376803989582
 01/02  23:00:00,2.33631161262,0.0,0.795894766765,0.0,0.0252598962634,0.821154663028,0.0252598962634,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.297464429897
