Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.789030434264,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.120531654586
 01/01  02:00:00,0.630631582588,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0755900506259
 01/01  03:00:00,0.574926968546,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0638960329797
 01/01  04:00:00,0.564894954809,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0674092658544
 01/01  05:00:00,0.599676291282,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.104089758683
 01/01  06:00:00,0.81317076316,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.26274154186
 01/01  07:00:00,1.31484323985,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.559468515468
 01/01  08:00:00,1.69779468617,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.641055572946
 01/01  09:00:00,1.63388228058,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.621633086473
 01/01  10:00:00,1.43924577956,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.555474843224
 01/01  11:00:00,1.36368945159,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.476894768201
 01/01  12:00:00,1.31078637264,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.406067820047
 01/01  13:00:00,1.23642343559,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.351609703018
 01/01  14:00:00,1.17729826094,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.31869133053
 01/01  15:00:00,1.14289050594,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.287256549143
 01/01  16:00:00,1.20817758111,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.291005860125
 01/01  17:00:00,1.48142817289,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.331523275001
 01/01  18:00:00,1.98932427884,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.41439115176
 01/01  19:00:00,2.3481537584,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.496385478455
 01/01  20:00:00,2.3182266806,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.514141970208
 01/01  21:00:00,2.14720116631,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.469532411332
 01/01  22:00:00,1.94591520739,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.410356594302
 01/01  23:00:00,1.56843726108,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.322451529466
 01/01  24:00:00,1.17873524322,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.224956475948
 01/02  01:00:00,0.774507306364,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.112582209763
 01/02  02:00:00,0.622305218883,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0712107109965
 01/02  03:00:00,0.56933557302,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0609158758804
 01/02  04:00:00,0.560384977743,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0642646929602
 01/02  05:00:00,0.590302359115,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.0973869821312
 01/02  06:00:00,0.789730457402,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.243397928702
 01/02  07:00:00,1.26015017282,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.515400960657
 01/02  08:00:00,1.62381326813,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.588235516827
 01/02  09:00:00,1.54658493806,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.56677304485
 01/02  10:00:00,1.34415641966,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.50541654179
 01/02  11:00:00,1.27000701534,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.434128561234
 01/02  12:00:00,1.22375043186,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.371520638789
 01/02  13:00:00,1.15930916426,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.322305937785
 01/02  14:00:00,1.10862935876,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.293610460858
 01/02  15:00:00,1.08122798123,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.264719596609
 01/02  16:00:00,1.14885349552,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.268740747387
 01/02  17:00:00,1.41761839824,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.303631419595
 01/02  18:00:00,1.91996485207,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.38038365521
 01/02  19:00:00,2.269043425,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.451585460592
 01/02  20:00:00,2.23399567597,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.464155719771
 01/02  21:00:00,2.06504535344,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.422231968792
 01/02  22:00:00,1.87172604472,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.371774289095
 01/02  23:00:00,1.51071456265,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.293022042964
 01/02  24:00:00,1.14611435883,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.207870436898
 01/03  01:00:00,0.778276329583,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.116351232982
 01/03  02:00:00,0.625897370155,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0748028622681
 01/03  03:00:00,0.572745338189,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0643256410502
 01/03  04:00:00,0.563946299994,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0678260152109
 01/03  05:00:00,0.594240929578,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.101325552595
 01/03  06:00:00,0.794156891018,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.247824362318
 01/03  07:00:00,1.3281621181,0.0,0.0606156168546,0.0,0.00203436355551,0.0626499804102,0.00203436355551,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520762925521
 01/03  08:00:00,1.68867092595,0.0,0.0571435594049,0.0,0.00191619679339,0.0590597561983,0.00191619679339,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.594033418448
 01/03  09:00:00,1.5519558612,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572143967992
 01/03  10:00:00,1.34922166477,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.5104817869
 01/03  11:00:00,1.27518198155,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.43930352745
 01/03  12:00:00,1.22810850539,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.375878712322
 01/03  13:00:00,1.16330917541,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.326305948937
 01/03  14:00:00,1.11265091995,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.297632022057
 01/03  15:00:00,1.0852419012,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.268733516584
 01/03  16:00:00,1.15287126648,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.272758518348
 01/03  17:00:00,1.42188371348,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.307896734839
 01/03  18:00:00,1.924340435,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.384759238138
 01/03  19:00:00,2.27296546254,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.455507498137
 01/03  20:00:00,2.23734588445,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.467505928242
 01/03  21:00:00,2.06831207967,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.425498695018
 01/03  22:00:00,1.87464773824,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.374695982615
 01/03  23:00:00,1.51313366252,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.295441142828
 01/03  24:00:00,1.14836274518,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.210118823253
