Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.19138371177,0.0,1.35173192732,0.0,0.0429813166641,1.39471324398,0.0429813166641,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688112
 01/01  02:00:00,2.41326037438,0.0,1.72135037185,0.0,0.0543575909513,1.7757079628,0.0543575909513,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796173
 01/01  03:00:00,2.60839912695,0.0,1.96530214289,0.0,0.0616222855627,2.02692442845,0.0616222855627,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,2.89033763713,0.0,2.24877927707,0.0,0.0702041789199,2.31898345599,0.0702041789199,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,3.12856793562,0.0,2.44671279684,0.0,0.0761200068464,2.52283280368,0.0761200068464,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,3.42056400891,0.0,2.52332433596,0.0,0.0782494200674,2.60157375603,0.0782494200674,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,5.02864614224,0.0,3.59634891362,0.0,0.111852706656,3.70820162027,0.111852706656,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069797585
 01/01  08:00:00,4.44674313411,0.0,2.66112078498,0.0,0.0821334499463,2.74325423492,0.0821334499463,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.64674978596
 01/01  09:00:00,3.6589430909,0.0,1.9595254359,0.0,0.0596139365951,2.01913937249,0.0596139365951,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554524298
 01/01  10:00:00,2.8346153245,0.0,1.34809919502,0.0,0.0410011456174,1.38910034064,0.0410011456174,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744047528
 01/01  11:00:00,3.15566910063,0.0,1.73173077577,0.0,0.0538696459077,1.78560042168,0.0538696459077,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48327399556
 01/01  12:00:00,2.10673136607,0.0,0.765230735477,0.0,0.0236701922241,0.788900927701,0.0236701922241,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.41311188578
 01/01  13:00:00,1.50960796223,0.0,0.257445507714,0.0,0.00793871840103,0.265384226115,0.00793871840103,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410003551
 01/01  14:00:00,1.20542065165,0.0,0.0192276733255,0.0,0.000591572158058,0.0198192454836,0.000591572158058,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475759
 01/01  15:00:00,1.15119089908,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295556942282
 01/01  16:00:00,1.21661545774,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299443736755
 01/01  17:00:00,1.49002360439,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340118706499
 01/01  18:00:00,2.33214945829,0.0,0.324278457954,0.0,0.0101306939949,0.334409151949,0.0101306939949,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422807179267
 01/01  19:00:00,2.35658963491,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504821354964
 01/01  20:00:00,2.32693700354,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522852293145
 01/01  21:00:00,2.15609984727,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478431092291
 01/01  22:00:00,2.05391724923,0.0,0.0961537285715,0.0,0.00300420103927,0.0991579296108,0.00300420103927,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.41920070653
 01/01  23:00:00,1.91275399445,0.0,0.325608395464,0.0,0.0102527892197,0.335861184684,0.0102527892197,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330907078151
 01/01  24:00:00,1.89609373762,0.0,0.687625513734,0.0,0.0217839113165,0.709409425051,0.0217839113165,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905545304
 01/02  01:00:00,1.76312608943,0.0,0.950642923198,0.0,0.0301752192485,0.980818142446,0.0301752192485,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.12038285038
 01/02  02:00:00,1.83929321938,0.0,1.17262129311,0.0,0.037110702979,1.20973199609,0.037110702979,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154094
 01/02  03:00:00,1.98668690382,0.0,1.36770577449,0.0,0.0431270829021,1.41083285739,0.0431270829021,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343492944
 01/02  04:00:00,2.21524604313,0.0,1.59823352183,0.0,0.0502565813034,1.64849010313,0.0502565813034,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356552173
 01/02  05:00:00,2.38055035612,0.0,1.72974540957,0.0,0.0543462005943,1.78409161016,0.0543462005943,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368968
 01/02  06:00:00,2.6118464543,0.0,1.76102850679,0.0,0.0551904595495,1.81621896634,0.0551904595495,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,3.06532644833,0.0,1.74520809396,0.0,0.0545512996256,1.79975939358,0.0545512996256,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
 01/02  08:00:00,4.31244811306,0.0,2.6022500761,0.0,0.0812341315363,2.68348420764,0.0812341315363,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154117
 01/02  09:00:00,3.48451478075,0.0,1.87418619422,0.0,0.0583205994281,1.93250679365,0.0583205994281,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093893
 01/02  10:00:00,3.20396015964,0.0,1.79820854982,0.0,0.0558785063693,1.85408705619,0.0558785063693,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133225581
 01/02  11:00:00,3.71574034287,0.0,2.36545750628,0.0,0.0743662041193,2.4398237104,0.0743662041193,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178371
 01/02  12:00:00,2.62540511525,0.0,1.35381338887,0.0,0.0420270472377,1.39584043611,0.0420270472377,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334886074
 01/02  13:00:00,2.39246693611,0.0,1.1898309724,0.0,0.0371903578981,1.2270213303,0.0371903578981,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442379337
 01/02  14:00:00,2.31668985105,0.0,1.16488987609,0.0,0.036642572885,1.20153244898,0.036642572885,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138504176
 01/02  15:00:00,1.70904850177,0.0,0.602152737712,0.0,0.0189356696836,0.621088407396,0.0189356696836,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709757
 01/02  16:00:00,1.91392061723,0.0,0.735184365364,0.0,0.0230934582076,0.758277823571,0.0230934582076,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,2.1106744827,0.0,0.664978169172,0.0,0.0211251427621,0.686103311935,0.0211251427621,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
