Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.796252406537,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127753626859
 01/01  02:00:00,1.01457371414,0.0,0.365941184243,0.0,0.0111297505688,0.377070934811,0.0111297505688,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0824612473689
 01/01  03:00:00,1.5516761452,0.0,0.941238881642,0.0,0.0289625740314,0.970201455674,0.0289625740314,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437539556
 01/01  04:00:00,1.74109451019,0.0,1.13465102112,0.0,0.0350893097685,1.16974033089,0.0350893097685,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684903471
 01/01  05:00:00,1.89582489258,0.0,1.25142931845,0.0,0.0386604421987,1.29008976065,0.0386604421987,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.11014859933
 01/01  06:00:00,2.15820970668,0.0,1.29911921,0.0,0.0401002437999,1.3392194538,0.0401002437999,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,3.42857515606,0.0,2.04480777498,0.0,0.0633228419356,2.10813061692,0.0633228419356,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.62188639197,0.0,0.891197608807,0.0,0.0271998956462,0.918397504453,0.0271998956462,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.65329925546,0.0,0.0130972003871,0.0,0.000398338803433,0.0134955391906,0.000398338803433,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522167
 01/01  10:00:00,1.44509576879,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561324832454
 01/01  11:00:00,1.3695197207,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.482725037314
 01/01  12:00:00,1.31687132999,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412152777398
 01/01  13:00:00,1.24278904759,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.357975315018
 01/01  14:00:00,1.18408641745,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.325479487036
 01/01  15:00:00,1.14969057984,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294056623047
 01/01  16:00:00,1.21500096578,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.29782924479
 01/01  17:00:00,1.48848625735,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.338581359462
 01/01  18:00:00,1.99620251449,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.421269387414
 01/01  19:00:00,2.35489113804,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.503122858092
 01/01  20:00:00,2.32499004685,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.52090533645
 01/01  21:00:00,2.15401782703,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.476349072049
 01/01  22:00:00,1.95286207022,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.417303457134
 01/01  23:00:00,1.57540463782,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.32941890621
 01/01  24:00:00,1.18581715712,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.23203838985
 01/02  01:00:00,0.781912268566,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.119987171964
 01/02  02:00:00,0.931000904967,0.0,0.292542519323,0.0,0.00889740048683,0.30143991981,0.00889740048683,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784664772701
 01/02  03:00:00,1.25849961867,0.0,0.66242426063,0.0,0.0202213071032,0.682645567733,0.0202213071032,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343537999
 01/02  04:00:00,1.59644745765,0.0,0.998818956969,0.0,0.0308725508209,1.02969150779,0.0308725508209,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356650762
 01/02  05:00:00,1.95548096131,0.0,1.31809524228,0.0,0.0409269705519,1.35902221283,0.0409269705519,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543371495
 01/02  06:00:00,2.45484380292,0.0,1.6093108869,0.0,0.0499054086445,1.65921629555,0.0499054086445,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249294978677
 01/02  07:00:00,3.24904500055,0.0,1.92397500408,0.0,0.0595029377186,1.9834779418,0.0595029377186,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817846585
 01/02  08:00:00,2.30655683153,0.0,0.657541742422,0.0,0.0200511836669,0.677592926089,0.0200511836669,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154136
 01/02  09:00:00,2.05907342552,0.0,0.492098729972,0.0,0.0149667114707,0.507065441442,0.0149667114707,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196090863
 01/02  10:00:00,1.66890896202,0.0,0.309619092772,0.0,0.00941676810993,0.319035860882,0.00941676810993,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133223276
 01/02  11:00:00,1.63691457913,0.0,0.35025448851,0.0,0.0107434608386,0.360997949348,0.0107434608386,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.44003817568
 01/02  12:00:00,1.34962293336,0.0,0.116476211535,0.0,0.00358204717644,0.120058258711,0.00358204717644,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334881572
 01/02  13:00:00,1.165190142,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.32818691552
 01/02  14:00:00,1.11434585845,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.299326960555
 01/02  15:00:00,1.0869918014,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.270483416782
 01/02  16:00:00,1.1546618871,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.274549138964
 01/02  17:00:00,1.42343472441,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.309447745771
 01/02  18:00:00,1.92490888225,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.385327685383
 01/02  19:00:00,2.2733123626,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.455854398194
 01/02  20:00:00,2.23766625634,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.46782630014
 01/02  21:00:00,2.06851126358,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.425697878925
 01/02  22:00:00,1.87466506016,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.374713304541
 01/02  23:00:00,1.51305597136,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.29536345167
 01/02  24:00:00,1.148254076,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.210010154065
 01/03  01:00:00,0.780606672015,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.118681575414
 01/03  02:00:00,0.628039387537,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0769448796501
 01/03  03:00:00,0.574507898341,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0660882012016
 01/03  04:00:00,0.565530353003,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0694100682205
 01/03  05:00:00,0.595359575148,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.102444198165
 01/03  06:00:00,0.794770595823,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.248438067123
 01/03  07:00:00,1.26499302255,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520243810387
