Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.958944880675,0.0,0.157382755424,0.0,0.0049584905818,0.162341246006,0.0049584905818,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12810485499
 01/01  02:00:00,1.03413619027,0.0,0.384432457526,0.0,0.0121513193841,0.39658377691,0.0121513193841,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.082510881402
 01/01  03:00:00,1.1176345833,0.0,0.519731053326,0.0,0.016428830568,0.536159883894,0.016428830568,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437638428
 01/01  04:00:00,1.2083556632,0.0,0.617500705705,0.0,0.0195007763662,0.637001482071,0.0195007763662,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.073868492179
 01/01  05:00:00,1.30061165925,0.0,0.673656736469,0.0,0.0212197908392,0.694876527308,0.0212197908392,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,1.51062422741,0.0,0.670559177117,0.0,0.0210747974053,0.691633974523,0.0210747974053,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,1.88004281059,0.0,0.542583888852,0.0,0.0170143825937,0.559598271446,0.0170143825937,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.72726735086,0.0,0.99275722019,0.0,0.0310212431526,1.02377846334,0.0310212431526,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,2.26728160157,0.0,0.608342426525,0.0,0.0191354587688,0.627477885293,0.0191354587688,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.03554852468,0.0,0.572192193235,0.0,0.0178413495312,0.590033542766,0.0178413495312,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,2.37915844318,0.0,0.978384821834,0.0,0.0307049453684,1.0090897672,0.0307049453684,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273992583
 01/01  12:00:00,1.91696282503,0.0,0.58094679346,0.0,0.0181855928068,0.599132386266,0.0181855928068,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111886176
 01/01  13:00:00,1.7557972083,0.0,0.49604504815,0.0,0.0155284229643,0.511573471114,0.0155284229643,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410004617
 01/01  14:00:00,1.62026521263,0.0,0.421442255636,0.0,0.0132215520817,0.434663807718,0.0132215520817,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994474497
 01/01  15:00:00,1.47552031014,0.0,0.314219832688,0.0,0.00987241016436,0.324092242852,0.00987241016436,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110495
 01/01  16:00:00,1.46490641131,0.0,0.240360086836,0.0,0.00755892397512,0.247919010812,0.00755892397512,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679513
 01/01  17:00:00,1.60560020816,0.0,0.111601331173,0.0,0.00351279502542,0.115114126198,0.00351279502542,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,2.2565777696,0.0,0.250830617576,0.0,0.00790567419409,0.25873629177,0.00790567419409,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,2.35675993225,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504991652301
 01/01  20:00:00,2.32677616575,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522691455351
 01/01  21:00:00,2.15563964122,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477970886238
 01/01  22:00:00,1.95418823778,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.41862962469
 01/01  23:00:00,1.57639719408,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330411462463
 01/01  24:00:00,1.18645225833,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.23267349106
 01/02  01:00:00,0.909878548845,0.0,0.12367559849,0.0,0.00389555392595,0.127571152415,0.00389555392595,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382299828
 01/02  02:00:00,0.910615171913,0.0,0.272454655248,0.0,0.00859929516212,0.28105395041,0.00859929516212,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667136167
 01/02  03:00:00,0.944833160004,0.0,0.357681967024,0.0,0.0112971465747,0.368979113598,0.0112971465747,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.067434349266
 01/02  04:00:00,1.05982782941,0.0,0.477987332471,0.0,0.0150845569386,0.49307188941,0.0150845569386,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.070635655217
 01/02  05:00:00,1.22609358804,0.0,0.610381972486,0.0,0.0192528696051,0.629634842091,0.0192528696051,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368968
 01/02  06:00:00,1.48974110767,0.0,0.672924948913,0.0,0.0211886651831,0.694113614096,0.0211886651831,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249294964874
 01/02  07:00:00,2.44027039937,0.0,1.13883172562,0.0,0.0358716161117,1.17470334174,0.0358716161117,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817845471
 01/02  08:00:00,2.30547811551,0.0,0.655960552108,0.0,0.0205536006551,0.676514152763,0.0205536006551,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386211445
 01/02  09:00:00,2.265148417,0.0,0.69159856055,0.0,0.0215418295017,0.713140390052,0.0215418295017,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196133737
 01/02  10:00:00,1.84737201509,0.0,0.482496542574,0.0,0.0150023554164,0.49749889799,0.0150023554164,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133239237
 01/02  11:00:00,2.23224895218,0.0,0.927275943247,0.0,0.029056376432,0.956332319679,0.029056376432,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178396
 01/02  12:00:00,1.62829105967,0.0,0.386685950011,0.0,0.0120404220533,0.398726372064,0.0120404220533,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334894533
 01/02  13:00:00,1.45330790821,0.0,0.279169123419,0.0,0.00869317671327,0.287862300133,0.00869317671327,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442381602
 01/02  14:00:00,1.31657150719,0.0,0.195320469224,0.0,0.00609363616824,0.201414105393,0.00609363616824,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138503902
 01/02  15:00:00,1.15969814869,0.0,0.069566909945,0.0,0.00217114437608,0.0717380543211,0.00217114437608,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709756
 01/02  16:00:00,1.34596448302,0.0,0.184544993712,0.0,0.00577669564553,0.190321689358,0.00577669564553,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,1.64050024037,0.0,0.20935115744,0.0,0.00657791216514,0.215929069605,0.00657791216514,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,2.89791232035,0.0,0.941941514179,0.0,0.0298455557887,0.971787069968,0.0298455557887,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544053522
 01/02  19:00:00,2.57714171444,0.0,0.29299059132,0.0,0.00914522099669,0.302135812317,0.00914522099669,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547937722
 01/02  20:00:00,2.59060921408,0.0,0.340340454686,0.0,0.0106083906005,0.350948845287,0.0106083906005,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469820412594
 01/02  21:00:00,2.5502213721,0.0,0.465111642027,0.0,0.0145294067366,0.479641048764,0.0145294067366,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.427766938681
 01/02  22:00:00,2.54677838875,0.0,0.649710908786,0.0,0.0203117331777,0.670022641964,0.0203117331777,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376803991163
 01/02  23:00:00,2.51869201183,0.0,0.973106012686,0.0,0.0304290473145,1.00353506,0.0304290473145,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.297464432134
 01/02  24:00:00,2.58029556024,0.0,1.38675868117,0.0,0.0432991102089,1.43005779138,0.0432991102089,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.211993846932
 01/03  01:00:00,2.53764407904,0.0,1.70230376838,0.0,0.0529361382392,1.75523990662,0.0529361382392,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120479075817
 01/03  02:00:00,2.55442429388,0.0,1.86686228685,0.0,0.0579528461443,1.924815133,0.0579528461443,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0785146530033
 01/03  03:00:00,2.64211081182,0.0,2.00440643549,0.0,0.0618165628769,2.06622299837,0.0618165628769,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674681163108
