Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.52631718709,0.0,2.64718717005,0.0,0.0824595490417,2.72964671909,0.0824595490417,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688316
 01/01  02:00:00,3.84693865177,0.0,3.11275895938,0.0,0.0966272808094,3.20938624019,0.0966272808094,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796187
 01/01  03:00:00,4.06926552388,0.0,3.3832681855,0.0,0.104522639872,3.48779082538,0.104522639872,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437629381
 01/01  04:00:00,4.14480245984,0.0,3.46656650079,0.0,0.106881777922,3.57344827871,0.106881777922,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,4.19343111066,0.0,3.48097701014,0.0,0.106718968582,3.58769597872,0.106718968582,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,4.39682008052,0.0,3.47145533504,0.0,0.106374490771,3.57782982581,0.106374490771,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561033409
 01/01  07:00:00,5.82531853048,0.0,4.37021537387,0.0,0.134658615873,4.50487398974,0.134658615873,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069816358
 01/01  08:00:00,4.98958318126,0.0,3.18867311023,0.0,0.0974211830662,3.28609429329,0.0974211830662,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774741
 01/01  09:00:00,4.33082900957,0.0,2.61148976589,0.0,0.0795355274033,2.69102529329,0.0795355274033,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522178
 01/01  10:00:00,3.80938391458,0.0,2.29342649281,0.0,0.0704424364921,2.3638689293,0.0704424364921,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744048948
 01/01  11:00:00,4.6004333656,0.0,3.13239138202,0.0,0.0979733021271,3.23036468415,0.0979733021271,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273998059
 01/01  12:00:00,3.68959770778,0.0,2.30023523208,0.0,0.0715320309446,2.37176726303,0.0715320309446,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111892161
 01/01  13:00:00,2.90375882215,0.0,1.60957091095,0.0,0.0499641718839,1.65953508283,0.0499641718839,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410006746
 01/01  14:00:00,2.55544264124,0.0,1.32830899151,0.0,0.0415322429565,1.36984123446,0.0415322429565,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994476363
 01/01  15:00:00,2.31738288619,0.0,1.13042021965,0.0,0.0355345987235,1.16595481838,0.0355345987235,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794111021
 01/01  16:00:00,2.41758548995,0.0,1.16384302131,0.0,0.036755068135,1.20059808945,0.036755068135,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679516
 01/01  17:00:00,2.77834022699,0.0,1.2482556837,0.0,0.0395984613312,1.28785414503,0.0395984613312,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,3.92635649253,0.0,1.86907132766,0.0,0.0594436912133,1.92851501888,0.0594436912133,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908346578
 01/01  19:00:00,3.49409016274,0.0,1.10270348637,0.0,0.0345009740484,1.13720446042,0.0345009740484,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117422373
 01/01  20:00:00,3.41093736161,0.0,1.05078417939,0.0,0.0328274296703,1.08361160906,0.0328274296703,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.52324104216
 01/01  21:00:00,3.42916800661,0.0,1.23428244535,0.0,0.0386694475232,1.27295189287,0.0386694475232,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547358761
 01/01  22:00:00,3.53008629943,0.0,1.52741072301,0.0,0.0478910021687,1.57530172518,0.0478910021687,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225961162
 01/01  23:00:00,3.48690230716,0.0,1.85204038297,0.0,0.0579677168483,1.91000809982,0.0579677168483,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908475723
 01/01  24:00:00,3.5027072356,0.0,2.24589051076,0.0,0.0701324077396,2.3160229185,0.0701324077396,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905549828
 01/02  01:00:00,3.63014787776,0.0,2.76176036779,0.0,0.0860795621297,2.84783992992,0.0860795621297,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382851244
 01/02  02:00:00,3.86605342996,0.0,3.13905177825,0.0,0.0974404209665,3.23649219922,0.0974404209665,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667228614
 01/02  03:00:00,4.07594637153,0.0,3.39504865447,0.0,0.105043666652,3.50009232112,0.105043666652,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343532689
 01/02  04:00:00,4.3304264475,0.0,3.65107283778,0.0,0.11259766963,3.76367050741,0.11259766963,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356553113
 01/02  05:00:00,4.57592945098,0.0,3.8606120606,0.0,0.118858644419,3.97947070502,0.118858644419,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368971
 01/02  06:00:00,4.8826054082,0.0,3.96517528936,0.0,0.121802609225,4.08697789859,0.121802609225,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929498091
