Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.796505996931,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128007217252
 01/01  02:00:00,0.790791941729,0.0,0.148758975255,0.0,0.00452436173009,0.153283336985,0.00452436173009,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0824670727827
 01/01  03:00:00,0.938855003262,0.0,0.346730709988,0.0,0.0106497263919,0.35738043638,0.0106497263919,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443631316
 01/01  04:00:00,1.06496103447,0.0,0.478759858915,0.0,0.0148469964591,0.493606855374,0.0148469964591,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684901444
 01/01  05:00:00,1.24349774159,0.0,0.618509319064,0.0,0.0192532906436,0.637762609708,0.0192532906436,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599287
 01/01  06:00:00,1.52480999043,0.0,0.684443516171,0.0,0.0213762213792,0.70581973755,0.0213762213792,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031581
 01/01  07:00:00,2.62585248006,0.0,1.26575057955,0.0,0.0396573613656,1.30540794092,0.0396573613656,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.27768279318,0.0,0.556949066457,0.0,0.0172448392089,0.574193905666,0.0172448392089,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.80793308834,0.0,0.163156919427,0.0,0.00497245263682,0.168129372064,0.00497245263682,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.44533835049,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561567414162
 01/01  11:00:00,1.36990344008,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483108756692
 01/01  12:00:00,1.31729848118,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.41257992859
 01/01  13:00:00,1.24317545458,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.358361722012
 01/01  14:00:00,1.18426182664,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.32565489623
 01/01  15:00:00,1.14983441653,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294200459735
 01/01  16:00:00,1.21542460457,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.29825288358
 01/01  17:00:00,1.48885507381,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.338950175923
 01/01  18:00:00,1.99663933273,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.421706205657
 01/01  19:00:00,2.3555370599,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.503768779953
 01/01  20:00:00,2.32563034348,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.521545633084
 01/01  21:00:00,2.15468705548,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477018300502
 01/01  22:00:00,1.95346742008,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.41790880699
 01/01  23:00:00,1.57611333703,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330127605417
 01/01  24:00:00,1.18649454562,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232715778354
 01/02  01:00:00,1.06884773273,0.0,0.278061249983,0.0,0.0085179477797,0.286579197763,0.0085179477797,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120343438365
 01/02  02:00:00,1.27057620945,0.0,0.621748147617,0.0,0.0192668588499,0.641015006467,0.0192668588499,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784666950945
 01/02  03:00:00,1.48124412915,0.0,0.878023205525,0.0,0.0273668656852,0.90539007121,0.0273668656852,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.067434360796
 01/02  04:00:00,1.71459570914,0.0,1.11314924177,0.0,0.0346905214501,1.14783976322,0.0346905214501,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356611365
 01/02  05:00:00,1.96167665463,0.0,1.32404499506,0.0,0.041172885654,1.36521788071,0.041172885654,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543396938
 01/02  06:00:00,2.28723508897,0.0,1.44675699997,0.0,0.0448505484986,1.49160754847,0.0448505484986,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249295011805
 01/02  07:00:00,3.66478895528,0.0,2.3269451195,0.0,0.0722767136168,2.39922183312,0.0722767136168,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817909996
 01/02  08:00:00,3.05305968116,0.0,1.38180954674,0.0,0.0422862108687,1.42409575761,0.0422862108687,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386172248
 01/02  09:00:00,2.46428701811,0.0,0.885351900974,0.0,0.0269271299535,0.912279030927,0.0269271299535,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093965
 01/02  10:00:00,1.85374955297,0.0,0.489003862996,0.0,0.0148725840563,0.503876447052,0.0148725840563,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133228055
