Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.47303588196,0.0,0.655744914018,0.0,0.0206259043018,0.676370818319,0.0206259043018,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128166283963
 01/01  02:00:00,1.59681445855,0.0,0.929993724762,0.0,0.0292683347994,0.959262059562,0.0292683347994,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.08251086703
 01/01  03:00:00,1.70284460094,0.0,1.08724284014,0.0,0.0341270624188,1.12136990255,0.0341270624188,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437628239
 01/01  04:00:00,1.82681972011,0.0,1.2173475884,0.0,0.0381179505753,1.25546553898,0.0381179505753,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921784
 01/01  05:00:00,1.95679249853,0.0,1.31014463409,0.0,0.0409127324992,1.35105736659,0.0409127324992,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,2.14983097917,0.0,1.29060947271,0.0,0.0402312535791,1.33084072629,0.0402312535791,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,3.19999620776,0.0,1.82268107367,0.0,0.0568705949464,1.87955166862,0.0568705949464,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.7054079223,0.0,0.971943708688,0.0,0.0299753260954,1.00191903478,0.0299753260954,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,2.21043651338,0.0,0.55367383651,0.0,0.0169589605881,0.570632797098,0.0169589605881,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.93517920823,0.0,0.475015811595,0.0,0.014648415246,0.489664226841,0.014648415246,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045056
 01/01  11:00:00,1.73939523908,0.0,0.358211976154,0.0,0.0111145879896,0.369326564144,0.0111145879896,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48327399155
 01/01  12:00:00,1.31776863437,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413050081778
 01/01  13:00:00,1.24408802701,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.35927429444
 01/01  14:00:00,1.18545546754,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326848537129
 01/01  15:00:00,1.15124337162,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295609414822
 01/01  16:00:00,1.2167497314,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299578010407
 01/01  17:00:00,1.49010987826,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340204980374
 01/01  18:00:00,1.99731726215,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422384135073
 01/01  19:00:00,2.35588221709,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504113937148
 01/01  20:00:00,2.32622159891,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522136888518
 01/01  21:00:00,2.15525702575,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477588270774
 01/01  22:00:00,1.95403897811,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.418480365018
 01/01  23:00:00,1.57652672337,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330540991755
 01/01  24:00:00,1.36701832227,0.0,0.174991893605,0.0,0.00544405193534,0.18043594554,0.00544405193534,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232803609458
 01/02  01:00:00,1.37241383817,0.0,0.572141339251,0.0,0.0179646152185,0.59010595447,0.0179646152185,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382787098
 01/02  02:00:00,1.61261214272,0.0,0.95301898034,0.0,0.0300319272832,0.983050907623,0.0300319272832,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.078466727215
 01/02  03:00:00,1.9241363378,0.0,1.30718101903,0.0,0.0411012530067,1.34828227203,0.0411012530067,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343686252
 01/02  04:00:00,2.26460957855,0.0,1.6462906928,0.0,0.0515629407678,1.69785363357,0.0515629407678,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356601924
 01/02  05:00:00,2.6215675551,0.0,1.96385299751,0.0,0.0612557761185,2.02510877363,0.0612557761185,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543404484
 01/02  06:00:00,3.03760966385,0.0,2.17444805286,0.0,0.067534055471,2.24198210833,0.067534055471,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249295026816
 01/02  07:00:00,4.69708816435,0.0,3.32779479429,0.0,0.103726226161,3.43152102045,0.103726226161,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817931743
 01/02  08:00:00,4.17954880753,0.0,2.47428981109,0.0,0.0762950440677,2.55058485516,0.0762950440677,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386201064
 01/02  09:00:00,4.05755676094,0.0,2.43154673111,0.0,0.07400204248,2.50554877359,0.07400204248,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196094144
 01/02  10:00:00,3.81958204993,0.0,2.3961990756,0.0,0.0735098708721,2.46970894647,0.0735098708721,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133225589
 01/02  11:00:00,4.71208083991,0.0,3.33280771189,0.0,0.10335649555,3.43616420744,0.10335649555,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178371
 01/02  12:00:00,3.90615784232,0.0,2.59670547098,0.0,0.0798875936024,2.67659306459,0.0798875936024,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.37733498466
 01/02  13:00:00,3.77624371377,0.0,2.53314825191,0.0,0.0776498565613,2.61079810848,0.0776498565613,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442378818
 01/02  14:00:00,3.89155948955,0.0,2.69296933464,0.0,0.0834327531154,2.77640208775,0.0834327531154,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138503897
 01/02  15:00:00,3.88713328006,0.0,2.7149503937,0.0,0.0842227919884,2.79917318569,0.0842227919884,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709756
 01/02  16:00:00,4.02891107335,0.0,2.78708364439,0.0,0.086184635305,2.8732682797,0.086184635305,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,4.33704899978,0.0,2.82521416677,0.0,0.0872635799494,2.91247774671,0.0872635799494,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.31058427442
 01/02  18:00:00,5.72872440567,0.0,3.68836393987,0.0,0.114235171141,3.80259911101,0.114235171141,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544097789
 01/02  19:00:00,6.0203086444,0.0,3.63239980407,0.0,0.112902945418,3.74530274949,0.112902945418,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547930502
