Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.41392982429,0.0,2.53815831298,0.0,0.0791010435276,2.61725935651,0.0791010435276,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688107
 01/01  02:00:00,3.73574696066,0.0,3.00482410924,0.0,0.093370431646,3.09819454088,0.093370431646,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108878152
 01/01  03:00:00,3.93689242506,0.0,3.25431423531,0.0,0.101103490248,3.35541772555,0.101103490248,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437639417
 01/01  04:00:00,4.11486300174,0.0,3.43729806425,0.0,0.106210756316,3.54350882057,0.106210756316,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.07386849222
 01/01  05:00:00,4.51665526254,0.0,3.79375638572,0.0,0.117163744875,3.9109201306,0.117163744875,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599343
 01/01  06:00:00,4.73737627403,0.0,3.80133619283,0.0,0.117049828321,3.91838602115,0.117049828321,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,5.15798114286,0.0,3.72327457431,0.0,0.114262029408,3.83753660372,0.114262029408,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,5.59995373707,0.0,3.78069176674,0.0,0.115773082808,3.89646484955,0.115773082808,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,5.01916075137,0.0,3.27949089884,0.0,0.0998661362504,3.37935703509,0.0998661362504,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,4.10513998941,0.0,2.58112263451,0.0,0.0785023723664,2.65962500688,0.0785023723664,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744046194
 01/01  11:00:00,4.42029250834,0.0,2.95869665315,0.0,0.0915271758245,3.05022382898,0.0915271758245,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273995976
 01/01  12:00:00,3.0872402578,0.0,1.71674253354,0.0,0.0526672805981,1.76940981414,0.0526672805981,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111891065
 01/01  13:00:00,2.37805118014,0.0,1.0998910481,0.0,0.033936393429,1.13382744152,0.033936393429,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410006053
 01/01  14:00:00,1.92537762577,0.0,0.717425591854,0.0,0.0223506270415,0.739776218896,0.0223506270415,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994476464
 01/01  15:00:00,1.53100736227,0.0,0.368057247658,0.0,0.0115220468573,0.379579294515,0.0115220468573,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110958
 01/01  16:00:00,1.42165175947,0.0,0.198439008191,0.0,0.00622535070479,0.204664358896,0.00622535070479,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679589
 01/01  17:00:00,1.80129889777,0.0,0.301283062834,0.0,0.00952975297385,0.310812815808,0.00952975297385,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,3.23979980675,0.0,1.20333046401,0.0,0.0386278649146,1.24195832892,0.0386278649146,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
